a_id,user_id,arg_tuple_id,annotation_date,effectiveness_arg1,effectiveness_arg2,effectiveness_arg3,clarity_arg1,clarity_arg2,clarity_arg3,consistency_arg2,consistency_arg3,favorite
1,4,0,2024-02-09 22:37:59.284006+00:00,1,1,3,1,1,3,1,3,2
2,5,50,2024-02-09 22:38:31.381697+00:00,5,5,1,5,4,2,3,3,3
3,6,0,2024-02-09 23:13:31.852903+00:00,3,4,4,4,2,3,4,5,3
4,11,0,2024-02-11 15:46:02.001212+00:00,3,3,4,2,4,5,2,5,3
5,11,1,2024-02-11 15:49:06.851714+00:00,3,2,4,4,4,4,1,4,3
6,11,2,2024-02-11 15:54:34.910905+00:00,2,2,4,2,2,4,2,3,3
7,11,3,2024-02-11 15:59:08.449125+00:00,1,3,4,3,4,4,3,4,3
8,11,4,2024-02-11 16:01:55.228519+00:00,3,4,5,4,5,4,4,4,3
9,11,5,2024-02-11 16:09:26.541768+00:00,4,3,3,3,2,4,2,4,3
10,11,6,2024-02-11 16:16:54.870425+00:00,3,4,4,2,4,5,2,4,3
11,11,7,2024-02-11 16:27:49.830311+00:00,3,3,4,2,3,4,3,3,3
12,11,8,2024-02-11 16:30:02.699458+00:00,3,5,3,4,5,3,2,5,2
13,11,9,2024-02-11 16:37:03.070082+00:00,2,2,2,3,3,3,2,3,3
14,11,10,2024-02-11 16:39:30.153393+00:00,4,4,4,4,4,4,1,1,3
15,7,0,2024-02-12 14:12:41.744296+00:00,1,1,4,1,2,1,4,3,3
16,16,0,2024-02-12 18:39:56.038370+00:00,2,3,3,2,3,4,2,4,3
17,16,1,2024-02-12 18:41:56.732929+00:00,1,4,3,1,4,3,4,3,2
18,16,2,2024-02-12 18:44:36.899289+00:00,2,3,4,2,2,4,3,4,3
19,16,3,2024-02-12 18:47:54.811109+00:00,2,4,5,2,3,5,4,4,3
20,16,4,2024-02-12 18:50:09.946936+00:00,2,3,5,2,3,5,4,5,3
21,16,5,2024-02-12 18:54:55.192201+00:00,2,4,4,2,5,4,3,5,3
22,16,6,2024-02-12 19:12:19.092661+00:00,2,3,3,2,4,3,3,4,2
23,16,7,2024-02-12 19:21:03.627788+00:00,3,3,3,3,4,3,5,4,2
24,16,8,2024-02-12 19:35:52.858751+00:00,2,5,1,2,5,2,5,5,2
25,16,9,2024-02-12 19:39:02.132215+00:00,1,3,4,1,3,4,4,4,3
26,16,10,2024-02-12 19:40:45.236453+00:00,2,3,5,2,3,5,5,5,3
27,16,11,2024-02-12 19:43:31.531888+00:00,2,3,4,2,3,4,4,4,3
28,16,12,2024-02-12 19:49:17.465804+00:00,2,4,3,3,3,3,4,4,2
29,16,13,2024-02-12 19:58:41.887923+00:00,4,5,5,4,5,5,5,5,2
30,16,14,2024-02-12 20:00:34.080255+00:00,3,4,4,3,3,4,5,5,3
31,16,15,2024-02-12 20:09:42.791550+00:00,3,3,4,3,4,4,4,4,3
32,16,16,2024-02-12 20:38:01.591869+00:00,3,3,3,3,3,3,3,3,2
33,16,17,2024-02-12 20:41:03.276725+00:00,3,4,3,3,4,3,4,4,2
34,16,18,2024-02-12 20:44:37.181203+00:00,2,4,3,5,4,3,4,5,2
35,16,19,2024-02-12 20:49:50.239308+00:00,4,4,5,4,4,5,4,5,3
36,16,20,2024-02-12 20:54:08.250813+00:00,2,1,4,2,1,4,1,4,3
37,16,21,2024-02-13 00:11:48.131219+00:00,2,4,3,3,4,2,1,2,2
38,16,22,2024-02-13 00:13:40.048591+00:00,1,4,3,1,4,3,2,2,2
39,16,23,2024-02-13 00:16:15.977307+00:00,1,4,1,5,4,4,4,5,2
40,16,24,2024-02-13 00:17:51.254806+00:00,2,2,5,5,2,5,2,5,3
41,16,25,2024-02-13 00:21:20.506911+00:00,3,4,4,4,4,4,5,5,2
42,16,26,2024-02-13 00:26:04.184356+00:00,3,2,4,2,2,4,1,5,3
43,16,27,2024-02-13 00:27:43.995615+00:00,2,3,4,2,4,4,4,4,3
44,16,28,2024-02-13 00:33:12.838097+00:00,2,3,3,2,3,4,4,4,3
45,16,29,2024-02-13 00:40:32.253336+00:00,3,3,4,2,3,4,3,3,3
46,16,30,2024-02-13 00:43:14.957827+00:00,3,3,3,3,3,3,3,3,3
47,16,31,2024-02-13 00:46:14.134602+00:00,2,3,4,2,3,4,4,4,3
48,16,32,2024-02-13 00:49:42.155853+00:00,3,3,4,3,3,4,4,4,3
49,16,33,2024-02-13 00:51:33.994303+00:00,4,5,4,4,5,4,5,5,2
50,16,34,2024-02-13 01:02:40.420783+00:00,2,3,3,2,3,3,5,5,2
51,16,35,2024-02-13 01:04:34.757474+00:00,2,3,4,2,4,4,4,5,3
52,16,36,2024-02-13 01:08:06.885990+00:00,3,5,4,3,5,4,5,5,2
53,16,37,2024-02-13 01:09:44.317819+00:00,1,4,2,1,4,2,5,5,2
54,16,38,2024-02-13 01:12:49.116498+00:00,3,2,4,3,2,4,1,4,3
55,16,39,2024-02-13 01:14:08.498179+00:00,3,3,3,3,3,3,3,3,2
56,11,11,2024-02-13 07:31:47.364760+00:00,2,3,4,3,3,4,2,1,3
57,11,12,2024-02-13 07:47:29.829750+00:00,4,3,3,4,3,3,2,2,1
58,11,13,2024-02-13 07:53:47.239028+00:00,4,4,4,5,4,4,4,4,1
59,11,14,2024-02-13 07:58:01.576397+00:00,2,2,2,3,3,3,4,4,3
60,11,15,2024-02-13 08:11:31.844719+00:00,4,2,4,4,3,4,2,5,1
61,11,16,2024-02-13 08:21:58.193398+00:00,3,4,3,3,4,3,1,5,2
62,11,17,2024-02-13 08:25:05.492674+00:00,3,3,3,4,4,5,4,5,3
63,11,18,2024-02-13 08:27:41.099290+00:00,2,3,2,3,3,3,1,4,1
64,11,19,2024-02-13 08:36:31.663078+00:00,3,2,3,4,3,4,2,3,1
65,15,0,2024-02-13 16:36:04.442160+00:00,2,3,4,2,4,4,4,4,2
66,15,1,2024-02-13 16:37:13.917816+00:00,1,2,4,1,2,4,4,3,3
67,15,2,2024-02-13 16:39:36.729895+00:00,1,3,4,1,3,3,4,4,2
68,11,20,2024-02-13 16:42:50.499743+00:00,4,1,4,3,1,4,1,4,1
69,11,21,2024-02-13 16:53:11.958666+00:00,2,3,2,2,4,2,3,5,2
70,11,22,2024-02-13 16:55:48.469812+00:00,1,3,4,1,4,4,2,3,3
71,11,23,2024-02-13 16:57:13.931723+00:00,2,3,3,5,4,3,3,5,2
72,11,24,2024-02-13 16:58:49.958418+00:00,3,3,3,4,4,3,3,3,1
73,11,25,2024-02-13 17:03:08.390993+00:00,3,3,3,3,4,4,4,2,3
74,15,3,2024-02-13 17:04:15.334673+00:00,1,3,4,1,3,4,2,2,3
75,15,4,2024-02-13 17:05:27.078627+00:00,2,3,5,2,3,5,4,4,3
76,11,26,2024-02-13 17:09:28.450270+00:00,3,3,3,3,3,3,1,5,3
77,11,27,2024-02-13 17:12:04.927252+00:00,3,4,3,3,4,4,5,5,2
78,16,40,2024-02-13 17:12:36.167484+00:00,4,5,5,4,5,5,5,5,3
79,15,5,2024-02-13 17:16:32.175370+00:00,3,4,4,2,4,4,2,3,2
80,16,41,2024-02-13 17:17:14.967432+00:00,2,3,4,2,3,4,3,3,3
81,16,42,2024-02-13 17:19:22.270159+00:00,1,3,1,5,3,1,1,1,2
82,15,6,2024-02-13 17:20:59.251298+00:00,3,4,4,4,4,4,3,3,2
83,16,43,2024-02-13 17:21:26.934452+00:00,1,4,4,1,5,4,3,3,2
84,11,28,2024-02-13 17:22:02.767957+00:00,2,4,2,3,4,3,1,5,2
85,11,29,2024-02-13 17:29:48.161840+00:00,3,3,3,3,4,3,2,5,2
86,16,44,2024-02-13 17:33:47.033375+00:00,2,4,3,2,4,4,1,4,2
87,15,7,2024-02-13 18:41:08.294756+00:00,3,3,4,3,3,4,4,2,3
88,15,8,2024-02-13 18:42:58.018128+00:00,1,4,5,2,4,4,2,4,2
89,12,0,2024-02-13 18:43:15.652903+00:00,2,3,4,2,3,4,3,4,3
90,12,1,2024-02-13 18:45:13.738113+00:00,4,5,5,4,5,5,2,3,3
91,12,2,2024-02-13 18:48:40.973981+00:00,1,3,2,1,3,2,3,3,2
92,12,3,2024-02-13 18:50:14.254437+00:00,1,2,4,1,2,4,2,3,3
93,12,4,2024-02-13 18:52:52.987840+00:00,2,2,3,2,2,4,3,3,3
94,15,9,2024-02-13 18:55:49.933142+00:00,2,3,4,2,3,3,4,3,3
95,12,5,2024-02-13 19:01:19.054394+00:00,2,3,4,2,3,4,4,4,3
96,11,30,2024-02-13 19:02:00.436895+00:00,3,4,4,3,4,3,2,3,2
97,11,31,2024-02-13 19:05:27.737363+00:00,2,3,3,2,4,3,1,3,2
98,12,6,2024-02-13 19:08:14.376805+00:00,1,3,3,1,4,4,3,4,2
99,11,32,2024-02-13 19:10:45.464746+00:00,4,4,4,4,4,4,3,4,1
100,11,33,2024-02-13 19:13:15.170856+00:00,2,2,2,3,4,4,5,5,2
101,17,50,2024-02-13 19:15:46.635816+00:00,1,5,1,3,5,3,5,3,2
102,17,51,2024-02-13 19:16:57.012238+00:00,2,5,4,4,5,4,5,3,2
103,17,52,2024-02-13 19:17:47.902454+00:00,1,5,3,1,5,5,4,3,2
104,11,34,2024-02-13 19:17:54.262865+00:00,3,3,3,4,3,4,2,5,3
105,17,53,2024-02-13 19:19:13.429011+00:00,3,4,3,4,4,4,4,4,2
106,11,35,2024-02-13 19:19:17.377705+00:00,2,4,4,3,4,4,3,4,3
107,17,54,2024-02-13 19:20:53.063664+00:00,3,4,4,4,4,4,4,3,2
108,11,36,2024-02-13 19:21:13.024993+00:00,2,4,2,3,4,3,2,4,2
109,17,55,2024-02-13 19:21:39.645646+00:00,2,4,2,2,4,2,4,3,2
110,11,37,2024-02-13 19:22:47.524043+00:00,2,3,3,4,4,4,2,4,3
111,17,56,2024-02-13 19:23:15.774226+00:00,4,5,3,4,4,4,4,4,2
112,11,38,2024-02-13 19:24:35.000547+00:00,3,4,3,2,4,4,1,3,2
113,11,39,2024-02-13 19:33:14.841005+00:00,3,3,3,3,4,4,4,5,3
114,11,40,2024-02-13 19:37:28.525214+00:00,3,3,3,4,4,4,5,5,1
115,11,41,2024-02-13 19:43:03.345131+00:00,3,3,3,4,4,4,4,3,2
116,11,42,2024-02-13 19:44:16.191690+00:00,1,3,2,4,4,3,1,2,2
117,11,43,2024-02-13 19:45:45.664089+00:00,2,4,3,3,4,4,2,3,2
118,11,44,2024-02-13 19:50:32.167082+00:00,2,4,3,3,4,4,1,4,2
119,11,45,2024-02-13 19:57:48.885292+00:00,2,4,3,2,4,4,2,4,2
120,11,46,2024-02-13 20:01:53.825514+00:00,4,3,4,4,3,4,4,4,1
121,11,47,2024-02-13 20:03:53.957421+00:00,2,4,2,3,4,3,1,4,2
122,11,48,2024-02-13 20:09:07.858511+00:00,2,3,2,4,3,4,1,3,2
123,11,49,2024-02-13 20:10:23.310121+00:00,2,4,5,2,4,5,3,3,3
124,15,10,2024-02-13 20:12:42.709621+00:00,2,2,4,3,2,4,2,3,3
125,15,11,2024-02-13 20:24:28.041941+00:00,3,4,4,3,4,4,3,3,3
126,15,12,2024-02-13 20:26:03.407285+00:00,2,3,2,2,3,3,3,4,2
127,15,13,2024-02-13 20:27:14.876663+00:00,2,3,4,3,3,4,3,3,3
128,15,14,2024-02-13 20:28:38.312222+00:00,3,3,4,3,4,4,4,4,3
129,15,15,2024-02-13 20:29:42.589172+00:00,3,4,4,2,3,3,2,3,2
130,15,16,2024-02-13 20:31:44.833700+00:00,2,3,4,3,3,3,2,2,2
131,17,57,2024-02-13 20:48:20.202654+00:00,5,3,4,4,2,4,3,4,1
132,17,58,2024-02-13 20:49:07.515740+00:00,2,4,1,3,4,2,4,3,2
133,17,59,2024-02-13 20:50:09.654399+00:00,2,4,3,3,5,4,4,4,2
