,text,label,author,original_text,category,round,debate_id,idx
0,"I'm not saying that because of me you should add one more, simply that you should allow for ALL careers to be expressed. There are millions of types of careers, why should we only allow for 23 possibilities (one being ""other"")... This is why I add ""such as"" to the topic. The main part of the topic is to ADD more careers. I would feel better with my actual career to be up not just other if I'm pro poker player or scientist if I'm a nuclear power plant worker of some sort. We need specifics:)",1,Johnicle,"
  
I'm not saying that because of me you should add one more, simply that you should allow for ALL careers to be expressed. There are millions of types of careers, why should we only allow for 23 possibilities (one being ""other"")... This is why I add ""such as"" to the topic. The main part of the topic is to ADD more careers. I would feel better with my actual career to be up not just other if I'm pro poker player or scientist if I'm a nuclear power plant worker of some sort. We need specifics:)",Miscellaneous,1,Debate.org-profile-occupations-should-include-more-options-such-as-professional-poker-player./1/,13504
1,1. Does question 2 have the same answer as this question? Yes 2. Does question 3 have the same answer as this question? Yes 3. Does question 4 have the same answer as this question? Yes 5. Does question 6 have the same answer as this question? Yes 6. Does question 7 have the same answer as this question? Yes 7. Does question 8 have the same answer as this question? Yes 8. Does question 9 have the same answer as this question? Yes 9. Is the answer to question 1 identical to the answer to question 10? Yes 10. Does question 1 have the same answer as this question? Yes [7 ADDITIONAL QUESTIONS WERE PERMITTED] 11. If I were to ask you if you were a boy would the answer to that question be the opposite to the answer to question 12? No 12. If I were to ask you if you were a boy would the answer to that question be the opposite to the answer to question 11? No 13. Do you think I will bother to ask all 17 question? No 14. Do you really? Yes 15. It could be the truth could it not? Yes 16. Is this even a pointless question? No,1,ishallannoyyo,"
  
  
  1. Does question 2 have the same answer as this question?  
  Yes  
  2. Does question 3 have the same answer as this question?  
  Yes  
  3. Does question 4 have the same answer as this question?  
  Yes  
  5. Does question 6 have the same answer as this question?   
  Yes  
  6. Does question 7 have the same answer as this question?  
  Yes  
  7. Does question 8 have the same answer as this question?   
  Yes  
  8. Does question 9 have the same answer as this question?  
  Yes  
  9. Is the answer to question 1 identical to the answer to question 10?  
  Yes  
  10. Does question 1 have the same answer as this question?  
  Yes  
  [7 ADDITIONAL QUESTIONS WERE PERMITTED]  
     
  11. If I were to ask you if you were a boy would the answer to that question be the opposite to the answer to question 12?  
  No  
  12. If I were to ask you if you were a boy would the answer to that question be the opposite to the answer to question 11?  
  No  
  13. Do you think I will bother to ask all 17 question?  
  No  
  14. Do you really?  
  Yes  
  15. It could be the truth could it not?  
  Yes  
  16. Is this even a pointless question?  No     
",Miscellaneous,2,I-will-not-contradict-myself./38/,26415
2,"Hm, I was going to go into an angle of refuting your definition and what not, but time restrictions force me to play under your definition. Very well, I'll go along with your definition. I would urge that a closer examination of your definition necessitates the following: a leader is greater if the social influence he exerts is a product of his own will, and not due to external circumstances/luck. Simply put, any lucky events that help my goal during my leadership does not necessarily reflect good leadership on my part (just that I'm lucky, or what not). In that case, Hitler was a good leader because he had impressive oratory power, charisma, and a perfect moment for taking advantage of the German people due to the conditions of the Treaty of Versailles, depression in 30's, etc. However, a large part of his success relies on the fact that the German people were particularly vulnerable -- at that point of time, many were out the streets looking for job, and in comes Hitler promising populist ideals and an idealized goal. Couple this with his charismatic public persona, and you have a nation quickly bowing down to his feet. While this is impressive in some ways, if the political and economic atmosphere of Germany were different (i.e. better), I suspect the outcome of the Nazi party and Hitler would be much more different, and insignificant. A counter example to your challenge of finding a ""better leader"" would be Alexander the Great. He is without a doubt of of the greatest military commanders, and his influence was immense (pushing Greek culture into foreign land, thus Hellenistic civilization).",1,TheSkeptic,"
  
Hm, I was going to go into an angle of refuting your definition and what not, but time restrictions force me to play under your definition. Very well, I'll go along with your definition.  
  
I would urge that a closer examination of your definition necessitates the following: a leader is greater if the social influence he exerts is a product of his own will, and not due to external circumstances/luck. Simply put, any lucky events that help my goal during my leadership does not necessarily reflect good leadership on my part (just that I'm lucky, or what not). In that case, Hitler was a good leader because he had impressive oratory power, charisma, and a perfect moment for taking advantage of the German people due to the conditions of the Treaty of Versailles, depression in 30's, etc. However, a large part of his success relies on the fact that the German people were particularly vulnerable -- at that point of time, many were out the streets looking for job, and in comes Hitler promising populist ideals and an idealized goal. Couple this with his charismatic public persona, and you have a nation quickly bowing down to his feet.  
  
While this is impressive in some ways, if the political and economic atmosphere of Germany were different (i.e. better), I suspect the outcome of the Nazi party and Hitler would be much more different, and insignificant.  
  
A counter example to your challenge of finding a ""better leader"" would be Alexander the Great. He is without a doubt of of the greatest military commanders, and his influence was immense (pushing Greek culture into foreign land, thus Hellenistic civilization).",Miscellaneous,1,Hitler-is-one-of-the-best-leaders-of-all-time/1/,24063
3,"My thanks to narmak for providing this debate. I hope this will be short and sweet, don't want to get bogged down in like 5 pages of debate on a simple philosophy topic. I accept this debate.",1,Bull_Diesel,"
  
  My thanks to narmak for providing this debate.  I hope this will be short and sweet, don't want to get bogged down in like 5 pages of debate on a simple philosophy topic.  I accept this debate.      ",Miscellaneous,0,there-are-such-things-as-stupid-questions/1/,81370
4,"-First off I would like to thank con for the sandwich- -""Firstly I would like to thank Pro for creating this fascinating debate topic dealing with what many consider a highly controversial and emotive subject. These sorts of debates can only serve to enrich the site.""- Glad I could be of such great help to such a noble cause- -""Con: Refers to myself the user known as Cerebral_Narcissist""- for this debate its Franklin- -""Sandwich: Is defined by wikipedia as ""a food item consisting of two or more slices of bread with one or more fillings between them."" <URL>... .... Though the article also references the existence of the ""open faced sandwich"" it shall be assumed that this debate concerns the proper true sandwich as indicated above.""- This statement made me lol.. but then I was -_-... did we really need a definition for sandwich?? -""My opponents resolution is that ""con will make me a sandwich"". The burden of proof is therefore upon him to demonstrate that I shall in the future make him a sandwich""- Sure just give me a round and ill get to it- -all I can say is good luck ol chap-",1,frenchmoose,"
  
-First off I would like to thank con for the sandwich-  
  
-""Firstly I would like to thank Pro for creating this fascinating debate topic dealing with what many consider a highly controversial and emotive subject. These sorts of debates can only serve to enrich the site.""- Glad I could be of such great help to such a noble cause-  
  
-""Con: Refers to myself the user known as Cerebral_Narcissist""- for this debate its Franklin-  
  
-""Sandwich: Is defined by wikipedia as ""a food item consisting of two or more slices of bread with one or more fillings between them.""   http://en.wikipedia.org...  .... Though the article also references the existence of the ""open faced sandwich"" it shall be assumed that this debate concerns the proper true sandwich as indicated above.""- This statement made me lol.. but then I was -_-... did we really need a definition for sandwich??  
  
-""My opponents resolution is that ""con will make me a sandwich"". The burden of proof is therefore upon him to demonstrate that I shall in the future make him a sandwich""- Sure just give me a round and ill get to it-  
  
-all I can say is good luck ol chap-",Miscellaneous,1,Con-will-make-me-a-sandwich/1/,12036
5,I'm going to play devil's advocate. Yes a rapist committed a horrible crime but what we forget to look at is the person that committed the crime. Some people that are sex offenders have social developments that hinder them from seeing what's morally correct in society. On top of that the rapist could be suffering from something mentally that made them commit the crime. I bet if someone else that was suffering openly from social developments or mental issues committed a crime people would have some type of sympathy.,1,Blackjack22,"
  
I'm going to play devil's advocate. Yes a rapist committed a horrible crime but what we forget to look at is the person that committed the crime. Some people that are sex offenders have social developments that hinder them from seeing what's morally correct in society. On top of that the rapist could be suffering from something mentally that made them commit the crime. I bet if someone else that was suffering openly from social developments or mental issues committed a crime people would have some type of sympathy.",Miscellaneous,0,A-rapist-even-after-time-was-served-shouldnt-be-sympathized/1/,1352
6,Resolved: Proved American murderers should be sent to villages in poor countries to be eaten by the citizens living there. I hope my opponent will accept. Thank you.,1,Koopin,"
  
Resolved: Proved American murderers should be sent to villages in poor countries to be eaten by the citizens living there.  
  
I hope my opponent will accept.  
  
Thank you.",Miscellaneous,0,Murderers-should-be-sent-away-to-be-eaten-by-cannibals./1/,37913
7,"1. The person with the user-name ""wjmelements"" may not limit the ability of ""Harlan"" to speak English, exempt any rules already set forth. 2. The person with the user-name ""wjmelements"" may only make rules in the form of double-negatives, from this point forth. 3. From this point forth, all nouns used by the person with the user-name ""wjmelements"" must be plural.",1,Harlan,"
  
1. The person with the user-name ""wjmelements"" may not limit the ability of ""Harlan"" to speak English, exempt any rules already set forth.  
  
2. The person with the user-name ""wjmelements"" may only make rules in the form of double-negatives, from this point forth.  
  
3. From this point forth, all nouns used by the person with the user-name ""wjmelements"" must be plural.",Miscellaneous,0,My-opponent-will-lose-this-debate-if-he-or-she-does-not-follow-these-rules./1/,38253
8,"Evolution by nature is haphazard. Judging from the lack of sentient life in the history of the Earth, intelligence does not seem to be a popular evolutionary trend. The existence of life itself and the tremendous fortune of Earth's placement that allowed life to exist are all startling coincidences which has led to the existence of humans in our present form. My position is that this is not an accident and is instead the work of another intelligent entity. To put it simply, without a divine entity's interference, the probability of our development into sentient beings able to appreciate his magnificence is virtually 0%.",1,MoonDragon613,"
  
Evolution by nature is haphazard. Judging from the lack of sentient life in the history of the Earth, intelligence does not seem to be a popular evolutionary trend. The existence of life itself and the tremendous fortune of Earth's placement that allowed life to exist are all startling coincidences which has led to the existence of humans in our present form. My position is that this is not an accident and is instead the work of another intelligent entity. To put it simply, without a divine entity's interference, the probability of our development into sentient beings able to appreciate his magnificence is virtually 0%.",Miscellaneous,0,God-is-responsible-for-the-creation-of-humanity./1/,22145
9,"I have the strong and founded suspicion that PiercedPanda is also the user ""urapai"", and I think he won't be able to disprove this. I will take the con side. First round is for acceptance only. Second round is for con initial argument and pro initial argument - no rebuttals in round 2! Third round is for rebuttals and final statements. Failure to comply with the rules is an instant loss. Got the heart?",1,The_Scapegoat_bleats,"
  
  I have the strong and founded suspicion that PiercedPanda is also the user ""urapai"", and I think he won't be able to disprove this.  I will take the con side.  First round is for acceptance only.  Second round is for con initial argument and pro initial argument - no rebuttals in round 2!  Third round is for rebuttals and final statements.  Failure to comply with the rules is an instant loss.  Got the heart?",Miscellaneous,0,Can-PiercedPanda-prove-he-is-not-urapai/1/,9380
