,text,label,author,original_text,category,round,debate_id,idx
0,"I ask this debate because im bored. 2. According to superlearing. net these shocks with farts will cause death 3. My point about ww2 has not been talked about and it is a very important point, here is the stat for it <URL>...",1,Spencer1,"
  
I ask this debate because im bored.  
  
2. According to superlearing. net these shocks with farts will cause death  
  
3. My point about ww2 has not been talked about and it is a very important point, here is the stat for it   http://www.world-war-2.info...",Society,1,Farting-kills/4/,18254
1,""" I agree with my opponent that perhaps the best testimony comes from those who have carried it out: ""NEW YORK--Fifteen former interrogators and intelligence officials with more than 350 years collective field experience have declared that torture is an ""unlawful, ineffective and counterproductive"" way to gather intelligence, in a statement of principles released today."" <URL>... ... ""listen to Army Col. Stuart Herrington, a military intelligence specialist who conducted interrogations in Vietnam, Panama and Iraq during Desert Storm, and who was sent by the Pentagon in 2003 -- long before Abu Ghraib -- to assess interrogations in Iraq. Aside from its immorality and its illegality, says Herrington, torture is simply ""not a good way to get information."""" Quotes like these are evasive, because whatever their field experience may be, it is not demonstrably experience in the waterboarding being defended-- Abu Ghraib, last I heard, was being run by a military police unit that wasn't even properly trained CO's, it isn't comparable to CIA waterboarding of the sort anyone's defending. Since my opponent seems to be attacking for a lack of sources without asking for which sources he wants to see, here's the source on the statements of what results occurred when the CIA used waterboarding: <URL>... "" ""Malcolm Nance, an advisor on terrorism to the US departments of Homeland Security, Special Operations and Intelligence, publicly denounced the practice. He revealed that waterboarding is used in training at the US Navy's Survival, Evasion, Resistance and Escape School in San Diego, and claimed to have witnessed and supervised ""hundreds"" of waterboarding exercises. Although these last only a few minutes and take place under medical supervision, he concluded that ""waterboarding is a torture technique - period""."" This particular quote is beating a dead horse, I never disputed that waterboarding is torture, since we are in agreement on that matter, we can usefully omit that measurement by this point. "" ""the current U.S. Army Field Manual recognizes that torture and inhuman treatment is ineffective, stating that ""Use of torture and other illegal methods is a poor technique that yields unreliable results, may damage subsequent collection efforts, and induce the source to say what he thinks the interrogator wants to hear."""" Let's take a look at this. First of all, they don't reference which field manual they are talking about (Wikipedia says the US Army had 542 field manuals in circulation as of 27 July 2007). I've managed to find in field manual 2-22-3, however. Let's look at the context. It's essentially a beginner's guide to HUMINT collection in pursuit of ""The commander's needs."" This is the manual new interrogators are expected to learn, it provides ""Doctrinal guidance,"" among other things-- Hmm, doctrine. Do you think, maybe, if there's something that they'd REALLY REALLY get in trouble letting a just-trained person holding the rank of Private do something, they might tell him it's ineffective even if it's not true? Or in this case, plain fallacious. Pretty much ALL interrogation efforts yield unreliable results and induce the source to say what he thinks the interrogator wants to here. It's up to the organization ordering the interrogation to counter this influence by creating a context in which lies can be quickly found out. And torture isn't a first resort, it's a last in one's interrogations, so ""damaging subsequent collection efforts"" is irrelevant when not dealing with an interrogator who doesn't have a logical sense of the correct order of operations down. "" ""The guards at the Guantnamo Bay prison camp are the ""overlooked victims"""" Stop right here. Volenti non fit injuria. Volunteer and victim are mutually exclusive statuses. "" My opponent claims that water boarding has been used three times to positive effect. It does not take much of a stretch of imagination to suppose that it may well have been carried out many more times with less effective results"" Irrelevant, as the argument is not over the specific amount of waterboarding it is moral to administer, only whether there is a nonzero amount. Waterboarding should not be used where less compromising techniques have not been attempted or have succeeded, obviously. The point is that it can occasionally retrieve intelligence from otherwise valueless prisoners. A bit of advice for the future: Latin can be freely looked up with these wonderful computing devices, and a ""Straw man"" is not an accusation that you are made of straw, it is an accusation that you are misrepresenting an opponent's position :).",1,Ragnar_Rahl,"
  
""  
I agree with my opponent that perhaps the best testimony comes from those who have carried it out:  
  
""NEW YORK—Fifteen former interrogators and intelligence officials with more than 350 years collective field experience have declared that torture is an ""unlawful, ineffective and counterproductive"" way to gather intelligence, in a statement of principles released today.""  
  http://www.humanrightsfirst.org...  ...  
  
""listen to Army Col. Stuart Herrington, a military intelligence specialist who conducted interrogations in Vietnam, Panama and Iraq during Desert Storm, and who was sent by the Pentagon in 2003 -- long before Abu Ghraib -- to assess interrogations in Iraq. Aside from its immorality and its illegality, says Herrington, torture is simply ""not a good way to get information.""""  
Quotes like these are evasive, because whatever their field experience may be, it is not demonstrably experience in the waterboarding being defended-- Abu Ghraib, last I heard, was being run by a military police unit that wasn't even properly trained CO's, it isn't comparable to CIA waterboarding of the sort anyone's defending.  
  
Since my opponent seems to be attacking for a lack of sources without asking for which sources he wants to see, here's the source on the statements of what results occurred when the CIA used waterboarding:   http://www.globalresearch.ca...  
  
""  
""Malcolm Nance, an advisor on terrorism to the US departments of Homeland Security, Special Operations and Intelligence, publicly denounced the practice. He revealed that waterboarding is used in training at the US Navy's Survival, Evasion, Resistance and Escape School in San Diego, and claimed to have witnessed and supervised ""hundreds"" of waterboarding exercises. Although these last only a few minutes and take place under medical supervision, he concluded that ""waterboarding is a torture technique – period"".""  
This particular quote is beating a dead horse, I never disputed that waterboarding is torture, since we are in agreement on that matter, we can usefully omit that measurement by this point.  
  
""  
  
""the current U.S. Army Field Manual recognizes that torture and inhuman treatment is ineffective, stating that ""Use of torture and other illegal methods is a poor technique that yields unreliable results, may damage subsequent collection efforts, and induce the source to say what he thinks the interrogator wants to hear.""""  
Let's take a look at this. First of all, they don't reference which field manual they are talking about (Wikipedia says the US Army had 542 field manuals in circulation as of 27 July 2007). I've managed to find in field manual 2-22-3, however. Let's look at the context. It's essentially a beginner's guide to HUMINT collection in pursuit of ""The commander's needs."" This is the manual new interrogators are expected to learn, it provides ""Doctrinal guidance,"" among other things-- Hmm, doctrine. Do you think, maybe, if there's something that they'd REALLY REALLY get in trouble letting a just-trained person holding the rank of Private do something, they might tell him it's ineffective even if it's not true?  
  
Or in this case, plain fallacious. Pretty much ALL interrogation efforts yield unreliable results and induce the source to say what he thinks the interrogator wants to here. It's up to the organization ordering the interrogation to counter this influence by creating a context in which lies can be quickly found out. And torture isn't a first resort, it's a last in one's interrogations, so ""damaging subsequent collection efforts"" is irrelevant when not dealing with an interrogator who doesn't have a logical sense of the correct order of operations down.  
  
""  
""The guards at the Guantï¿½namo Bay prison camp are the ""overlooked victims""""  
Stop right here.  
  
Volenti non fit injuria.  
  
Volunteer and victim are mutually exclusive statuses.  
  
""  
My opponent claims that water boarding has been used three times to positive effect. It does not take much of a stretch of imagination to suppose that it may well have been carried out many more times with less effective results""  
Irrelevant, as the argument is not over the specific amount of waterboarding it is moral to administer, only whether there is a nonzero amount. Waterboarding should not be used where less compromising techniques have not been attempted or have succeeded, obviously. The point is that it can occasionally retrieve intelligence from otherwise valueless prisoners.  
  
A bit of advice for the future: Latin can be freely looked up with these wonderful computing devices, and a ""Straw man"" is not an accusation that you are made of straw, it is an accusation that you are misrepresenting an opponent's position :).",Society,4,Water-Boarding-is-an-act-of-torture-and-is-immoral./1/,70748
2,"Many Italians are kind people yes, but just because someone is kind does not mean that they are always without malice or harmless. It was said that Hitler was a very kind man to the blonde hair blue eyes. But to say that he was harmless because he was kind is absurd. We must face it, no one is perfect. Now, even if there was someone who was perfect, that does not mean that everyone is. Let us say we put one person in a room that is perfect. Then we put nine other people in the same room who are not perfect. We call them test subjects 1.As We can not say that all 1.As are perfect just because one of them is. Do you think that Benito Mussolini was always perfect? Thank you, I look forward to your next argument. Sources: (1). <URL>... (2). <URL>... ... (3). <URL>... ... (4). <URL>...",1,Koopin,"
  
Many Italians are kind people yes, but just because someone is kind does not mean that they are always without malice or harmless.  
  
It was said that Hitler was a very kind man to the blonde hair blue eyes. But to say that he was harmless because he was kind is absurd.  
  
We must face it, no one is perfect.  
  
Now, even if there was someone who was perfect, that does not mean that everyone is.  
  
Let us say we put one person in a room that is perfect. Then we put nine other people in the same room who are not perfect. We call them test subjects 1.As  
  
We can not say that all 1.As are perfect just because one of them is.  
  
Do you think that Benito Mussolini was always perfect?  
Thank you,  
I look forward to your next argument.  
  
Sources:  
(1).   http://en.wikipedia.org...  
(2).   http://dictionary.reference.com...  ...  
(3).   http://dictionary.reference.com...  ...  
(4).   http://en.wikipedia.org...",Society,1,Italians-should-always-be-considered-White/1/,32329
3,"In closing, I just wanted to underscore the moral of the story: If we tell kids that none of this is real, that none of it matters, we will be doing them a disservice. This tradition is very real, and is important to maintain.",1,Beverlee,"
  
In closing, I just wanted to underscore the moral of the story:  
  
If we tell kids that none of this is real, that none of it matters, we will be doing them a disservice. This tradition is very real, and is important to maintain.",Society,3,Is-Santa-Claus-Real/1/,29476
4,"One- A person; one person or thing This seems incredibly unstrategic for my opponent to define 'one' in such a way. I can quite easily tell the race of one person or thing based on skin color, as some races have very distinctive tones. Indians, for example: <URL>... Or, look at this picture: <URL>... You can immediately spot the one person who is not African. The fact of the matter is, some people can be very easily defined by skin tone, and since my opponent has set such a low burden of proof for me, showing one of the above examples of this is sufficient. ""I am Italian. I have been called white. This is not true."" According to the United States government my opponent is, in fact, white: ""White: A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. White. A person having origins in any of the original peoples of Europe, the Middle East, or North Africa."" <URL>...",1,Nails,"
  
One- A person; one person or thing  
  
This seems incredibly unstrategic for my opponent to define 'one' in such a way.  
  
I can quite easily tell the race of one person or thing based on skin color, as some races have very distinctive tones.  
  
Indians, for example:   http://www.bing.com...  
Or, look at this picture:   http://elproyectomatriz.files.wordpress.com...  
You can immediately spot the one person who is not African.  
  
The fact of the matter is, some people can be very easily defined by skin tone, and since my opponent has set such a low burden of proof for me, showing one of the above examples of this is sufficient.  
  
""I am Italian. I have been called white. This is not true.""  
  
According to the United States government my opponent is, in fact, white:  
  
""White: A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. White. A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.""  
  
  http://www.whitehouse.gov...",Society,1,You-cannot-tell-ones-race-just-by-looking-at-their-skin-color./1/,74151
5,"Basic convenience is, of course, and upside, but there are obvious flaws in this, such as new international that allows someone to travel from a place like Egypt to Brazil and still be allowed to use their Egyptian credit card. As previously stated, it is beneficial for the European union to have Russia and Norway join, not for them, thus it really depends on who's view this debate is centralized on, which I believe should be based on the respective countries' view.",1,TheThirdSage,"
  
Basic convenience is, of course, and upside, but there are obvious flaws in this, such as new international that allows someone to travel from a place like Egypt to Brazil and still be allowed to use their Egyptian credit card. As previously stated, it is beneficial for the European union to have Russia and Norway join, not for them, thus it really depends on who's view this debate is centralized on, which I believe should be based on the respective countries' view.",Society,1,Should-Russia-and-Norway-join-the-European-Union/1/,50809
6,"(My opponent's arguments are directly copied from Wikipedia.) I would like to propose to change the definition of insanity to ""mental illness of such degree that the individual is not responsible for his or her acts"". <URL>... I find that this definition is more proper, as it is from a mental dictionary, rather than from a semantic dictionary. ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++ Despite that definition, my opponent's logic is flawed. -Being insane is to be mentally deranged -Being mentally deranged is to be disordered in the mind -Hitler certainly had a disorder in the mind THEREFORE -Hitler was insane Let's go through this again. If Hitler had a mental disorder, then he isn't necessarily mentally deranged. This is like squares and rectangles: All squares are rectangles, but not all rectangles are squares. So, we can now see the flaws in my opponent's arguments. -Being a square is to be a rectangle -Being a rectangle is to be a polygon -Figure A is a polygon THEREFORE -Figure A is a square One can easily see the logical fallacy here. +++++++++++++++++++++++++++++++++++++++ METH Addiction to and the symptoms of methamphetamine are not mental illnesses. Methamphetamine affects motor function and impared verbal learning <URL>... , not judgement capability. ++++++++++++++++++++++++++++++++++++++++ Schitzophrenia My opponent's Wikipedia Source does not source anything regarding Schitzophrenia. It only has a bunch of [citations needed]. ++++++++++++++++++++++++++++++++++++++++ AUTISM/ASPERGER While this is a mental disorder, it does not cause one to be incapable of thinking clearly and making logical decisions. Asperger's Syndrom is also a social disorder, not a behavioural disorder. <URL>... ++++++++++++++++++++++++++++++++++++++++ Therefore, Hitler was still responsible for his actions. I await a rebuttal.",1,wjmelements,"
  
(My opponent's arguments are directly copied from Wikipedia.)  
  
I would like to propose to change the definition of insanity to ""mental illness of such degree that the individual is not responsible for his or her acts"".   http://medical-dictionary.thefreedictionary.com...  
  
I find that this definition is more proper, as it is from a mental dictionary, rather than from a semantic dictionary.  
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++  
Despite that definition, my opponent's logic is flawed.  
-Being insane is to be mentally deranged  
-Being mentally deranged is to be disordered in the mind  
-Hitler certainly had a disorder in the mind  
THEREFORE  
-Hitler was insane  
  
Let's go through this again. If Hitler had a mental disorder, then he isn't necessarily mentally deranged. This is like squares and rectangles: All squares are rectangles, but not all rectangles are squares.  
So, we can now see the flaws in my opponent's arguments.  
-Being a square is to be a rectangle  
-Being a rectangle is to be a polygon  
-Figure A is a polygon  
THEREFORE  
-Figure A is a square  
  
One can easily see the logical fallacy here.  
+++++++++++++++++++++++++++++++++++++++  
METH  
Addiction to and the symptoms of methamphetamine are not mental illnesses. Methamphetamine affects motor function and impared verbal learning   http://www.nida.nih.gov...  , not judgement capability.  
++++++++++++++++++++++++++++++++++++++++  
Schitzophrenia  
My opponent's Wikipedia Source does not source anything regarding Schitzophrenia.  
It only has a bunch of [citations needed].  
++++++++++++++++++++++++++++++++++++++++  
AUTISM/ASPERGER  
While this is a mental disorder, it does not cause one to be incapable of thinking clearly and making logical decisions.  
Asperger's Syndrom is also a social disorder, not a behavioural disorder.   http://www.scielo.br...  
++++++++++++++++++++++++++++++++++++++++  
Therefore, Hitler was still responsible for his actions.  
  
I await a rebuttal.",Society,1,Hitler-was-insane./1/,24095
7,"Thank you, Bricheze, for accepting this debate. As my opponent is debating the pro/aff, she must be able to prove that retreating is not the better option in any scenario but one. I will first state my case, then move onto my opponent's I do not agree with the following statement of Stalin: ""Die, but do not retreat."" Retreat is defined as ""the forced or strategic withdrawal of an army or an armed force before an enemy"" - dictionary.com Arthur Wellesley, during Bonaparte's 100 day campaign, retreated from Quatre Bras to Waterloo in order for an easier win. If Wellesley had not retreated, Bonaparte would have most likely won. From a military standpoint, it was a better decision to retreat to Waterloo. This is a situation where it is better to retreat than to die. Another example from the Napoleonic Era involves the Russians. When Bonaparte marched into Russia with 500-600,000 men, the Russians retreated and applied a scorched earth policy. Bonaparte and his men went all the way to Moscow and got nothing as the city had been burnt down. Napoleon turned around at Moscow. The Russians suffered few casualties and the French army had been decimated to a mere 10,000. This is another situation where it is better to retreat than to die. The definition of retreat says that it can be for a strategic withdrawal. And as my two examples above show, it is better to retreat now and then for the purpose of strategy. From a less literal view, the statement ""die, but do not retreat"" is not always the wisest choice. For instance, when arguing with someone, and the facts say you are wrong, the wisest course of action is to concede defeat. If you know you are blatantly wrong, to continue arguing would be futile. It is not always about supporting your views. If you think it is right go ahead and believe it all you want, even if you cannot explain why you believe it, but in an argument give up and leave once you are proven wrong. ----------------------------------------------------My opponent's case-------------------------------------------------------------- My opponent agrees with the quote for the following reasons: 1) Retreating weakens you and strengthens the opposition 2) By being persistent you may outlast the opposition 3) The damage done to you as a result of persisting may cause the opposition to stop fighting 4) By persisting you become more memorable in history For the first reason my opponent claims that retreating is giving up and thus you lose a battle and your opponent has the better hand in the following battle. This is does not work because retreating can be used as a strategy. As I showed in my examples, retreating can be used to strengthen yourself rather than your opponent. And again, my opponent must prove the statement true in all situations. My opponent's second reason is something that has little opportunity of working. An army will most likely not run away because the other is ""scarier."" Rather, they would surrender or retreat to safety to decide on a better course of action. Proving your worth by fighting until the end is not a good incentive for the soldiers. If you go and tell your soldiers, to be remembered you must die, do you really think they would care to be remembered? I would think the answer would be ""no."" The soldiers will not do their best if this is their motivation. Now the three things my opponent says the opposition may realize: A) You will not back down, and they will either have to destroy you or leave you alone. If they went through the trouble of trying to kill you, then they will continue to try to kill you. And if they would attempt to destroy you, would that not be worse for you? By retreating you can regroup into a more effective attack. Which makes it harder for the opposition. B) You will do a lot of damage to their troops--raising the question: Is it worth it? But you are fighting to the death, in such a case the casualties lay more heavily on your side, meaning less damage to the opposition in the following attack. Worsening the situation does not benefit you. C) You are strong and will continue to fight until we are demolished or you die. Next time, they could come in larger numbers and be even more powerful, could we lose the next battle? Should we continue? This is basically B in other words. So the previous argument applies here as well. With larger numbers, it would be easier for you, but why would the opposition not have a larger army? You do not send out the whole army to one battle. The numbers will not matter too much. My opponent moves on to saying this is a useful tactic. But when it hurts you rather than help you, it cannot be useful unless you are trying to lose. For my opponent's last argument of proving yourself, becoming more memorable in history, I would like to bring back the incentive that this is supplying: ""to be remembered, you must die."" If this was true, I would not want to be remembered. I think that many people would agree with me on this as well. I await my opponent's response.",1,karththegeld,"
  
Thank you, Bricheze, for accepting this debate.  
  
As my opponent is debating the pro/aff, she must be able to prove that retreating is not the better option in any scenario but one.  
  
I will first state my case, then move onto my opponent's  
  
I do not agree with the following statement of Stalin: ""Die, but do not retreat.""  
  
Retreat is defined as ""the forced or strategic withdrawal of an army or an armed force before an enemy"" - dictionary.com  
  
Arthur Wellesley, during Bonaparte's 100 day campaign, retreated from Quatre Bras to Waterloo in order for an easier win. If Wellesley had not retreated, Bonaparte would have most likely won. From a military standpoint, it was a better decision to retreat to Waterloo. This is a situation where it is better to retreat than to die.  
  
Another example from the Napoleonic Era involves the Russians. When Bonaparte marched into Russia with 500-600,000 men, the Russians retreated and applied a scorched earth policy. Bonaparte and his men went all the way to Moscow and got nothing as the city had been burnt down. Napoleon turned around at Moscow. The Russians suffered few casualties and the French army had been decimated to a mere 10,000. This is another situation where it is better to retreat than to die.  
  
The definition of retreat says that it can be for a strategic withdrawal. And as my two examples above show, it is better to retreat now and then for the purpose of strategy.  
  
From a less literal view, the statement ""die, but do not retreat"" is not always the wisest choice. For instance, when arguing with someone, and the facts say you are wrong, the wisest course of action is to concede defeat. If you know you are blatantly wrong, to continue arguing would be futile. It is not always about supporting your views. If you think it is right go ahead and believe it all you want, even if you cannot explain why you believe it, but in an argument give up and leave once you are proven wrong.  
  
----------------------------------------------------My opponent's case--------------------------------------------------------------  
  
My opponent agrees with the quote for the following reasons:  
  
1) Retreating weakens you and strengthens the opposition  
2) By being persistent you may outlast the opposition  
3) The damage done to you as a result of persisting may cause the opposition to stop fighting  
4) By persisting you become more memorable in history  
  
For the first reason my opponent claims that retreating is giving up and thus you lose a battle and your opponent has the better hand in the following battle. This is does not work because retreating can be used as a strategy. As I showed in my examples, retreating can be used to strengthen yourself rather than your opponent. And again, my opponent must prove the statement true in all situations.  
  
My opponent's second reason is something that has little opportunity of working. An army will most likely not run away because the other is ""scarier."" Rather, they would surrender or retreat to safety to decide on a better course of action.  
  
Proving your worth by fighting until the end is not a good incentive for the soldiers. If you go and tell your soldiers, to be remembered you must die, do you really think they would care to be remembered? I would think the answer would be ""no."" The soldiers will not do their best if this is their motivation.  
Now the three things my opponent says the opposition may realize:  
  
A) You will not back down, and they will either have to destroy you or leave you alone.  
  
If they went through the trouble of trying to kill you, then they will continue to try to kill you. And if they would attempt to destroy you, would that not be worse for you? By retreating you can regroup into a more effective attack. Which makes it harder for the opposition.  
  
B) You will do a lot of damage to their troops--raising the question: Is it worth it?  
  
But you are fighting to the death, in such a case the casualties lay more heavily on your side, meaning less damage to the opposition in the following attack. Worsening the situation does not benefit you.  
  
C) You are strong and will continue to fight until we are demolished or you die. Next time, they could come in larger numbers and be even more powerful, could we lose the next battle? Should we continue?  
  
This is basically B in other words. So the previous argument applies here as well. With larger numbers, it would be easier for you, but why would the opposition not have a larger army? You do not send out the whole army to one battle. The numbers will not matter too much.  
  
My opponent moves on to saying this is a useful tactic. But when it hurts you rather than help you, it cannot be useful unless you are trying to lose.  
  
For my opponent's last argument of proving yourself, becoming more memorable in history, I would like to bring back the incentive that this is supplying: ""to be remembered, you must die."" If this was true, I would not want to be remembered. I think that many people would agree with me on this as well.  
  
I await my opponent's response.",Society,1,Die-but-do-not-retreat.-Joseph-Stalin/1/,14136
8,I disagree. Being Indian today means living in an overpopulated country where most people are poor. My opponent has presented nothing but spam so I await proper arguments.,1,STALIN,"
  
I disagree. Being Indian today means living in an overpopulated country where most people are poor. My opponent has presented nothing but spam so I await proper arguments.",Society,0,What-does-being-an-Indian-mean-in-todays-world/1/,71611
9,""" My opponent seems to have manoeuvred this debate away from a discussion of the rights and wrongs of water boarding (which he does not refer to once in round 2) and seems determined to defend his peculiar (if not ""bizarre"") idea of morality."" It's not steering the debate away from A to discuss X if A's truth or falsehood is dependent on X's truth or falsehood. "" This would appear to basically consist of self-preservation with a slight touch of hedonism. It is an interpretation I am not really familiar with but sounds similar to the amorality (unconcerned with right and wrong) of Aleistair Crowley who's philosophy was ""do what thou wilt shall be the whole of the law."""" How is ""doing what thou wilt"" in any way similar to doing what will keep you alive and hopefully happy (alive being the first requirement)? Surely telling someone considering drugs to ""do what thou wilt"" isn't good for their life :). "" I am glad that he feels his own interpretation (supposedly) backed up by his one cited source (Wikepedia) is superior to that of several reputable dictionaries and although this opinion radically redefines morality it is in fact not contradictory of the ""universal death"" model."" You misinterpreted. The dictionaries don't prescribe the universal death model because they don't make any prescriptions-- they just say, in essence, morality is morality, and don't go any further really in telling you what the word means :). It is they, not the ""universal death"" model that my statements don't contradict :). "". Instead it discusses Eudaimonia, commonly translated as happiness, but usually seen as having connotations with virtue and knowledge.he section referring to Aristotle says: ""Eudaimonia is constituted, according to Aristotle, not by honor, or wealth, or power, but by rational activity in accordance with virtue over a complete life. Such activity manifests the virtues of character, including, honesty, pride, friendliness, and wittiness; the intellectual virtues, such as rationality in judgment; and non-sacrificial (i.e. mutually beneficial) friendships and scientific knowledge (knowledge of things that are fundamental and/or unchanging is the best).Epicurus agrees with Aristotle that eudaimonia is the highest good. However, unlike Aristotle, he identifies eudaimonia with pleasure."" It sounds like the Aristotelian position supports the established version and if anyone is backing up my opponent it is the hedonist Epicurus. "" You missed the ""human flourishing"" part, the ""complete life"" part, the ""non-sacrificial"" part-- need I go on? "" My opponent seems here to be cheerfully condoning murder and rape as well as torture. Is he saying that if someone pushes you, you can murder them?"" Would it be conducive to one's life to attempt to murder someone every time they push you? I think not. Surely more egregious force would be required to practically justify such a retaliation. I was merely delineating the principle on which such an action would be automatically excluded from consideration. "" If a woman is guilty of slapping him around the face, he is morally entitled to rape her?"" See above. "" Nice use of vocabulary. I argue that if knowledge is accepted without sufficient proof it becomes a moral issue. "" But the question of the resolution isn't whether waterboarding without sufficient proof is immoral-- only whether waterboarding ABSOLUTELY, irregardless of any context, including the context of proof of guilt, is immoral (I'm not disputing that waterboarding is torture, so consider that something we don't have to argue.) "" So they initiated force against the US before the US existed? "" This (and what was above it) misunderstands the meaning of ""initiate force--"" To start the use of force where no one else has is to introduce the consideration of force against you by anyone, not just your immediate target. Is a court expected to stand by when an innocent is murdered, simply because the court wasn't targeted? No. The middle eastern countries in question initiated force against their own citizens. "" My opponent seems to think that establishing a religious state (oppressive theocracy) is an initiation of force"" As a concrete of this abstraction-- Premarital consensual sex is not an act of force. Iran, as one example, regularly stones people to death for acts of premarital consensual sex. Therefore, their legal system initiates force. The fact of the third party targeting does not remove the fact that such an initiation ( a definitely egregious one, not at all comparable to, say, shoving, by the way), opens Iran up as an on principle permissible target-- Whether to act on that permissibility becomes a problem of situational practicality of course. "" Forgive my ignorance but I don't speak whatever language or jargon this is, could you please provide an English translation?"" Fallacy of appeal to authority. Now, if you'd like to introduce a definition that actually gives us a standard of morality to act on, we can argue about it. Otherwise, you're stuck with the standard I've brought in :).",1,Ragnar_Rahl,"
  
""  
My opponent seems to have manoeuvred this debate away from a discussion of the rights and wrongs of water boarding (which he does not refer to once in round 2) and seems determined to defend his peculiar (if not ""bizarre"") idea of morality.""  
It's not steering the debate away from A to discuss X if A's truth or falsehood is dependent on X's truth or falsehood.  
  
""  
This would appear to basically consist of self-preservation with a slight touch of hedonism. It is an interpretation I am not really familiar with but sounds similar to the amorality (unconcerned with right and wrong) of Aleistair Crowley who's philosophy was ""do what thou wilt shall be the whole of the law.""""  
How is ""doing what thou wilt"" in any way similar to doing what will keep you alive and hopefully happy (alive being the first requirement)? Surely telling someone considering drugs to ""do what thou wilt"" isn't good for their life :).  
  
""  
I am glad that he feels his own interpretation (supposedly) backed up by his one cited source (Wikepedia) is superior to that of several reputable dictionaries and although this opinion radically redefines morality it is in fact not contradictory of the ""universal death"" model.""  
You misinterpreted. The dictionaries don't prescribe the universal death model because they don't make any prescriptions-- they just say, in essence, morality is morality, and don't go any further really in telling you what the word means :). It is they, not the ""universal death"" model that my statements don't contradict :).  
  
"". Instead it discusses Eudaimonia, commonly translated as happiness, but usually seen as having connotations with virtue and knowledge.he section referring to Aristotle says:  
""Eudaimonia is constituted, according to Aristotle, not by honor, or wealth, or power, but by rational activity in accordance with virtue over a complete life. Such activity manifests the virtues of character, including, honesty, pride, friendliness, and wittiness; the intellectual virtues, such as rationality in judgment; and non-sacrificial (i.e. mutually beneficial) friendships and scientific knowledge (knowledge of things that are fundamental and/or unchanging is the best).Epicurus agrees with Aristotle that eudaimonia is the highest good. However, unlike Aristotle, he identifies eudaimonia with pleasure.""  
It sounds like the Aristotelian position supports the established version and if anyone is backing up my opponent it is the hedonist Epicurus.  
""  
You missed the ""human flourishing"" part, the ""complete life"" part, the ""non-sacrificial"" part-- need I go on?  
  
""  
My opponent seems here to be cheerfully condoning murder and rape as well as torture.  
Is he saying that if someone pushes you, you can murder them?""  
Would it be conducive to one's life to attempt to murder someone every time they push you? I think not. Surely more egregious force would be required to practically justify such a retaliation. I was merely delineating the principle on which such an action would be automatically excluded from consideration.  
  
""  
If a woman is guilty of slapping him around the face, he is morally entitled to rape her?""  
See above.  
  
""  
Nice use of vocabulary. I argue that if knowledge is accepted without sufficient proof it becomes a moral issue.  
""  
But the question of the resolution isn't whether waterboarding without sufficient proof is immoral-- only whether waterboarding ABSOLUTELY, irregardless of any context, including the context of proof of guilt, is immoral (I'm not disputing that waterboarding is torture, so consider that something we don't have to argue.)  
  
""  
So they initiated force against the US before the US existed? ""  
This (and what was above it) misunderstands the meaning of ""initiate force--"" To start the use of force where no one else has is to introduce the consideration of force against you by anyone, not just your immediate target. Is a court expected to stand by when an innocent is murdered, simply because the court wasn't targeted? No. The middle eastern countries in question initiated force against their own citizens.  
  
""  
My opponent seems to think that establishing a religious state (oppressive theocracy) is an initiation of force""  
As a concrete of this abstraction--  
Premarital consensual sex is not an act of force. Iran, as one example, regularly stones people to death for acts of premarital consensual sex. Therefore, their legal system initiates force. The fact of the third party targeting does not remove the fact that such an initiation ( a definitely egregious one, not at all comparable to, say, shoving, by the way), opens Iran up as an on principle permissible target-- Whether to act on that permissibility becomes a problem of situational practicality of course.  
  
""  
Forgive my ignorance but I don't speak whatever language or jargon this is, could you please provide an English translation?""  
Fallacy of appeal to authority.  
  
Now, if you'd like to introduce a definition that actually gives us a standard of morality to act on, we can argue about it. Otherwise, you're stuck with the standard I've brought in :).",Society,2,Water-Boarding-is-an-act-of-torture-and-is-immoral./1/,70746
