,text,label,author,original_text,category,round,debate_id,idx
0,"----Counterargument---- My opponent says ""Gum chewing prevents bad breath."" Bad breath is extremely easy to fix. Nowadays, most kids brush their teeth before going to school, so there isn't that problem. Also, kids can chew gum BEFORE school or on their way to school to get rid of bad breath. There is no way kids need to chew gum in school to get rid of bad breath. Besides, within 5 minutes of the school day if the kids were allowed to chew gum, the bad breath would already be gone. ""Gum chewing has been proven to help kids focus."" This is NOT true, though many people wrongly think so. First of all, not enough research has been done to fully prove this is true. Secondly, it does not help you get higher test scores, actually it will distract you from taking the test because you'll be so worried on if it'll help you or not. Knowing the information will get you higher test scores. If gum does anything at all, it is solely based on the placebo effect. Also, when kids chew gum, it distracts the kids next to them that may not be chewing gum. ""People pick up trash after themselves."" So, some people may be respectful to pick up trash. But let me tell you, in school, kids do not pick up their trash. I have plenty of proof since I am in school. Schools that allow gum chewing have gum in the carpet, under desks and chairs, and all over the walls. It is gross. Kids are getting sick because of all the germs from chewed gum all around them. Janitors don't want to clean up all the gum more then anyone else does, yet they are the ones who have to do it. ""People are respectful and can be told to stop if ""smacking"""" First of all, teachers don't always notice that a student is smacking because they are at the front of the room and less likely to hear it. But the other students next to the smacking student are sure to hear it and it is very annoying. Also, if the teacher does notice, the student may stop smacking but then start again a few minutes later. Sadly, students love to play games like this with the teacher. Thirdly, an older student may entirely stop smacking in that class, but since older students switch classes, they will just start again in their next class. This will distract even more kids next to them until the teacher, at the front of the room, hears them. All these distractions and annoyances lower the grades of students that are next to smacking students. ----Conclusion---- I thank my opponent for taking this debate and wait for my opponent's rebuttal. References 1. <URL>...",1,puppyluvz,"
  
----Counterargument----  
  
My opponent says ""Gum chewing prevents bad breath.""  
  
Bad breath is extremely easy to fix. Nowadays, most kids brush their teeth before going to school, so there isn't that problem. Also, kids can chew gum BEFORE school or on their way to school to get rid of bad breath. There is no way kids need to chew gum in school to get rid of bad breath. Besides, within 5 minutes of the school day if the kids were allowed to chew gum, the bad breath would already be gone.  
  
""Gum chewing has been proven to help kids focus.""  
  
This is NOT true, though many people wrongly think so. First of all, not enough research has been done to fully prove this is true. Secondly, it does not help you get higher test scores, actually it will distract you from taking the test because you'll be so worried on if it'll help you or not. Knowing the information will get you higher test scores. If gum does anything at all, it is solely based on the placebo effect. Also, when kids chew gum, it distracts the kids next to them that may not be chewing gum.  
  
""People pick up trash after themselves.""  
  
So, some people may be respectful to pick up trash. But let me tell you, in school, kids do not pick up their trash. I have plenty of proof since I am in school. Schools that allow gum chewing have gum in the carpet, under desks and chairs, and all over the walls. It is gross. Kids are getting sick because of all the germs from chewed gum all around them. Janitors don't want to clean up all the gum more then anyone else does, yet they are the ones who have to do it.  
  
""People are respectful and can be told to stop if ""smacking""""  
  
First of all, teachers don't always notice that a student is smacking because they are at the front of the room and less likely to hear it. But the other students next to the smacking student are sure to hear it and it is very annoying. Also, if the teacher does notice, the student may stop smacking but then start again a few minutes later. Sadly, students love to play games like this with the teacher. Thirdly, an older student may entirely stop smacking in that class, but since older students switch classes, they will just start again in their next class. This will distract even more kids next to them until the teacher, at the front of the room, hears them. All these distractions and annoyances lower the grades of students that are next to smacking students.  
  
----Conclusion----  
I thank my opponent for taking this debate and wait for my opponent's rebuttal.  
  
References  
1.   http://www.teach-nology.com...",Education,1,Gum-Chewing-in-school/1/,15438
1,"First let me start off by defining Euthanasia. Euthanasia: Ending the life of an individual suffering from a terminal illness by lethal injection or suspension of medical treatment. *Euthanasia comes from the Greek word Euthanasia, which means good death* <URL>... my opponent has argued ""I think its wrong because it's exactly like murder and it should not be made legal"" Murder:the killing of another human being under conditions specifically covered in law. Euthanasia and murder are very different. When a person gets euthanized, they choose to die. They no longer want to be on earth. When a person gets murdered, it is not their choice, it is the murderer's. Two very different things. My arguments: 1) People who are terminally ill (people who have cancer,etc.) feel that they are going to die soon anyways, and they feel that they no longer need to live. Why do they need to suffer until they die, when they themselves, are ready to die and feel no more pain. I don't know what your beliefs are, but maybe some of the people feel that their pain on earth is over and they need to go to Heaven. 2) The person on their ""deathbed"" may have a poor quality of life. They may have to make multiple hospital visits, and spend money on medication, which means they have very little money. They would also not get to enjoy life, with the suffering, pain, hospital and doctor visits. They may be very depressed that they don't get to live their lives normal, and they may even become jealous of everybody else. Why would you want someone to suffer if they were ready to go in the first place? 80% of people surveyed agreed that doctors should do PAS, or physician assisted suicide. (which is the same thing as Euthanasia) <URL>... This is my argument and I cant wait to hear yours!",1,RacH3ll3,"
  
First let me start off by defining Euthanasia.  
  
Euthanasia: Ending the life of an individual suffering from a terminal illness by lethal injection or suspension of medical treatment.  
*Euthanasia comes from the Greek word Euthanasia, which means good death*  
  http://dictionary.reference.com...  
  
my opponent has argued ""I think its wrong because it's exactly like murder and it should not be made legal""  
Murder:the killing of another human being under conditions specifically covered in law.  
Euthanasia and murder are very different. When a person gets euthanized, they choose to die. They no longer want to be on earth. When a person gets murdered, it is not their choice, it is the murderer's. Two very different things.  
  
My arguments:  
  
1) People who are terminally ill (people who have cancer,etc.) feel that they are going to die soon anyways, and they feel that they no longer need to live. Why do they need to suffer until they die, when they themselves, are ready to die and feel no more pain. I don't know what your beliefs are, but maybe some of the people feel that their pain on earth is over and they need to go to Heaven.  
  
2) The person on their ""deathbed"" may have a poor quality of life. They may have to make multiple hospital visits, and spend money on medication, which means they have very little money. They would also not get to enjoy life, with the suffering, pain, hospital and doctor visits. They may be very depressed that they don't get to live their lives normal, and they may even become jealous of everybody else. Why would you want someone to suffer if they were ready to go in the first place? 80% of people surveyed agreed that doctors should do PAS, or physician assisted suicide. (which is the same thing as Euthanasia)  
  http://www.snn-rdr.ca...  
  
This is my argument and I cant wait to hear yours!",Education,0,Euthanasia/4/,11133
2,"I will provide a few definitions to begin this debate. MATH Main Entry: mathematics Pronunciation: \u02ccmath-'ma-tiks, ,ma-th@-Function: noun plural but usually singular in construction Date: 1573 a : the science of numbers and their operations, interrelations, combinations, generalizations, and abstractions and of space configurations and their structure, measurement, transformations, and generalizations OWN Main Entry: own Function: verb Date: before 12th century transitive verb a : to have or hold as property : possess b : to have power or mastery over TANGIBLE Main Entry: 1tangible Pronunciation: \u02c8tan-j@-b@lFunction: adjective Etymology: Late Latin tangibilis, from Latin tangere to touch Date: 1589 1 a : capable of being perceived especially by the sense of touch : palpable b : substantially real INTANGIBLE Main Entry: intangible Pronunciation: \(,)in-'tan-j@-b@lFunction: adjective Etymology: French or Medieval Latin; French, from Medieval Latin intangibilis, from Latin in- + Late Latin tangibilis tangible Date: 1640 : not tangible <URL>... Math cannot own anything. If my opponent believes that Math can own, I would like examples. I can prove that people can own something by giving examples.",1,EHS_Debate,"
  
I will provide a few definitions to begin this debate.  
  
MATH  
  
Main Entry: mathï¿½eï¿½matï¿½ics  
Pronunciation: \ˌmath-ˈma-tiks, ˌma-thə-Function: noun plural but usually singular in construction  
Date: 1573  
a : the science of numbers and their operations, interrelations, combinations, generalizations, and abstractions and of space configurations and their structure, measurement, transformations, and generalizations  
  
OWN  
  
Main Entry: own  
Function: verb  
Date: before 12th century  
transitive verb  
a : to have or hold as property : possess  
b : to have power or mastery over  
  
TANGIBLE  
  
Main Entry: 1tanï¿½giï¿½ble  
Pronunciation: \ˈtan-jə-bəlFunction: adjective  
Etymology: Late Latin tangibilis, from Latin tangere to touch  
Date: 1589  
1 a : capable of being perceived especially by the sense of touch : palpable b : substantially real  
  
INTANGIBLE  
  
Main Entry: inï¿½tanï¿½giï¿½ble  
Pronunciation: \(ˌ)in-ˈtan-jə-bəlFunction: adjective  
Etymology: French or Medieval Latin; French, from Medieval Latin intangibilis, from Latin in- + Late Latin tangibilis tangible  
Date: 1640  
: not tangible  
  
  http://www.merriam-webster.com...  
  
Math cannot own anything. If my opponent believes that Math can own, I would like examples.  
  
I can prove that people can own something by giving examples.",Education,0,Math-owns/1/,24529
3,"The attempts made my chemical research had little effect on chemistry today. This research simply told us which chemical killed people in the worst way. We had already known that certain chemicals could kill us. If you wish to prove your point please tell me how this advanced our understanding of peacetime chemistry. The Nazi party would not have been found in Germany if they had not entered the war. WWI would not have eventually happened, and Jews would not be blamed and executed. All of the technologies you listed would be necessary in the future, and would be developed, just not under warlike circumstances. Here are all my resources <URL>... Stone, Norman. World War One. New York: Basic, 2009. Print.",1,sovietsalesman39,"
  
The attempts made my chemical research had little effect on chemistry today. This research simply told us which chemical killed people in the worst way. We had already known that certain chemicals could kill us. If you wish to prove your point please tell me how this advanced our understanding of peacetime chemistry. The Nazi party would not have been found in Germany if they had not entered the war. WWI would not have eventually happened, and Jews would not be blamed and executed. All of the technologies you listed would be necessary in the future, and would be developed, just not under warlike circumstances.  
Here are all my resources  
  http://www.greatwar.co.uk...  
Stone, Norman. World War One. New York: Basic, 2009. Print.",Education,3,Was-World-War-One-a-pointless-war/1/,47431
4,"First, I believe I misinterpreted the topic. Is this about the use of medication as treatment, or the existence of ADHD? I believe it is the former, and I will proceed with that for this round. Second, once again, the fact that there are numerous adults who have been diagnosed with ADHD removes arguments about classroom settings, and excessive energy. ""Who has set the maximum limit for a childs level of energy, brain activity and the need to let it out? Public Schools set the bar for this way too low for a start."" Public schools do not set that limit. When it comes to diagnoses, that limit is set by child psychologists. ================================================================= ""Why exactly is this a problem? If you can say you are smarter than other people in your class then why do you need to be good at everything? Have you considered that you as an individual are just meant to walk down a certain path of life that includes this activity. In order for you to have realise how smart you are there must be something you are good at and maybe that is your purprise in life. Do you need to be diagnosed with ADHD to fulfull that role for the rest of time?"" This is non-responsive. What my point was addressing was the fact that inattentiveness occurs even in situations where a child is not bored. ===================================================================== ""As for your big list of symptoms for what you are saying is not a disease. It is just list of rules for children to ""learn"" they are not born with them programmed in and they will not learn them for many many years."" It is a set of societal norms which children are expected, and indeed, everyone is expected to know and follow if they expect to interact with society at large. Saying that we should not expect children to obey these if they do not wish to essentially frees a parent from any responsibility in their parenting, as well as creating societal anarchy, by saying we do not have to accept the rules of society. Please not I am not arguing for rigid conformity. I am simply saying there needs to be some limits to which people have to constrain themselves, if they wish to interact with society. ================================================================== ""Some of the smartest people in the world know nothing about some of the main stream subjects taught in every school."" Who? Are you saying some of the smartest people in the world are illiterate? Or know nothing of addition? Or perhaps we have just set a new standard for intelligence. ===================================================================== ""6 Months out of a childs life is a bit quick to drug them don't you think. Diagnoses them with something they will grow up believing they have and the cure is drugs instead of mental will power."" Not when considering most diagnoses also take into account the child's history. And remember, most parents probably do not want their child to be diagnosed. ===================================================================== ""Nice that my opponent is being open but while you are how about possible telling us your feelings as a child regarding moving homes? Moving states, disruption, change of schools, change of friends. My experiance in familys that move to entire new states is they move a lot or have little support from other family. Have you considered that with all this going it may just have caused your young little mind to get all tangled up and because you are so young you have no idea how to deal with it?"" I was pretty messed up for about a year after that, but consider two things. One, the diagnosis took into account my past, and second, the messed up mostly manifested itself as anger, not as excessive energy, or inability to pay attention. ============================================================== What my opponent seems to be arguing is that we should not set limits on childrens behavior, and that we do not have to enforce the barest minimum of societal standards for behavior, because that is just how children are. This ignores several issues. First, children will eventually grow up to be adults. And look at what occurs with children who lacked parental attention and guidance. There tends to be higher rates of crime, lower income levels, etcetera. Second, children interact with other children. Couple that with the fact that young children tend to be rather vicious, and then remove parental limitations. Ultimately, some sort of standards for interaction with society need to exist, and everyone needs to follow these standards. At the point where medication is necessary, be it for ADHD, or schizophrenia, it should be used. If it becomes unnecessary, then it should not.",1,LB628,"
  
First, I believe I misinterpreted the topic. Is this about the use of medication as treatment, or the existence of ADHD? I believe it is the former, and I will proceed with that for this round.  
  
Second, once again, the fact that there are numerous adults who have been diagnosed with ADHD removes arguments about classroom settings, and excessive energy.  
  
""Who has set the maximum limit for a childs level of energy, brain activity and the need to let it out? Public Schools set the bar for this way too low for a start.""  
  
Public schools do not set that limit. When it comes to diagnoses, that limit is set by child psychologists.  
  
=================================================================  
  
""Why exactly is this a problem? If you can say you are smarter than other people in your class then why do you need to be good at everything? Have you considered that you as an individual are just meant to walk down a certain path of life that includes this activity. In order for you to have realise how smart you are there must be something you are good at and maybe that is your purprise in life. Do you need to be diagnosed with ADHD to fulfull that role for the rest of time?""  
  
This is non-responsive. What my point was addressing was the fact that inattentiveness occurs even in situations where a child is not bored.  
  
=====================================================================  
  
""As for your big list of symptoms for what you are saying is not a disease. It is just list of rules for children to ""learn"" they are not born with them programmed in and they will not learn them for many many years.""  
  
It is a set of societal norms which children are expected, and indeed, everyone is expected to know and follow if they expect to interact with society at large. Saying that we should not expect children to obey these if they do not wish to essentially frees a parent from any responsibility in their parenting, as well as creating societal anarchy, by saying we do not have to accept the rules of society.  
Please not I am not arguing for rigid conformity. I am simply saying there needs to be some limits to which people have to constrain themselves, if they wish to interact with society.  
  
==================================================================  
  
""Some of the smartest people in the world know nothing about some of the main stream subjects taught in every school.""  
  
Who? Are you saying some of the smartest people in the world are illiterate? Or know nothing of addition? Or perhaps we have just set a new standard for intelligence.  
  
=====================================================================  
  
""6 Months out of a childs life is a bit quick to drug them don't you think. Diagnoses them with something they will grow up believing they have and the cure is drugs instead of mental will power.""  
  
Not when considering most diagnoses also take into account the child's history. And remember, most parents probably do not want their child to be diagnosed.  
  
=====================================================================  
""Nice that my opponent is being open but while you are how about possible telling us your feelings as a child regarding moving homes? Moving states, disruption, change of schools, change of friends. My experiance in familys that move to entire new states is they move a lot or have little support from other family. Have you considered that with all this going it may just have caused your young little mind to get all tangled up and because you are so young you have no idea how to deal with it?""  
  
I was pretty messed up for about a year after that, but consider two things. One, the diagnosis took into account my past, and second, the messed up mostly manifested itself as anger, not as excessive energy, or inability to pay attention.  
  
==============================================================  
  
What my opponent seems to be arguing is that we should not set limits on childrens behavior, and that we do not have to enforce the barest minimum of societal standards for behavior, because that is just how children are. This ignores several issues. First, children will eventually grow up to be adults. And look at what occurs with children who lacked parental attention and guidance. There tends to be higher rates of crime, lower income levels, etcetera. Second, children interact with other children. Couple that with the fact that young children tend to be rather vicious, and then remove parental limitations.  
  
Ultimately, some sort of standards for interaction with society need to exist, and everyone needs to follow these standards. At the point where medication is necessary, be it for ADHD, or schizophrenia, it should be used. If it becomes unnecessary, then it should not.",Education,1,Is-ADHD-a-real-disease/1/,19698
5,"Well i guess my opponent does not want to debate seriously, or attempt to even debate at all. Suggestions for your next debate, provide defintions, tell me what you are arguing towards, and provide some definitions. In light of this all, I urge a CON vote.",1,EHS_Debate,"
  
Well i guess my opponent does not want to debate seriously, or attempt to even debate at all.  
  
Suggestions for your next debate, provide defintions, tell me what you are arguing towards, and provide some definitions.  
  
In light of this all, I urge a CON vote.",Education,2,Math-owns/1/,24531
6,I reckon that students should be made to go to school untill the end of high school because it will give them a better understanding of the subjects that they are doing. Because untill years 11 and 12 there isnt much depth into any of the topics its only untill the last 2 years of high school that you really get into a subject.,1,Shadowraith,"
  
I reckon that students should be made to go to school untill the end of high school because it will give them a better understanding of the subjects that they are doing. Because untill years 11 and 12 there isnt much depth into any of the topics its only untill the last 2 years of high school that you really get into a subject.",Education,0,Should-students-be-made-to-go-to-school-till-the-end-of-high-school/1/,35383
7,"1:Loss You'd be surprised. People bring phones to school and then bam it's gone PS50 down the drain. 2:False Trust The teachers can't be with every student all the time 1. Schools already have computers, and I can guarantee you that a phone with an internet connection isn't going to be cheaper than ca computer. 2. Just because you've never heard of it doesn't mean my argument is refuted 3. i) Low battery. ii) Phones have a much greater chance of being lost. 4. You could do the same thing with computers. The difference being that when the teacher has his/her back turned, some scoundrels could be playing on their phone. Vote for con please.",1,KingDebater,"
  
  1:Loss  You'd be surprised.  People bring phones to school and then bam it's gone £50 down the drain.  2:False Trust  The teachers can't be with every student all the time   1. Schools already have computers, and I can guarantee you that a phone with an internet connection isn't going to be cheaper than ca computer.  2. Just because you've never heard of it doesn't mean my argument is refuted  3. i) Low battery. ii) Phones have a much greater chance of being lost.   4. You could do the same thing with computers. The difference being that when the teacher has his/her back turned, some scoundrels could be playing on their phone.   Vote for con please. ",Education,3,Should-mobile-phones-be-allowed-in-schools/1/,35097
8,"HaHa - no worries. I don't think I've ever debated Khan or even seen any of his debates. I'm sure he is just as annoying as you say he is; however, there is no need for him to be kicked off this website... he's gone! Yaaay.",1,Danielle,"
  
HaHa - no worries. I don't think I've ever debated Khan or even seen any of his debates. I'm sure he is just as annoying as you say he is; however, there is no need for him to be kicked off this website... he's gone! Yaaay.",Education,1,Khan-needs-to-be-kicked-off-of-this-Website/1/,22726
9,"I will show evidence that ""instructed people"" are less likely to believe in God and vice-versa. <URL>... The people in the Royal Society have been ""instructed"" much more than the majority. ""A survey of Royal Society fellows found that only 3.3 per cent believed in God - at a time when 68.5% of the [...] UK [...] described themselves as believers."" ""A separate poll in the 90s found only [7%] of members of the American National Academy of Sciences believed in God.""",1,s0m31john,"
  
I will show evidence that ""instructed people"" are less likely to believe in God and vice-versa.  
  
  http://tinyurl.com...  
  
The people in the Royal Society have been ""instructed"" much more than the majority.  
  
""A survey of Royal Society fellows found that only 3.3 per cent believed in God - at a time when 68.5% of the [...] UK [...] described themselves as believers.""  
  
""A separate poll in the 90s found only [7%] of members of the American National Academy of Sciences believed in God.""",Education,0,If-you-are-less-instructed-you-believe-more-in-God/1/,18662
