,text,label,author,original_text,category,round,debate_id,idx
0,"Seeing that our definitions are both the slang sense of negativity, there is no topicality conflict here. 1. I Am a Ginger Carry this argument because my opponent agrees that it is theoretically impossible for a non-ginger to feel more unhappiness than a ginger. 2. jdog2016 is the Prince of Jordan A. His show is all a show. My opponent has been spotlighted on multiple occasions on CNN, Fox News, BBC, and the Weather Channel trying to pretend that his royal life is all a miserable experience. However, many insiders have reported my opponent plotting to frame His Majesty the King of Jordan for child abuse in order to take away his throne. The truth of the matter is that when people buy into his stories of child abuse, his life only becomes better. Because people in Middle Eastern countries buy dat dump, his life becomes increasingly better than mine. B. False. My opponent states that the royal palace of Jordan only has one bathroom. False. ""The royal palace in Jordan is absolutely beyond belief. The building spans 500,000 acres wide, there is an indoor shopping mall of all things, and you can't go anywhere in the complex without being at least twenty feet away from a bathroom."" - The Great Philosopher Mick Jagger Once again, my opponent has made up malicious libel. C. Air Conditioning My opponent thinks his life is so freaking terrible because he has no Air Conditioning. Think about this. I live in Northeast South Dakota. There is still snow on the ground in April, and we are so separated from civilization that heat and food has become even more scarce than air conditioning in Jordan. On a good day, we only lose two relatives to hypothermia and one to excessive diarrhea. On any other day, Cousin Eddie and Grandpa Sittingbull might just poop themselves to death on the same day. Recap: My heart sucks happiness out of me, so in theory no one can have a better life than me. The royal pains my opponent experiences are all frauds. There are multiple bathrooms in the royal palace. My climate situation is far worse. PRO WINS.",1,MassiveDump,"
  
  Seeing that our definitions are both the slang sense of negativity, there is no topicality conflict here.  1. I Am a Ginger  Carry this argument because my opponent agrees that it is theoretically impossible for a non-ginger to feel more unhappiness than a ginger.  2. jdog2016 is the Prince of Jordan  A. His show is all a show.  My opponent has been spotlighted on multiple occasions on CNN, Fox News, BBC, and the Weather Channel trying to pretend that his royal life is all a miserable experience. However, many insiders have reported my opponent plotting to frame His Majesty the King of Jordan for child abuse in order to take away his throne. The truth of the matter is that when people buy into his stories of child abuse, his life only becomes better. Because people in Middle Eastern countries buy dat dump, his life becomes increasingly better than mine.  B. False.  My opponent states that the royal palace of Jordan only has one bathroom. False.  ""The royal palace in Jordan is absolutely beyond belief. The building spans 500,000 acres wide, there is an indoor shopping mall of all things, and you can't go anywhere in the complex without being at least twenty feet away from a bathroom.""  - The Great Philosopher Mick Jagger   Once again, my opponent has made up malicious libel.  C. Air Conditioning  My opponent thinks his life is so freaking terrible because he has no Air Conditioning. Think about this. I live in Northeast South Dakota. There is still snow on the ground in April, and we are so separated from civilization that heat and food has become even more scarce than air conditioning in Jordan. On a good day, we only lose two relatives to hypothermia and one to excessive diarrhea. On any other day, Cousin Eddie and Grandpa Sittingbull might just poop themselves to death on the same day.  Recap:  
  
  My heart sucks happiness out of me, so in theory no one can have a better life than me.  
  The royal pains my opponent experiences are all frauds.  
  There are multiple bathrooms in the royal palace.  
  My climate situation is far worse.  
  
  PRO  WINS.   
",Entertainment,2,My-Life-Sucks-More-Than-My-Opponents/1/,25936
1,"Melanie Chisholm --->Sam Jackson 1) Melanie Chisholm in Spice World with Meat Loaf, 2) Meat Loaf in Formula 51 with Sam Jackson. ==Challenge== Tom Hardy ---> Sam Jackson",1,xxdarkxx,"
  
Melanie Chisholm --->Sam Jackson  
1) Melanie Chisholm in   Spice World   with Meat Loaf,  
2) Meat Loaf in   Formula 51   with Sam Jackson.  
  
==Challenge==  
Tom Hardy ---> Sam Jackson",Entertainment,1,6-Degrees-to-Samuel-L-Jackson/1/,290
2,"Cross-Examination Response: Question #1: I'm not certain as to how many times Spidey and the Hulk fought, but I do know that their battles typically have no conclusion (due to some outside interference variables getting in the way). In addition, Spider-Man is usually battling a pre-angered Hulk. In spite that unfair advantage, he is usually too fast for the Hulk. I will say that I recall one instance where the Hulk had defeated Spider-man with a thunder clap, but he had been angered significantly (which I'm arguing wouldn't be the case here). Also, let us take note of the following: <URL>... <URL>... <URL>... <URL>... <URL>... Now although it's true that Spidey was clearly outmatched here, we must keep in mind that as suggested by the Spidey's line about that being the first or second time he fought the Hulk (Spider-man had battled the Hulk as early as the Green Goblin's first appearance, which isn't even past the first 15 issues). Basically, this was at the beginning of his career. He was nowhere near as strong or experienced as he is now. Let us also keep in mind that Spider-Man has been trained by Captain America several times while part of the Avengers. As long as Spider-Man followed Captain America's lessons and applied some of his own experience, we have plenty of reason to conclude that he could make short work of the Hulk like this as well. Of course, when combined with the showing which can be found in my evidence thread, there is no doubt that this is feasible. Question #2: How do you compare Spidey and Hulk in terms of base strength? What is meant by base strength? Unlike the Hulk, there is no variable (anger) which can change Spider-man's strength level. Based on the strength feats I've provided (especially the one where he uses his physical strength to ""support"" the daily bugle) as well as the dialogue between Spider-Man and Iron-Man in ""What if Mary Jane had been shot instead of Aunt May"" comic (Spider-Man is suggested as possible being even stronger and faster than Iron-Man when cutting loose), I'd say easily the 100 ton class (likely higher, but this should serve as a liberal estimate). Though given that someone who is merely at the highest possible level of human normal human strength (Captain America) can possible take down the Hulk and given that Spider-Man has taken lessons from this very same person while being a part of the Avengers (as indicated by Friendly Neighborhood Spider-Man #1), it really wouldn't even matter if Spider-Man weren't cutting loose. The Hulk's lack of fighting skill and intelligence in general will give Spider-man the win. Question #3: How fast do you think Hulk is compared to Spiderman? At his weakest (base state, hardly angry), likely weaker than a Spider-Man who is cutting loose. Though if made angry enough, I'll be the first to say that Spider-Man stands no chance against him (neither would 90% of the MU). Fortunately, Spider-Man is well aware of the hulk's strength/weaknesses, thus wouldn't allow him the opportunity to get angry enough if given the chance. Question #4: How durable would you say Spidey is compared to Hulk? (Base) Again, at his weakest, less durable. Question #5: What are your thoughts on the regenerative powers of both opponents? (Base) The Hulk's are better. Spider-Man has never been shown as having any potent regenerative abilities that actively work even mid battle. Question #6: How intelligent would you say Peter Parker is compared to Reed Richards, Bruce Banner or Tony Stark? Hank Pym states that Spider-Man is smarter than him: <URL>... I'd say Hank Pym is probably on par with Tony Stark. That said Richards and Banner are certainly above them. I'd say Peter is potentially smarter than Reed Richards and Bruce Banner, but (as Hank Pym points out) doesn't utilize that potential due to crime fighting. At any rate, I believe I know how my opponent intends to use the answer to that question, so let me just stop him in advance by pointing out that if he attempts to start using any form of Hulk other than normal Hulk, I can just as easily cite Cosmic Spider-Man.",1,Logical-Master,"
  
Cross-Examination Response:  
  
Question #1: I'm not certain as to how many times Spidey and the Hulk fought, but I do know that their battles typically have no conclusion (due to some outside interference variables getting in the way). In addition, Spider-Man is usually battling a pre-angered Hulk. In spite that unfair advantage, he is usually too fast for the Hulk. I will say that I recall one instance where the Hulk had defeated Spider-man with a thunder clap, but he had been angered significantly (which I'm arguing wouldn't be the case here).  
  
Also, let us take note of the following:  
  
  http://i114.photobucket.com...  
  http://i114.photobucket.com...  
  http://i114.photobucket.com...  
  http://i114.photobucket.com...  
  http://i114.photobucket.com...  
  
Now although it's true that Spidey was clearly outmatched here, we must keep in mind that as suggested by the Spidey's line about that being the first or second time he fought the Hulk (Spider-man had battled the Hulk as early as the Green Goblin's first appearance, which isn't even past the first 15 issues). Basically, this was at the beginning of his career. He was nowhere near as strong or experienced as he is now. Let us also keep in mind that Spider-Man has been trained by Captain America several times while part of the Avengers. As long as Spider-Man followed Captain America's lessons and applied some of his own experience, we have plenty of reason to conclude that he could make short work of the Hulk like this as well. Of course, when combined with the showing which can be found in my evidence thread, there is no doubt that this is feasible.  
  
Question #2: How do you compare Spidey and Hulk in terms of base strength?  
  
What is meant by base strength? Unlike the Hulk, there is no variable (anger) which can change Spider-man's strength level. Based on the strength feats I've provided (especially the one where he uses his physical strength to ""support"" the daily bugle) as well as the dialogue between Spider-Man and Iron-Man in ""What if Mary Jane had been shot instead of Aunt May"" comic (Spider-Man is suggested as possible being even stronger and faster than Iron-Man when cutting loose), I'd say easily the 100 ton class (likely higher, but this should serve as a liberal estimate). Though given that someone who is merely at the highest possible level of human normal human strength (Captain America) can possible take down the Hulk and given that Spider-Man has taken lessons from this very same person while being a part of the Avengers (as indicated by Friendly Neighborhood Spider-Man #1), it really wouldn't even matter if Spider-Man weren't cutting loose. The Hulk's lack of fighting skill and intelligence in general will give Spider-man the win.  
  
Question #3:  
How fast do you think Hulk is compared to Spiderman?  
  
At his weakest (base state, hardly angry), likely weaker than a Spider-Man who is cutting loose. Though if made angry enough, I'll be the first to say that Spider-Man stands no chance against him (neither would 90% of the MU). Fortunately, Spider-Man is well aware of the hulk's strength/weaknesses, thus wouldn't allow him the opportunity to get angry enough if given the chance.  
  
Question #4: How durable would you say Spidey is compared to Hulk? (Base)  
  
Again, at his weakest, less durable.  
  
Question #5:  
What are your thoughts on the regenerative powers of both opponents? (Base)  
  
The Hulk's are better. Spider-Man has never been shown as having any potent regenerative abilities that actively work even mid battle.  
  
Question #6:  
How intelligent would you say Peter Parker is compared to Reed Richards, Bruce Banner or Tony Stark?  
  
Hank Pym states that Spider-Man is smarter than him:  http://img98.imageshack.us...  
  
I'd say Hank Pym is probably on par with Tony Stark. That said Richards and Banner are certainly above them. I'd say Peter is potentially smarter than Reed Richards and Bruce Banner, but (as Hank Pym points out) doesn't utilize that potential due to crime fighting.  
  
At any rate, I believe I know how my opponent intends to use the answer to that question, so let me just stop him in advance by pointing out that if he attempts to start using any form of Hulk other than normal Hulk, I can just as easily cite Cosmic Spider-Man.",Entertainment,3,Hulk-Vs-Spiderman-Hulk-wins/1/,17178
3,"I will begin my argument with my opponent's point that lamas would trample a coyote. However, due to the power and ferocity of the mandibles and speed of a coyote a lama would lose. For example, say a lama was charged buy a coyote. As all animals do it has a fight or flight instinct. Assuming it would fight, (my argument would be pointless if he ran) it is true it would probably try to trample the coyote. However, if the coyote could bite or wound even one of the lama's skinny legs it would limp and would not be able to walk. Then the coyote could use it's powerful jaws to attack the underside of the lama and spill its intestines all over the ground. Back to my opponent.",1,IwinYoulose333,"
  
I will begin my argument with my opponent's point that lamas would trample a coyote. However, due to the power and ferocity of the mandibles and speed of a coyote a lama would lose. For example, say a lama was charged buy a coyote. As all animals do it has a fight or flight instinct. Assuming it would fight, (my argument would be pointless if he ran) it is true it would probably try to trample the coyote. However, if the coyote could bite or wound even one of the lama's skinny legs it would limp and would not be able to walk. Then the coyote could use it's powerful jaws to attack the underside of the lama and spill its intestines all over the ground.  
  
Back to my opponent.",Entertainment,1,Llama-would-win-against-a-coyote-in-a-fight./1/,23713
4,"Peter Griffin is arguably more obese. Peter Griffin also has a talking dog, that writes books, bangs real woman, and drive. Homer has a mutt. Peter befriends a man with a speaking disorder, a crippled cop, and a perverted pedophile. He has more varied and interesting friends than Homer. Peter's wife does not have 5 foot clown hair. Peter arguably has better fighting skills, if you recall his fights with the chicken. Peter has an evil genius talking baby, while Homer has a mute baby. I believe Peter is superior in many ways.",1,whatledge,"
  
Peter Griffin is arguably more obese.  
Peter Griffin also has a talking dog, that writes books, bangs real woman, and drive. Homer has a mutt.  
Peter befriends a man with a speaking disorder, a crippled cop, and a perverted pedophile. He has more varied and interesting friends than Homer.  
Peter's wife does not have 5 foot clown hair.  
Peter arguably has better fighting skills, if you recall his fights with the chicken.  
Peter has an evil genius talking baby, while Homer has a mute baby.  
  
I believe Peter is superior in many ways.",Entertainment,0,Peter-Griffin-is-an-inferior-character-to-Homer-Simpson/1/,28348
5,"I thank my opponent's clear response. ""So in the previous round my opponent's whole argument was based on her having Social Phobia."" My opponent missed the point of my last argument. I was not saying that I must have Social Phobia or General Anxiety Disorder. I was trying to make a point that there are SO MANY other possibilities that my ""symptoms"" show signs of. A MAJORITY of the side effects my opponent listed for cocaine do not relate to me in any way such as changes in blood pressure, heart rates, breathing rates, nausea, vomiting, convulsions, swelling and bleeding of mucous membranes, damage to nasal cavities, and damage to lungs. On top of that, there are other common physical side effects that many people would notice (but don't) if I used cocaine. Short-term cocaine effects include: Increased blood pressure Constricted blood vessels Dilated pupils Mental alertness Increased energy Increased heart rate Decreased appetite Increased temperature ( <URL>... ) If I used crack, my pupils would most definitely be dilated. This is an obvious sign of cocaine use. My opponent has not mentioned this because he has never seen my pupils dilate in such a way. If he said such, it would be clear proof of cocaine use as it is not caused by many other things. My pupils do not dilate and have not dilated because I do not use or used cocaine. ""Social Phobia is caused by problems with neurotransmitters in the brain called dopamine and seretonin."" My opponent makes it seem like this is solid proof. This might not even be true! Although some studies suggest involvement of dopamine and serotonin, other studies have not supported the idea that these two neurotransmitters are related to social anxiety disorder ( <URL>... ). Once again, my opponent does not relay the true idea of my life when he says I, ""have moved from Virginia to Texas last year after your father remarried."" My opponent does truthfully say my father remarries but, he remarried when I was 6 years old. That happened almost 9 years ago. ""So your parents pay for everything and you only have $380 saved up? "" I am a teenage girl. I go shopping and to the movies every weekend. The $380 is my spending money. I said ""in cash"". I have thousands more saved in my bank account. I just like to stay at around $380 in cash. Each week I get $10. That's all. I only baby sit our neighbors every couple weeks. I don't get an extravagant amount all the time. ""I believe I have provided sufficient enough evidence to prove my point over yours."" I would disagree and say you did not prove your point over mine. I did so. ------------------------------------------------------------------------------------- I would really like to thank my opponent for offering this debate as my very first one to participate in. He is also my friend and was the one who encouraged me to join DDO. So, I give a special thanks to him. Thank you to everyone and anyone who votes in either favor. :) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :)",1,shadeofgrey,"
  
I thank my opponent's clear response.  
  
""So in the previous round my opponent's whole argument was based on her having Social Phobia.""  
  
My opponent missed the point of my last argument. I was not saying that I must have Social Phobia or General Anxiety Disorder. I was trying to make a point that there are SO MANY other possibilities that my ""symptoms"" show signs of.  
  
A MAJORITY of the side effects my opponent listed for cocaine do not relate to me in any way such as changes in blood pressure, heart rates, breathing rates, nausea, vomiting, convulsions, swelling and bleeding of mucous membranes, damage to nasal cavities, and damage to lungs. On top of that, there are other common physical side effects that many people would notice (but don't) if I used cocaine.  
  
Short-term cocaine effects include:  
Increased blood pressure  
Constricted blood vessels  
Dilated pupils  
Mental alertness  
Increased energy  
Increased heart rate  
Decreased appetite  
Increased temperature  
(  http://www.cocaine-effects.com...  )  
  
If I used crack, my pupils would most definitely be dilated. This is an obvious sign of cocaine use. My opponent has not mentioned this because he has never seen my pupils dilate in such a way. If he said such, it would be clear proof of cocaine use as it is not caused by many other things. My pupils do not dilate and have not dilated because I do not use or used cocaine.  
  
""Social Phobia is caused by problems with neurotransmitters in the brain called dopamine and seretonin.""  
  
My opponent makes it seem like this is solid proof. This might not even be true! Although some studies suggest involvement of dopamine and serotonin, other studies have not supported the idea that these two neurotransmitters are related to social anxiety disorder (  http://www.anxietytreatment.ca...  ).  
  
Once again, my opponent does not relay the true idea of my life when he says I, ""have moved from Virginia to Texas last year after your father remarried."" My opponent does truthfully say my father remarries but, he remarried when I was 6 years old. That happened almost 9 years ago.  
  
""So your parents pay for everything and you only have $380 saved up? ""  
  
I am a teenage girl. I go shopping and to the movies every weekend. The $380 is my spending money. I said ""in cash"". I have thousands more saved in my bank account. I just like to stay at around $380 in cash. Each week I get $10. That's all. I only baby sit our neighbors every couple weeks. I don't get an extravagant amount all the time.  
  
""I believe I have provided sufficient enough evidence to prove my point over yours.""  
  
I would disagree and say you did not prove your point over mine. I did so.  
-------------------------------------------------------------------------------------  
I would really like to thank my opponent for offering this debate as my very first one to participate in. He is also my friend and was the one who encouraged me to join DDO. So, I give a special thanks to him. Thank you to everyone and anyone who votes in either favor.  
  
:) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :)",Entertainment,2,My-Opponent-was-or-Currently-is-on-Crack/1/,25982
6,"Exactly. He is either trying to win or trying to lose. It doesn't matter which because in trying to do one he is trying to do the other and hence he is either both trying to win and trying to lose, or both trying to lose and trying to win. Either way he is trying to win. He is also trying to lose and should be DQd for that reason.",1,InfraRedEd,"
  
Exactly. He is either trying to win or trying to lose. It doesn't matter which because in trying to do one he is trying to do the other and hence he is either both trying to win and trying to lose, or both trying to lose and trying to win.  
  
Either way he is trying to win.  
  
He is also trying to lose and should be DQd for that reason.",Entertainment,4,My-opponent-will-try-to-win-this-debate/1/,26126
7,I thought I made it clear I was looking for an intelligent meaningful conversation.,1,InfraRedEd,"
  
I thought I made it clear I was looking for an intelligent meaningful conversation.",Entertainment,1,My-opponent-will-try-to-win-this-debate/1/,26123
8,"Firstly how dare you try to question the validity of my manhood. If I ever see you in RL I'll be sure to give you a Chuck Norris roundhouse kick to your delicate feminine chin lover boy and give you the discipline you need. My relationship status is only complicated because the Vegster maintains an extraordinary extravagant lifestyle, that in the words of masta bis is ""an unpardonable breach of confidence for me to reveal."" Indeed good sir my swagger is unprecedented and unparallelled. I pretty much got chicks lined up with their mouths open on all fours in abc order, single filed lines stretched out a quarter mile long ready to take down Mista V's smokin' hot pipe, or rather gargantuan man-meat. I'm far from cocky because I actually have a narcissist complex, but its been evaluated, verified and determined to be substantially justified. The Dr agreed no treatment was necessary. Enough about me though, I'll write my autobiography later which will is certainly be best seller and catapault my income into the million dollar bracket. Narcissism: <URL>... I'm sorry about ragging on your delicate feminism prince charming, but I just thought if you could take a D**K you could surely take a joke. Look man the Vegster is actually a tender loving compassionate soul, so for the time being instead of ragging on your homo erotic fudge packing pleasures, I'll concede to your family members instead. Lets start off with your obnoxious sister that you're parading around in your compilation of pictures, like shes supposed to be America's next top model when that's obviously far from the case. I'd like to point out this picture, which made me burst out with laughter upon examination: "" <URL>... ; Wow dude, just wow. That's a photogenic moment, really? The chick looks like you captured a wild crack addicted methhead and stuck her in a nice dress. Also the poor girl if she had black hair, would look EXACTLY like that chick from the ring "" <URL>... ; As for your mother I actually don't have anything bad to say about her, because honestly shes a hot milf that would make a great addition to Mista's 2010 draft team. I just hope she doesn't have a gag reflex or she wont qualify for the roster. Tell your mother Papi Vegster says hi. Back to you, but damn where do I start? Do I start off with the fact that you're missing a couple of chromosomes which makes you a irrevocable homo erotic beefsickle lover with aspirations to be a pop icon amongst the entire gay community? Or maybe I should mention the fact that you're a corny brainwashed tool in the JROTC program? I can't believe you would even have the audacity to brag about that, you get more sighs then a waste line son. You're the Chaplin of your battalion too? Congrats bro that's a merit of the same equivalence of wining a medal in the special Olympics. Lastly I'd just like to briefly mention the fact that you listen to Nickel Back and Evescence, which does nothing but further elaborates your epic cornyness. That's it. I'd like to urge a CON vote too. Kids going to need all the help he can get. VOTE CON",1,mistavega,"
  
Firstly how dare you try to question the validity of my manhood. If I ever see you in RL I'll be sure to give you a Chuck Norris roundhouse kick to your delicate feminine chin lover boy and give you the discipline you need. My relationship status is only complicated because the Vegster maintains an extraordinary extravagant lifestyle, that in the words of masta bis is ""an unpardonable breach of confidence for me to reveal."" Indeed good sir my swagger is unprecedented and unparallelled. I pretty much got chicks lined up with their mouths open on all fours in abc order, single filed lines stretched out a quarter mile long ready to take down Mista V's smokin' hot pipe, or rather gargantuan man-meat. I'm far from cocky because I actually have a narcissist complex, but its been evaluated, verified and determined to be substantially justified. The Dr agreed no treatment was necessary. Enough about me though, I'll write my autobiography later which will is certainly be best seller and catapault my income into the million dollar bracket.  
  
Narcissism:   http://www.grandiosity.org...  
  
I'm sorry about ragging on your delicate feminism prince charming, but I just thought if you could take a D**K you could surely take a joke. Look man the Vegster is actually a tender loving compassionate soul, so for the time being instead of ragging on your homo erotic fudge packing pleasures, I'll concede to your family members instead. Lets start off with your obnoxious sister that you're parading around in your compilation of pictures, like shes supposed to be America's next top model when that's obviously far from the case. I'd like to point out this picture, which made me burst out with laughter upon examination: ""  http://www.debate.org...  ; Wow dude, just wow. That's a photogenic moment, really? The chick looks like you captured a wild crack addicted methhead and stuck her in a nice dress. Also the poor girl if she had black hair, would look EXACTLY like that chick from the ring ""  http://img.photobucket.com...  ; As for your mother I actually don't have anything bad to say about her, because honestly shes a hot milf that would make a great addition to Mista's 2010 draft team. I just hope she doesn't have a gag reflex or she wont qualify for the roster. Tell your mother Papi Vegster says hi.  
  
Back to you, but damn where do I start? Do I start off with the fact that you're missing a couple of chromosomes which makes you a irrevocable homo erotic beefsickle lover with aspirations to be a pop icon amongst the entire gay community? Or maybe I should mention the fact that you're a corny brainwashed tool in the JROTC program? I can't believe you would even have the audacity to brag about that, you get more sighs then a waste line son. You're the Chaplin of your battalion too? Congrats bro that's a merit of the same equivalence of wining a medal in the special Olympics. Lastly I'd just like to briefly mention the fact that you listen to Nickel Back and Evescence, which does nothing but further elaborates your epic cornyness.  
  
That's it. I'd like to urge a CON vote too. Kids going to need all the help he can get.  
  
VOTE CON",Entertainment,1,I-can-out-insult-anyone-via-flame-war/1/,17624
9,"You're pitiful and narcissistic Your claims are unrealistic I'm 'bout to make this battle fatalistic For my dear fellow socialpinko If it's not apparent he's a stinko Claiming I'm bout to die Sh!t I don't need to try To make this little ignorant pansy boy cry Yes, I called you little I'm about to break your rhymes like brittle Your insults I belittle Your sh!t is old, get with the program This dude's a 100 years old, he probably uses a monogram It's the new age my friend, we're working on a hologram Insulting me on my intelligence, anarchist? I'm starting to get pissed Don't make me show you the fist Nah, all I need is some movement of the wrist To put you in your place Rub the ground with your face I guess I better slow down the pace I don't even need to try to win this race So I'll finish this with grace Now I can write my file against socialpinko's death filing case",1,cameronl35,"
  
You're pitiful and narcissistic  
Your claims are unrealistic  
I'm 'bout to make this battle fatalistic  
For my dear fellow socialpinko  
If it's not apparent he's a stinko  
Claiming I'm bout to die  
Sh!t I don't need to try  
To make this little ignorant pansy boy cry  
  
Yes, I called you little  
I'm about to break your rhymes like brittle  
Your insults I belittle  
Your sh!t is old, get with the program  
This dude's a 100 years old, he probably uses a monogram  
It's the new age my friend, we're working on a hologram  
  
Insulting me on my intelligence, anarchist?  
I'm starting to get pissed  
Don't make me show you the fist  
Nah, all I need is some movement of the wrist  
To put you in your place  
Rub the ground with your face  
I guess I better slow down the pace  
I don't even need to try to win this race  
So I'll finish this with grace  
Now I can write my file against socialpinko's death filing case",Entertainment,1,Rap-Battle-general/1/,30150
