,text,label,author,original_text,category,round,debate_id,idx
0,"I further believe con will lose this argument because he's done this debate a total of 7 times now, with a general feedback of distaste from most people. He's been repeatedly accused in these debates of using this resolution to boost his stats, and those who agree with that sentiment will vote for me simply because they believe he shouldn't be able to continue to do so. He may argue that I've done something unscrupulous by giving him so little time to reply, asking voters to vote against me because of this, but I've only made the ""game"", as he calls it, more challenging. If he wasn't up for the challenge, he shouldn't have accepted. It shows the time you have for each debate before you accept. I further argue he will lose because he forfeited his last round. This is a clear loss for round two of the game, meaning I get the win for that round.",1,BananaPhilosopher,"
  
  
  I further believe con will lose this argument because he’s done this debate a total of 7 times now, with a general feedback of distaste from most people. He’s been repeatedly accused in these debates of using this resolution to boost his stats, and those who agree with that sentiment will vote for me simply because they believe he shouldn’t be able to continue to do so.  
  He may argue that I’ve done something unscrupulous by giving him so little time to reply, asking voters to vote against me because of this, but I’ve only made the “game”, as he calls it, more challenging. If he wasn’t up for the challenge, he shouldn’t have accepted. It shows the time you have for each debate before you accept.  
  I further argue he will lose because he forfeited his last round. This is a clear loss for round two of the game, meaning I get the win for that round.  
",Games,2,My-Opponent-Will-Lose-This-Debate/8/,25974
1,Messi has won more trophies than ronaldo and holds more records than Ronaldo. He also is better at dribbling than ronaldo and as of 2012 his score ratio is 1.02 to the amount of games he has played. Vote pro.,1,Blackdeath17,"
  
Messi has won more trophies than ronaldo and holds more records than Ronaldo. He also is better at dribbling than ronaldo and as of 2012 his score ratio is 1.02 to the amount of games he has played. Vote pro.",Games,2,Messi-is-the-best-footballer-in-the-world./1/,24806
2,"This might seem unfair at first, but this round is technical talk. I'm not really talking resolution and frame rate; I'm talking more of the fact that Majora's Mask is just reused assets from Ocarina of Time reassembled and sold at market price, while Skyrim is a groundbreaking, massive open world game that also lets the player modify the game to their own liking. The combat is more fleshed out even considering the innovation Z-targeting was, and the player is granted almost complete freedom within this open world. You might say that it's a limit of technology; I say that Elder Scrolls 2 Daggerfall came out two years prior and still hosts one of the largest maps in gaming, second only to Minecraft. I won't say that Ocarina of Time is a bad game. It isn't. Dark Souls could be considered the next in line with a matching style, and I love that game with a vengeance. But it is a relic of the past, and following Zelda games are just graverobbing at this point. See you next time, Duncan.",1,Duncan,"
  
This might seem unfair at first, but this round is technical talk. I'm not really talking resolution and frame rate; I'm talking more of the fact that Majora's Mask is just reused assets from Ocarina of Time reassembled and sold at market price, while Skyrim is a groundbreaking, massive open world game that also lets the player modify the game to their own liking. The combat is more fleshed out even considering the innovation Z-targeting was, and the player is granted almost complete freedom within this open world. You might say that it's a limit of technology; I say that Elder Scrolls 2 Daggerfall came out two years prior and still hosts one of the largest maps in gaming, second only to Minecraft.  
  
I won't say that Ocarina of Time is a bad game. It isn't. Dark Souls could be considered the next in line with a matching style, and I love that game with a vengeance. But it is a relic of the past, and following Zelda games are just graverobbing at this point. See you next time,  
  
Duncan.",Games,2,Legend-of-Zelda-is-better-than-Elder-Scrolls/1/,23305
3,"You've made the word count small, so I'll only be covering adventure as a theme. I would like to begin with the central theme of the original Legend of Zelda. Most people would agree the original theme of the game was adventure, allowing exploration and challenge in equal measures. This was one of the key factors that shaped games such as Pokemon too, getting to explore a new world with new sights. But it died fast. The Zelda formula was devised. With the formula made, all games became practically the same. Mechanically superb, but stagnant. The plot was gone, the adventure was gone. Skyrim and Oblivion gave the player a world to explore at their own pace and leisure. Few dungeons require progress in the main quest to enter. On the other hand, to get to a dungeon in Ocarina required you to find permission to enter the dungeon. This barrier is for narrative purpose, but you can find the Elder Scroll in Skyrim before asked to get it. Next round, Link the character with some rebuttal.",1,Duncan,"
  
You've made the word count small, so I'll only be covering adventure as a theme.  
  
I would like to begin with the central theme of the original Legend of Zelda. Most people would agree the original theme of the game was adventure, allowing exploration and challenge in equal measures. This was one of the key factors that shaped games such as Pokemon too, getting to explore a new world with new sights. But it died fast. The Zelda formula was devised. With the formula made, all games became practically the same. Mechanically superb, but stagnant. The plot was gone, the adventure was gone. Skyrim and Oblivion gave the player a world to explore at their own pace and leisure. Few dungeons require progress in the main quest to enter. On the other hand, to get to a dungeon in Ocarina required you to find permission to enter the dungeon. This barrier is for narrative purpose, but you can find the Elder Scroll in Skyrim before asked to get it.  
  
Next round, Link the character with some rebuttal.",Games,0,Legend-of-Zelda-is-better-than-Elder-Scrolls/1/,23303
4,"Now, I'd like to address the character of Link. You see, while Link has been more of a character in games such as Wind Waker, but the fact that every Link is a reincarnation means that each one is not the same person. While Skyrim doesn't have a main character as they are custom made, you can at least choose the appearance of the Dragonborn. Link is stuck in his tunic and hat, colour is the only changing factor, and there is no character to get to know. I don't recall sneaking into Terminam in Majora's Mask. Aren't you chasing Skull Kid? And while I did like the moon's constant reminder of the consequences should you fail, Skyrim still has the Throat of the World towering above the player reminding them of their goal. Loading screens are in Scrolls games, but they also feature massive maps with dungeons dotting the landscape. LoZ also had the Song of Time and the Song of Soaring as loading screens. This might be a bit unfair, but I'm talking technical next round. Duncan.",1,Duncan,"
  
Now, I'd like to address the character of Link. You see, while Link has been more of a character in games such as Wind Waker, but the fact that every Link is a reincarnation means that each one is not the same person. While Skyrim doesn't have a main character as they are custom made, you can at least choose the appearance of the Dragonborn. Link is stuck in his tunic and hat, colour is the only changing factor, and there is no character to get to know.  
  
I don't recall sneaking into Terminam in Majora's Mask. Aren't you chasing Skull Kid? And while I did like the moon's constant reminder of the consequences should you fail, Skyrim still has the Throat of the World towering above the player reminding them of their goal. Loading screens are in Scrolls games, but they also feature massive maps with dungeons dotting the landscape. LoZ also had the Song of Time and the Song of Soaring as loading screens.  
  
This might be a bit unfair, but I'm talking technical next round.  
  
Duncan.",Games,1,Legend-of-Zelda-is-better-than-Elder-Scrolls/1/,23304
5,"I believe my opponent will lose because his task is tedious and time consuming, and he has been allotted only 5 minutes to write each round. He may claim this was unfair, but he garnered 6 wins himself using a variation of the same tactic. The time allotted to write your arguments is disclosed before you accept, and by the definition of the word itself, this is a rule he must adhere to. If he contests this rule, or attempts to argue it's unfair, then according to rule 1, having broken rule 5, he'd automatically lose. I only said I'd copy your resolution, not every rule of the debate. And regardless, you had all information disclosed before you accepted; if you were opposed to the rules, you should have been more careful. This seems only fair since you would have had more time to prepare yourself for your own resolution. Happy Debating. :)",1,BananaPhilosopher,"
  
  
  I believe my opponent will lose because his task is tedious and time consuming, and he has been allotted only 5 minutes to write each round. He may claim this was unfair, but he garnered 6 wins himself using a variation of the same tactic. The time allotted to write your arguments is disclosed before you accept, and by the definition of the word itself, this is a   rule   he must adhere to. If he contests this rule, or attempts to argue it’s unfair, then according to rule 1, having broken rule 5, he’d automatically lose.  
  I only said I’d copy your resolution, not every rule of the debate. And regardless, you had all information disclosed before you accepted; if you were opposed to the rules, you should have been more careful. This seems only fair since you would have had more time to prepare yourself for your own resolution.  
  Happy Debating. :)  
",Games,1,My-Opponent-Will-Lose-This-Debate/8/,25973
6,I see your points I do but I still think that COD is better if you look at the reviews all the COD is amazing but Ghost wasn't there best I don't think I mean yes Halo is a good game but why just play it over and over with the same theme based game at least COD changes locations and doesn't make you do the same thing over and over Halo you have the same mission almost all the time to get rid of the Covenant it gets boring after a while if you think about it at least in COD it gives you different people and different Missions and gives you different back grounds look I know all ready I'm gonna lose this debate and I don't care my opinion is out there and that is that COD is way better,1,Cece2120,"
  
I see your points I do but I still think that COD is better if you look at the reviews all the COD is amazing but Ghost wasn't there best I don't think I mean yes Halo is a good game but why just play it over and over with the same theme based game at least COD changes locations and doesn't make you do the same thing over and over Halo you have the same mission almost all the time to get rid of the Covenant it gets boring after a while if you think about it at least in COD it gives you different people and different Missions and gives you different back grounds look I know all ready I'm gonna lose this debate and I don't care my opinion is out there and that is that COD is way better",Games,1,COD-is-better-then-Halo/1/,6137
7,I believe that COD is better then Halo because Halo is just getting boring to be honest all you do through the game is just fight aliens in COD at least they change it up a little and change the setting when you play multi player in COD its amazing going around doing different things in Halo's multi its not as fun either,1,Cece2120,"
  
I believe that COD is better then Halo because Halo is just getting boring to be honest all you do through the game is just fight aliens in COD at least they change it up a little and change the setting when you play multi player in COD its amazing going around doing different things in Halo's multi its not as fun either",Games,0,COD-is-better-then-Halo/1/,6136
8,"-- In this debate, the cards will be stacked against Con (this debate is essentially a challenge game for Con). If Con accepts, it means that he also accepts the rules by default, so please, no disputing a rule after accepting the debate -- Rule 1: If a rule is broken (directly or indirectly), then an automatic 7 point forfeit results for whoever broke the rule, assuming that rule applies to them. Rule 2: Rules with a * directly beside them only apply to my opponent *Rule 3: First round is just for acceptance *Rule 4: With regards to the entire debate, every other letter must be a capital letter, with the remaining letters being lower case letters (For example, ""aBcDeF..."" but obviously they don't have to be in alphabetical order). Every line must start with an upper case letter, and my opponent can chose as many lines as he/ she wishes. Rule 5: No contesting a rule after the debate has been accepted Rule 6: Shared burden of proof Have fun, it should be entertaining ha",1,BananaPhilosopher,"
  
  
  -- In this debate, the cards will be stacked against Con (this debate is essentially a challenge game for Con). If Con accepts, it means that he also accepts the rules by default, so please, no disputing a rule after accepting the debate --   Rule 1: If a rule is broken (directly or indirectly), then an automatic 7 point forfeit results for whoever broke the rule, assuming that rule applies to them.   Rule 2: Rules with a * directly beside them only apply to my opponent   *Rule 3: First round is just for acceptance   *Rule 4: With regards to the entire debate, every other letter must be a capital letter, with the remaining letters being lower case letters (For example, ""aBcDeF..."" but obviously they don't have to be in alphabetical order). Every line must start with an upper case letter, and my opponent can chose as many lines as he/ she wishes.   Rule 5: No contesting a rule after the debate has been accepted  
  Rule 6: Shared burden of proof   Have fun, it should be entertaining ha  
",Games,0,My-Opponent-Will-Lose-This-Debate/8/,25972
9,"Messi is better than ronaldo for a number of reasons. Messi is younger than Ronaldo therefore he has more stamina in the field and also messi has on multiple championships in the past, more than Ronaldo. Also in the 2014 world cup Messi has scored more goals. Ronaldo has an injury right now so therefore in the present Messi is better.",1,Blackdeath17,"
  
Messi is better than ronaldo for a number of reasons. Messi is younger than Ronaldo therefore he has more stamina in the field and also messi has on multiple championships in the past, more than Ronaldo. Also in the 2014 world cup Messi has scored more goals. Ronaldo has an injury right now so therefore in the present Messi is better.",Games,0,Messi-is-the-best-footballer-in-the-world./1/,24805
