,text,label,author,original_text,category,round,debate_id,idx
0,"The CDC reports that between 1999 and 2007, there were 26 deaths with marijuana as an underlying cause, in the United States.( <URL>... .)Falling coconuts kill 150 people worldwide each year.( <URL>... ) Telling me to give up is not about this debate through some facts about Marijuana at or something. And the people in smokers alley are dumb but not all of them smoke weed i used to go back there come on Alisha give me a good argument .",1,Mikieman,"
  
The CDC reports that between 1999 and 2007, there were 26 deaths with marijuana as an underlying cause, in the United States.(  http://wiki.answers.com...  .)Falling coconuts kill 150 people worldwide each year.(  http://www.unisci.com...  ) Telling me to give up is not about this debate through some facts about Marijuana at or something. And the people in smokers alley are dumb but not all of them smoke weed i used to go back there come on Alisha give me a good argument .",Health,2,marijuana/1/,52638
1,"My position: smoking cigarettes is a stupid choice for the average person to make. CONs position: smoking cigarettes is a good choice for the average person. burden of proof: im sick of people talking about burden of proof. just make your best arguments. opening argument: 1. the average person wants to be healthy, attractive, not get frequently agitated, and not waste money. 2. smoking is known to cause people to waste money, be unhealthy, be less attractive, and be more frequently agitated. 3. smoking doesnt cause any major benefit. the benefits are a mild temporary high, and easing nerves. 4. there are better ways to be calm, or high. marijuana is a much better alternative. even things like breathing deeply, stretching, exercising, meditation, and eating right, are equally or more effective at helping oneself be calm. also, if you werent dependent on smoking, you wouldnt have as hard of a time being calm. 5. it would be stupid to go against your strong desires in order to fulfill weaker desires, especially if there are better alternative ways to allow you to fulfill both these sets of desires. conclusion: basically, smoking is stupid. the negative results far outweigh the benefits.",1,induced,"
  
  
  My position: smoking cigarettes is a stupid choice for the average person to make.  CONs position: smoking cigarettes is a good choice for the average person.  burden of proof: im sick of people talking about burden of proof. just make your best arguments.  opening argument:  1. the average person wants to be healthy, attractive, not get frequently agitated, and not waste money.  2. smoking is known to cause people to waste money, be unhealthy, be less attractive, and be more frequently agitated.  3. smoking doesnt cause any major benefit. the benefits are a mild temporary high, and easing nerves.   4. there are better ways to be calm, or high. marijuana is a much better alternative. even things like breathing deeply, stretching, exercising, meditation, and eating right, are equally or more effective at helping oneself be calm. also, if you werent dependent on smoking, you wouldnt have as hard of a time being calm.  5. it would be stupid to go against your strong desires in order to fulfill weaker desires, especially if there are better alternative ways to allow you to fulfill both these sets of desires.   conclusion: basically, smoking is stupid. the negative results far outweigh the benefits.  
",Health,0,smoking-cigarettes-is-stupid/1/,54178
2,"""We are not having a debate about cells or trees. The definition is not supposed to apply to those things as we are talking about human abortion. I am not saying that a cell is not alive until it is born, I am saying that a human fetus is not alive until it is born."" You're saying that there is no general definition of ""alive""? I'm sorry but this doesn't make much sense to me. If we divided all things into categories we could divide our ontological categories into ""non-living"" and ""living"" things. Biologists study the whole latter category. Humans, including fetuses, are simply a sub-category of living things. We don't mean completely and entirely different things by ""alive"" when we say that a cell is alive or a human is alive. Indeed, the whole reason we can put them under the same category of organisms is the fact that they share the attribute of ""alive"" in common. ""...one cannot be alive until the organs are fully formed."" Do *all* of the organs have to be fully formed? What about pre-pubescent children? Some of their organs are not fully formed and functioning. Are they not alive? ""And the fetus is relying on it's mother to breathe until it is born so you can follow my line of reasoning from there."" To be honest, I *can't* follow your line of reasoning from there. You're saying that whatever is dependent on something external to itself is not alive? People who are in comas often depend on external support so that their organs will work. You still don't show me what you're trying to get at. As for how I understand a thing to be alive, I understand it in the following way. An entity is alive just in case it exhibits intrinsic teleological/goal-oriented functional behavior. For example, fetuses take in nourishment so that they can grow and develop. But my case by no means depends on this. We can take almost any other plausible understanding of being ""alive"" and fetuses would still count. Conclusion: Your whole argument rests upon an incredible assumption, namely, that fetuses are non-living things. Unless you think that fetuses are non-living entities, that cells and humans are not living in the same sense at all, and pre-pubescent children are not alive, Vote CON.",1,awatkins69,"
  
""We are not having a debate about cells or trees. The definition is not supposed to apply to those things as we are talking about human abortion. I am not saying that a cell is not alive until it is born, I am saying that a human fetus is not alive until it is born.""  
  
You're saying that there is no general definition of ""alive""? I'm sorry but this doesn't make much sense to me. If we divided all things into categories we could divide our ontological categories into ""non-living"" and ""living"" things. Biologists study the whole latter category. Humans, including fetuses, are simply a sub-category of living things. We don't mean completely and entirely different things by ""alive"" when we say that a cell is alive or a human is alive. Indeed, the whole reason we can put them under the same category of organisms is the fact that they share the attribute of ""alive"" in common.  
  
""...one cannot be alive until the organs are fully formed.""  
  
Do *all* of the organs have to be fully formed? What about pre-pubescent children? Some of their organs are not fully formed and functioning. Are they not alive?  
  
""And the fetus is relying on it's mother to breathe until it is born so you can follow my line of reasoning from there.""  
  
To be honest, I *can't* follow your line of reasoning from there. You're saying that whatever is dependent on something external to itself is not alive? People who are in comas often depend on external support so that their organs will work. You still don't show me what you're trying to get at.  
  
As for how I understand a thing to be alive, I understand it in the following way. An entity is alive just in case it exhibits intrinsic teleological/goal-oriented functional behavior. For example, fetuses take in nourishment so that they can grow and develop. But my case by no means depends on this. We can take almost any other plausible understanding of being ""alive"" and fetuses would still count.  
  
Conclusion:  
Your whole argument rests upon an incredible assumption, namely, that fetuses are non-living things.  
Unless you think that fetuses are non-living entities, that cells and humans are not living in the same sense at all, and pre-pubescent children are not alive, Vote CON.",Health,2,Abortion/90/,1980
3,"""to deprive of life in any manner; cause the death of"" This is the definition of ""kill."" When dealing with such a serious word, one must consider their actions carefully. While some argue against it, abortion is the act of depriving of life. My opponent offers in his second contention the ""mindset"" claiming that in an early-term abortion the life taken is not actually a baby. The definition of a ""baby"" is not concrete, and both sides are argued constantly. My opponent and I cannot agree on the definition of a ""baby."" Because of this, I will focus on the fact that abortion of any kind is the deprivation of life. Now to address his second contention. He makes a rather rash statement here. While still slightly plausible, abortion remains the deprivation of a life. Whether or not the woman chose to be pregnant, she would be ACTIVELY KILLING were she to have an abortion. Therefore, abortions ought not be permitted. This resolution deals with the permissibility of early-term abortions. Here is the definition of permit: ""To legally condone or permit."" (Also from dictionary.com) So, we know that abortion is the active killing, or depriving of life. Is killing allowed by law? Obviously not. Taking this into account, abortions of any type ought not be permitted since they are against the law, and active killing. For these reasons I can only negate the resolution. Thank you.",1,rougeagent21,"
  
""to deprive of life in any manner; cause the death of""  
  
This is the definition of ""kill."" When dealing with such a serious word, one must consider their actions carefully. While some argue against it, abortion is the act of depriving of life. My opponent offers in his second contention the ""mindset"" claiming that in an early-term abortion the life taken is not actually a baby. The definition of a ""baby"" is not concrete, and both sides are argued constantly. My opponent and I cannot agree on the definition of a ""baby."" Because of this, I will focus on the fact that abortion of any kind is the deprivation of life. Now to address his second contention.  
  
He makes a rather rash statement here. While still slightly plausible, abortion remains the deprivation of a life. Whether or not the woman chose to be pregnant, she would be ACTIVELY KILLING were she to have an abortion. Therefore, abortions ought not be permitted.  
  
This resolution deals with the permissibility of early-term abortions. Here is the definition of permit: ""To legally condone or permit."" (Also from dictionary.com) So, we know that abortion is the active killing, or depriving of life. Is killing allowed by law? Obviously not. Taking this into account, abortions of any type ought not be permitted since they are against the law, and active killing. For these reasons I can only negate the resolution. Thank you.",Health,1,Early-Term-Abortions/1/,10730
4,"1 second equals 120 years? no, but instead of getting into that premise, let me address the conclusion you drew from it by asking you, would you rather have most of your life filled with unhappiness that comes from bad health, or most of your life filled with joy from health? ""for all the pointless fuss over health, attractiveness, money, etc., isn't a person's happiness the only thing that truly matters? Since death is only moments away, shouldn't a person spend whatever time he/she has in his/her life doing what makes him/her happy?"" -peoples overall happiness is generally negatively impacted by not attaining those things. ""If smoking makes a person happy, then its a good choice."" -there are obvious alternative choices that would lead to much more happiness, so smoking is a poor choice. ""Why should we seek to become or remain attractive? What is attractive?"" -when i say smoking hurts peoples attractiveness, i mean things like their tooth color and youthful appearance, which most people dont want damaged. we would be happier if we were attractive. ""Why seek to be healthy?"" -people are happier when they are healthy. health helps happiness while cigarettes hurt health. ""What is wrong with happiness being temporary?"" -i didnt mean to imply that temporary highs are bad, that's why i listed temporary highs as a benefit. ""it doesn't matter if there are better alternatives"" if there are better alternatives, then arent they smarter choices? what would you choose? 1. ""Benefits A"" plus ""Benefits B"" -or- 2. ""Benefits A"" plus ""Benefits B"" plus ""negative effects"" ""If someone REALLY wants to smoke, wouldn't that be considered a strong desire?.....Since smoking makes us happy, we should all smoke"" -CON has not proven that we would have more overall happiness if we smoked, and seems to concede that there are obvious better alternatives. therefore, smoking is a stupid choice",1,induced,"
  
  1 second equals 120 years? no, but instead of getting into that premise, let me address the conclusion you drew from it by asking you, would you rather have most of your life filled with unhappiness that comes from bad health, or most of your life filled with joy from health?  ""for all the pointless fuss over health, attractiveness, money, etc., isn't a person's happiness the only thing that truly matters? Since death is only moments away, shouldn't a person spend whatever time he/she has in his/her life doing what makes him/her happy?""  -peoples overall happiness is generally negatively impacted by not attaining those things.  ""If smoking makes a person happy, then its a good choice.""  -there are obvious alternative choices that would lead to much more happiness, so smoking is a poor choice.  ""Why should we seek to become or remain attractive? What is attractive?""  -when i say smoking hurts peoples attractiveness, i mean things like their tooth color and youthful appearance, which most people dont want damaged. we would be happier if we were attractive.  ""Why seek to be healthy?""  -people are happier when they are healthy. health helps happiness while cigarettes hurt health.  ""What is wrong with happiness being temporary?""  -i didnt mean to imply that temporary highs are bad, that's why i listed temporary highs as a benefit.  ""it doesn't matter if there are better alternatives""  if there are better alternatives, then arent they smarter choices?   what would you choose?  1. ""Benefits A"" plus ""Benefits B""  -or-  2. ""Benefits A"" plus ""Benefits B"" plus ""negative effects""  ""If someone REALLY wants to smoke, wouldn't that be considered a strong desire?.....Since smoking makes us happy, we should all smoke""  -CON has not proven that we would have more overall happiness if we smoked, and seems to concede that there are obvious better alternatives. therefore, smoking is a stupid choice",Health,1,smoking-cigarettes-is-stupid/1/,54179
5,Its illegal because the government doesn't want people to cross the boundaries in your mind that they have made! Out of every single drug in the whole wide world THC kills your brain the slowest. (Fact: Marijuana kills less people then coconuts.) You do have a point it does make you oblivious to your actions but that's why most of us stay in our houses and do it not wondering around outside so that actually means we are not completely oblivious to our actions. Like a wize man once said don't knock it until you try it.,1,Mikieman,"
  
Its illegal because the government doesn't want people to cross the boundaries in your mind that they have made!  
  
Out of every single drug in the whole wide world THC kills your brain the slowest. (Fact: Marijuana kills less people then coconuts.)  
  
You do have a point it does make you oblivious to your actions but that's why most of us stay in our houses and do it not wondering around outside so that actually means we are not completely oblivious to our actions. Like a wize man once said don't knock it until you try it.",Health,1,marijuana/1/,52637
6,"I actually agree with you! There is something about Homeopathy (especially when one looks at the actual evidence for how it's ""supposed to work"") that is off putting scientifically. Scientifically, how could it possibly work? However, philosophically and psychologically, there is room to discuss the Placebo Effect through Homeopathic therapies and, subsequently, the facts of this practice having real Utility as there are absolutely scientifically measurable results. It becomes a kind of ""psychosomatic rehabilitation"" and results in well-being have been achieved. A case could also be made Homeopathic therapies aid in the prevention and use of other possibly ""worse"" kinds of drugs, with volatile side-effects, typically used in more orthodox medical practices. If you believe the goal of medicine is to improve health and over all well-being, then you will also have to agree Homeopathic alternative medicine doesn't have to be True, but rather, merely useful and beneficial. If it makes folks feel better I believe that is the point of medicine to a large extent.",1,philosurfer,"
  
I actually agree with you! There is something about Homeopathy (especially when one looks at the actual evidence for how it's ""supposed to work"") that is off putting scientifically. Scientifically, how could it possibly work?  
  
However, philosophically and psychologically, there is room to discuss the Placebo Effect through Homeopathic therapies and, subsequently, the facts of this practice having real Utility as there are absolutely scientifically measurable results. It becomes a kind of ""psychosomatic rehabilitation"" and results in well-being have been achieved.  
  
A case could also be made Homeopathic therapies aid in the prevention and use of other possibly ""worse"" kinds of drugs, with volatile side-effects, typically used in more orthodox medical practices.  
  
If you believe the goal of medicine is to improve health and over all well-being, then you will also have to agree Homeopathic alternative medicine doesn't have to be True, but rather, merely useful and beneficial. If it makes folks feel better I believe that is the point of medicine to a large extent.",Health,0,Homeopathy-Does-Not-Work/2/,16501
7,"Yes they are because it means that more and more children are staying cooped up inside when they should be outdoors having fun. Instead of going camping or playing in the woods, children are staying indoors to pretend to shoot people and playing all sorts of video games. It is not beneficial to their health as they aren't 'receiving the essential vitamins and nutrients that they need. They are also missing out on crucial social interactions that require face to face contact instead of talking through headsets.",1,Abi09,"
  
Yes they are because it means that more and more children are staying cooped up inside when they should be outdoors having fun. Instead of going camping or playing in the woods, children are staying indoors to pretend to shoot people and playing all sorts of video games. It is not beneficial to their health as they aren't 'receiving the essential vitamins and nutrients that they need. They are also missing out on crucial social interactions that require face to face contact instead of talking through headsets.",Health,0,Are-video-games-bad-for-childrens-health/1/,3880
8,Thanks for the debate. That sounds like a fair definition of an abortion. Is this a fair definition of person? Person=df individual substance of a rational nature. And how about murder? Murder=df intentional killing of an innocent human being. If I understand right you want the first round to simply be about definitions. Let me know if this is okay.,1,awatkins69,"
  
Thanks for the debate. That sounds like a fair definition of an abortion. Is this a fair definition of person?  
  
Person=df individual substance of a rational nature.  
  
And how about murder?  
  
Murder=df intentional killing of an innocent human being.  
  
If I understand right you want the first round to simply be about definitions. Let me know if this is okay.",Health,0,Abortion/90/,1978
9,i beleive that the marijuana drug is completely acceptable when it is used for personal use.,1,Mikieman,"
  
i beleive that the marijuana drug is completely acceptable when it is used for personal use.",Health,0,marijuana/1/,52636
