,text,label,author,original_text,category,round,debate_id,idx
0,"C1. Thank you for the citation. Unfortunately, it led me to a page I have taken a screenshot of and saved to my pictures[1]. Substituting 'gov' for 'org' I reached a page which I then, after one click (the 'evidence sidebare') arrived at a page where NASA agrees that global warming is both happening and is 'very likely human caused'.[2] C2: My apologies to my opponent; I intended to say that the United States is not the only developed country. Thus, for example, my references to Australia. Australia is a developed country. C3: I would like to state that humans are sometimes idiots and have been known, on occasion, to not ban things that were harmful. Examples include literally everything that has ever been banned; logically these thing would have had not to be banned at one point. Secondly, the wording of the resolution assumes that greenhouse gases are hurting the environment; if they weren't no one would have any particular desire to mitigate the effects. My thanks to my opponent for the debate. 1. <URL>... 2. <URL>...",1,Citrakayah,"
  
C1. Thank you for the citation. Unfortunately, it led me to a page I have taken a screenshot of and saved to my pictures[1]. Substituting 'gov' for 'org' I reached a page which I then, after one click (the 'evidence sidebare') arrived at a page where NASA agrees that global warming is both happening and is 'very likely human caused'.[2]  
  
C2: My apologies to my opponent; I intended to say that the United States is not the only developed country. Thus, for example, my references to Australia. Australia is a developed country.  
  
C3: I would like to state that humans are sometimes idiots and have been known, on occasion, to not ban things that were harmful. Examples include literally everything that has ever been banned; logically these thing would have had not to be banned at one point.  
  
Secondly, the wording of the resolution assumes that greenhouse gases are hurting the environment; if they weren't no one would have any particular desire to mitigate the effects.  
  
My thanks to my opponent for the debate.  
  
1.   http://www.debate.org...  
2.   http://climate.nasa.gov...",Philosophy,2,developed-countries-have-a-moral-obligation-to-mitigate-the-effects-of-climate-change/1/,50780
1,I accept the challenge and am looking forward to a very interesting debate. I'll argue that Communism the worst system of all.,1,JRRS,"
  
  I accept the challenge and am looking forward to a very interesting debate.  I'll argue that Communism the worst system of all. ",Philosophy,0,Communism-Are-you-for-it/1/,7840
2,"I'm confused as to the rules and/or what my opponent meant to do (see: comment section). However I am sure we can figure this out by restructuring the debate somehow. I'll allow him to make his opening arguments in R2 and we can go from there. If he wants to start this debate over, he can forfeit this one and challenge me to a new one. It's up to him. Good luck!",1,Danielle,"
  
I'm confused as to the rules and/or what my opponent meant to do (see: comment section). However I am sure we can figure this out by restructuring the debate somehow. I'll allow him to make his opening arguments in R2 and we can go from there. If he wants to start this debate over, he can forfeit this one and challenge me to a new one. It's up to him. Good luck!",Philosophy,0,Resolved-Individuals-have-a-moral-obligation-to-assist-those-in-need./1/,31519
3,"My opponent has not responded to my refutation of his 'Now Factor' argument, his 'Truth Factor' argument, or my own Argument from inability and so I will extend those arguments. My opponent has however provided his source as to his 'Omnipotent Factor' argument and so I will spend this round attempting to refute it solely. The omnipotent factor The argument may be summed up as follows. Assuming that if his nose grows, he lied and if he lies, his nose grows, Pinnochio must necessarily be omnipotent since he may make any claim truthful since the universe ""does whatever it can to avoid paradoxes"". Basically, Pinnochio may claim for example that either his nose will grow or he will become a real boy. Assuming the statement is false(and that neither his nose will grow, nor will he be magically transformed), we are lead into a paradox because if he does not become a real boy his nose will grow, making it a truthful statement, then un-truthful, and so on and so on ad infinitum.The only way for this not to be a paradox is if we grant that he would become a real boy, thus effectively making Pinnochio omnipotent and giving him the power to make his nose grow at will. However, this argument runs into some problems quick. For example, consider this example. A man X is about to cross a bridge guarded by Man Y. Many approaches Man X before he attempts to cross, telling him that if he correctly answers the next question, he may pass. Man X responds by saying, ""You will not allow me to cross"". We are at a clear paradox here that may logically occur with no meddling by any natural laws against it. Must Man X be omnipotent then to resolve the paradox? If we say no than there is no more reason to say yes in Pinnochio's case.",1,socialpinko,"
  
  My opponent has not responded to my refutation of his 'Now Factor' argument, his 'Truth Factor' argument, or my own Argument from inability and so I will extend those arguments. My opponent has however provided his source as to his 'Omnipotent Factor' argument and so I will spend this round attempting to refute it solely.  The omnipotent factor  The argument may be summed up as follows. Assuming that if his nose grows, he lied and if he lies, his nose grows, Pinnochio must necessarily be omnipotent since he may make any claim truthful since the universe ""does whatever it can to avoid paradoxes"". Basically, Pinnochio may claim for example that either his nose will grow or he will become a real boy. Assuming the statement is false(and that neither his nose will grow, nor will he be magically transformed), we are lead into a paradox because if he does not become a real boy his nose will grow, making it a truthful statement, then un-truthful, and so on and so on ad infinitum.The only way for this not to be a paradox is if we grant that he would become a real boy, thus effectively making Pinnochio omnipotent and giving him the power to make his nose grow at will.  However, this argument runs into some problems quick. For example, consider this example. A man X is about to cross a bridge guarded by Man Y. Many approaches Man X before he attempts to cross, telling him that if he correctly answers the next question, he may pass. Man X responds by saying, ""You will not allow me to cross"". We are at a clear paradox here that may logically occur with no meddling by any natural laws against it. Must Man X be omnipotent then to resolve the paradox? If we say no than there is no more reason to say yes in Pinnochio's case.",Philosophy,2,What-would-happen-if-Pinocchio-said-My-nose-will-now-grow/1/,48158
4,"Ave. Sadly, Pro has broken the rules of the debate that I stipulated in the first round. I stated that the first round of the debate was for acceptance, and arguments would take place in round two. Every argument Pro gave in the last round is impermissible. I ask Pro to give her arguments during the appropriate round. I would like to state, in clear terms, what I will be arguing for in this debate. I believe that cosmology demonstrates that there was no initial state of the universe, or a singularity. God is defined as the cause of the initial state. If there was in fact no initial state or singularity, then god cannot exist, because an attribute of god cannot be actualized. This will be called the 'No Initial State' argument, and the premises go like this. 1: Cosmology demonstrates that there is no cosmological singularity. 2: An attribute of god is that god caused the cosmological singularity. 3: From one and two, god has an attribute that is impossible. 4: God does not exist. [Support for P1] The theory of relativity is one of the most proven theories in all of science. There are many proofs of general relativity, some complex and some simple, so I will show that relativity is true using one of the simpler arguments. For many centuries, it was noted that the orbit of Mercury was slightly different from what Newton's equations would predict. Instead of orbiting in a perfect ellipse like other plants, the orbit of Mercury precesses (which means it does not return to the same point after one orbit, but shifts slightly). When Einstein calculated the orbit of Mercury using the equations of general relativity, it predicted the orbit of Mercury with perfect accuracy. This is a strong indication that the theory of relativity is true. So, what implications does the theory of relativity have on the first premise? Well, there are equations derived from the theory of relativity called the 'Freedmann-Lemaitre-Robertson-Walker' metric. This metric describes a universe that is homogeneous, isotrophic, and expanding universe. The models of the universe that are based on this metric have no initial state. [2] There is not some state X that god can cause. Because general relativity is true, FLRW metrics are true, and therefore there is no initial state. The Hawking-Penrose singularity theorem posits a singularity that the universe came from. However, Hawking and Penrose have withdrawn this theorem a long time ago. Why? They realized that, once you take quantum mechanics into account, there is no need for a singularity. Hawking has this to say in his book A Brief History of Time. [2] "" It is perhaps ironic that, having changed my mind, I am now trying to convince other physicists that there was in fact no singularity at the beginning of the universe--as we shall see later, it can disappear once quantum effects are taken into account ."" [3] Quetin Smith, professor of the philosophy of physics at Western Michigan university, talks about the impossibility of a singularity. "" The cosmic singularity is a hypothetical time t=0 at which all the laws of nature, space and time break down. It is hypothetical or merely imaginary because if it did exist, it would be a physically impossible state, due to the breakdown of all laws, even the laws required for time to exist. This breakdown at the hypothetical t=0 implies there is no first instant t=0 of the finitely old time-series and that each instant is preceded by earlier instants. "" [4] Cosmology supports the idea that there was no initial state or a singularity. [Support for P2] The truth of P2 is contained in the definition of god that Pro agreed to in round one. [Support for P3] This follows logically from P1 and P2. [Conclusion] If there is no initial state, then god cannot cause an initial state. An attribute of god is causing the initial state. Since it is impossible for god to cause an initial state, an attribute of god cannot be actualized. Therefore, god does not exist. References 1: Krauss, Lawrence M., Dr. ""A Cosmic Mystery: Beginnings."" A Universe From Nothing . N.p.: n.p., n.d. 3. Print. 2: <URL>... 3: <URL>... 4: <URL>... Vale.",1,JonathanCrane,"
  
  Ave.  Sadly, Pro has broken the rules of the debate that I stipulated in the first round. I stated that the first round of the debate was for acceptance, and arguments would take place in round two. Every argument Pro gave in the last round is impermissible. I ask Pro to give her arguments during the appropriate round.  I would like to state, in clear terms, what I will be arguing for in this debate. I believe that cosmology demonstrates that there was no initial state of the universe, or a singularity. God is defined as the cause of the initial state. If there was in fact no initial state or singularity, then god cannot exist, because an attribute of god cannot be actualized. This will be called the 'No Initial State' argument, and the premises go like this.  1: Cosmology demonstrates that there is no cosmological singularity.  2: An attribute of god is that god caused the cosmological singularity.  3: From one and two, god has an attribute that is impossible.  4: God does not exist.  [Support for P1]  The theory of relativity is one of the most proven theories in all of science. There are many proofs of general relativity, some complex and some simple, so I will show that relativity is true using one of the simpler arguments. For many centuries, it was noted that the orbit of Mercury was slightly different from what Newton's equations would predict. Instead of orbiting in a perfect ellipse like other plants, the orbit of Mercury precesses (which means it does not return to the same point after one orbit, but shifts slightly). When Einstein calculated the orbit of Mercury using the equations of general relativity, it predicted the orbit of Mercury with perfect accuracy. This is a strong indication that the theory of relativity is true.  So, what implications does the theory of relativity have on the first premise? Well, there are equations derived from the theory of relativity called the 'Freedmann-Lemaitre-Robertson-Walker'  metric. This metric describes a universe that is homogeneous, isotrophic, and expanding universe. The models of the universe that are based on this metric have no initial state. [2] There is not some state X that god can cause. Because general relativity is true, FLRW metrics are true, and therefore there is no initial state.  The Hawking-Penrose singularity theorem posits a singularity that the universe came from. However, Hawking and Penrose have withdrawn this theorem a long time ago. Why? They realized that, once you take quantum mechanics into account, there is no need for a singularity. Hawking has this to say in his book A Brief History of Time. [2]  “  It is perhaps ironic that, having changed my mind, I am now trying to convince other physicists that there was in fact no singularity at the beginning of the universe--as we shall see later, it can disappear once quantum effects are taken into account  .” [3]  Quetin Smith, professor of the philosophy of physics at Western Michigan university, talks about the impossibility of a singularity.  ""  The cosmic singularity is a hypothetical time t=0 at which all the laws of nature, space and time break down. It is hypothetical or merely imaginary because if it did exist, it would be a physically impossible state, due to the breakdown of all laws, even the laws required for time to exist. This breakdown at the hypothetical t=0 implies there is no first instant t=0 of the finitely old time-series and that each instant is preceded by earlier instants.  "" [4]  Cosmology supports the idea that there was no initial state or a singularity.  [Support for P2]  The truth of P2 is contained in the definition of god that Pro agreed to in round one.  [Support for P3]  This follows logically from P1 and P2.  [Conclusion]  If there is no initial state, then god cannot cause an initial state. An attribute of god is causing the initial state. Since it is impossible for god to cause an initial state, an attribute of god cannot be actualized. Therefore, god does not exist.  References  1: Krauss, Lawrence M., Dr. ""A Cosmic Mystery: Beginnings.""   A Universe From Nothing  . N.p.: n.p., n.d. 3. Print.  2:   http://plato.stanford.edu...  3:   http://en.wikipedia.org...  4:   http://www.infidels.org...  Vale.",Philosophy,1,God-exists./17/,14706
5,"""I have evidences and I stated them in my last argument. I said ""The philosophies of Rene Descartes, Jean Paul Sartre and St. Thomas Aquinas are the bases of my argument."". I got it from books about philosophy of man. Books about philosophy of man contains various philosophers and handpicked three of them. If you want to see my evidence you could either find a philosophy of man book, since it is most likely to contain the ideas of the famous philosophers or research the philosophies of the three philosophers I mentioned."" How could I even begin to discuss this? What you provided was a list of three philosophers and then called it evidence, this isn't exactly a very rigorous, detailed, or even clear argument. What you could have actually done is taken their arguments, claims, evidences, etc., and perhaps quoted them here so I could reference them and we could discuss them on their merits. Instead, you've given me what is essentially an open ended wild-goose chase wherein I would have to read dozens of works without knowing what exactly is relevant and what specifically supports your argument. This isn't a very honest way to go about debating. I think it's quite clear that pro has completely failed to make any sort of clear case that I could even begin to argue against. I asked him to present evidence that demonstrated his (often unstated) premises, and instead all I got was three names and the titles to a few books. He started with the claim that "" Reality is behind death's door "" and then you make some vague assertions about maybe there is a soul and maybe its possible that the mind survives brain death, but you have provided no actual claims or arguments, and not one single piece of supporting evidence to substantiate some of the vague claims you did make. All I can say in response is you have not demonstrated your case clearly, and have not demonstrated that it has any merit at all, and therefore you have failed to meet your burden of proof.",1,MikeNH,"
  
  ""I have evidences and I stated them in my last argument. I said ""The philosophies of Rene Descartes, Jean Paul Sartre and St. Thomas Aquinas are the bases of my argument."". I got it from books about philosophy of man. Books about philosophy of man contains various philosophers and handpicked three of them. If you want to see my evidence you could either find a philosophy of man book, since it is most likely to contain the ideas of the famous philosophers or research the philosophies of the three philosophers I mentioned.""  How could I even begin to discuss this? What you provided was a list of three philosophers and then called it evidence, this isn't exactly a very rigorous, detailed, or even clear argument. What you could have actually done is taken their arguments, claims, evidences, etc., and perhaps quoted them here so I could reference them and we could discuss them on their merits. Instead, you've given me what is essentially an open ended wild-goose chase wherein I would have to read dozens of works without knowing what exactly is relevant and what specifically supports your argument. This isn't a very honest way to go about debating.  I think it's quite clear that pro has completely failed to make any sort of clear case that I could even begin to argue against. I asked him to present evidence that demonstrated his (often unstated) premises, and instead all I got was three names and the titles to a few books. He started with the claim that ""  Reality is behind death's door  "" and then you make some vague assertions about maybe there is a soul and maybe its possible that the mind survives brain death, but you have provided no actual claims or arguments, and not one single piece of supporting evidence to substantiate some of the vague claims you did make.  All I can say in response is you have not demonstrated your case clearly, and have not demonstrated that it has any merit at all, and therefore you have failed to meet your burden of proof.",Philosophy,2,Man-will-never-know-reality-unless-hes-dead./1/,24158
6,"I've clearly and Unambiguously stated there's no "" Acceptance round "", but you're too ignorant, too stupid to notice that . Defend your genius, or STFU!",1,InnocentUntilProvenGuilty,"
  
I've clearly and Unambiguously stated there's no "" Acceptance round "", but you're too ignorant, too stupid to notice that . Defend your genius, or STFU!",Philosophy,1,Albert-Einstein-was-a-phony/1/,2473
7,"The problem here is that it all comes down to ones own perception. I might just want to add that the impression comes first, then the idea. So our first observations we make are one's of objective truth. It's the observation of one's environment with his limited senses. Later on, when the brain continues to develope, you then have the ability to have thoughts about observations. This gives one an idea. About love, emotions, and so on and so forth. So, we are all relativists in some way. If you really believe in what the bible claims then you can, with no doubt say that your belief is subjective. Like an ideology or a theory. Done talking thank you to my opponent for an intriguing debate",1,1111111111,"
  
The problem here is that it all comes down to ones own perception.  
I might just want to add that the impression comes first, then the idea. So our first observations we make are one's of objective truth. It's the observation of one's environment with his limited senses.  
Later on, when the brain continues to develope, you then have the ability to have thoughts about observations. This gives one an idea. About love, emotions, and so on and so forth.  
So, we are all relativists in some way.  
  
If you really believe in what the bible claims then you can, with no doubt say that your belief is subjective. Like an ideology or a theory.  
  
Done talking  
thank you to my opponent for an intriguing debate",Philosophy,2,Can-something-be-true-for-you-but-not-be-true-for-me/1/,6281
8,"Here I shall prove that Capitalism is the better than Communism. Economically Although some capitalism elements are present in other economic systems through history, it only truly developed itself in with the industrial era. With industries, millions of people could stop working for their Lords in Europe(specially in Britain) to work on factories. In the beginning there was some exploitations, but with the increasing amount of enterprises and the market being more and more competitive, wages started going up and working hours down! In Britain, estimates that salaries rose 15% to 150% between 1780 and 1850. And all without unions or labor rights.(1) In Brazil, where I live, when industrial capitalism truly came during the 70's, our life improvement never rose so much. In countries where the economy was basically rural, the industries provided jobs with bigger salaries than in the agriculture and were able to produce goods in mass, thus making prices fall and giving the possibility to more people to acquire it.(2) Socially Capitalism improved people standards of living.(3) When agriculture became mechanized, more food was produced, thus their prices fell and made it affordable for poor people and hence improved their health, as they could eat more. The rise of wages (which I explained in my previous argument) enabled people to pay for better health care, afford medicine, school, books and goods that make our lives comfortable, such as televisions or Iphones. It gives the opportunity for people who were born nobodies to become famous liders or entrepeneurs, such as Margaret Thatcher, Barack Obama or S.B. Fuller. Politically Capitalism gives political liberty. With better wages provided by free-market, more people can afford reading books and studying on free time, giving them some political knowledge and the possibility to form their political opinion. The better wages also gives people political power against a tyrannical State which would take their money away and give them to other people. Yes, there will always be poor people, but capitalism gave them higher standards of living. More people with more money stop the state from getting too big. Only a big state creates and perpetuate the poverty and take away people's freedom. Capitalism provides people the possibility of choice. They can choose to like the government, to vote, not to vote, candidate themselves and even criticising capitalism! No other system can provide this. Morally People are free, not equal. As I stated before, capitalism provides freedom, which is natural to every human being. But equality no. We are naturally unequal. If we have different colors, ages, tastes and opinions, Way should we live in a socioeconomic system where everyone is the same? In capitalism you can choose not to like capitalism, but in socialist countries you can't chose to dislike socialist/communist tyrannical government. Even the differences between poors and riches are moral. If I was smarter than everybody else on having an idea that would benefit a lot of people, why shouldn't I receive a lot of money from this people? Of course, the poors should be helped, but in true capitalism they are helped by selflessness charity. The destruction of capitalism A lot of people have been working on the destruction of free-market economy and true capitalism. This is causing more poverty, more wars and more tyrants. If capitalism ends, we will live under oppressive socialist governments, like the Cuban or North Korean. The growing power of governments and the destruction of capitalism comes from the freedom capitalism gives people. A lot of people don't choose to know how the system work, just to enjoy it's benefits and live their lives, while fanatic left-wingers slowly increase the government power over the economy and destroys this beautiful system. 1 <URL>... 2 <URL>... 3 idem I'd like to ask Pro for one more round for new arguments.",1,JRRS,"
  
  Here I shall prove that Capitalism is the better than Communism.  Economically  Although some capitalism elements are present in other economic systems through history, it only truly developed itself in with the industrial era. With industries, millions of people could stop working for their Lords in Europe(specially in Britain) to work on factories. In the beginning there was some exploitations, but with the increasing amount of enterprises and the market being more and more competitive, wages started going up and working hours down! In Britain, estimates that salaries rose 15% to 150% between 1780 and 1850. And all without unions or labor rights.(1) In Brazil, where I live, when industrial capitalism truly came during the 70's, our life improvement never rose so much. In countries where the economy was basically rural, the industries provided jobs with bigger salaries than in the agriculture and were able to produce goods in mass, thus making prices fall and giving the possibility to more people to acquire it.(2)  Socially  Capitalism improved people standards of living.(3) When agriculture became mechanized, more food was produced, thus their prices fell and made it affordable for poor people and hence improved their health, as they could eat more. The rise of wages (which I explained in my previous argument) enabled people to pay for better health care, afford medicine, school, books and goods that make our lives comfortable, such as televisions or Iphones. It gives the opportunity for people who were born nobodies to become famous liders or entrepeneurs, such as Margaret Thatcher, Barack Obama or S.B. Fuller.  Politically  Capitalism gives political liberty. With better wages provided by free-market, more people can afford reading books and studying on free time, giving them some political knowledge and the possibility to form their political opinion. The better wages also gives people political power against a tyrannical State which would take their money away and give them to other people. Yes, there will always be poor people, but capitalism gave them higher standards of living. More people with more money stop the state from getting too big. Only a big state creates and perpetuate the poverty and take away people's freedom. Capitalism provides people the possibility of choice. They can choose to like the government, to vote, not to vote, candidate themselves and even criticising capitalism!   No other system can provide this.  Morally  People are free, not equal. As I stated before, capitalism provides freedom, which is natural to every human being. But equality no. We are naturally unequal. If we have different colors, ages, tastes and opinions, Way should we live in a socioeconomic system where everyone is the same? In capitalism you can choose not to like capitalism, but in socialist countries you can't chose to dislike socialist/communist tyrannical government.  Even the differences between poors and riches are moral. If I was smarter than everybody else on having an idea that would benefit a lot of people, why shouldn't I receive a lot of money from this people? Of course, the poors should be helped, but in true capitalism they are helped by selflessness charity.  The destruction of capitalism  A lot of people have been working on the destruction of free-market economy and true capitalism. This is causing more poverty, more wars and more tyrants. If capitalism ends, we will live under oppressive socialist governments, like the Cuban or North Korean. The growing power of governments and the destruction of capitalism comes from the freedom capitalism gives people. A lot of people don't choose to know how the system work, just to enjoy it's benefits and live their lives, while fanatic left-wingers slowly increase the government power over the economy and destroys this beautiful system.  1   http://www.economics.ox.ac.uk...  2   http://mises.org...  3 idem  I'd like to ask Pro for one more round for new arguments. ",Philosophy,1,Communism-Are-you-for-it/1/,7841
9,"The now factor My opponent has made an argument essentialy based on semantics and then is surprised when I show the error in his argument based on those semantics. Basically, the entire argument rests on point 2 of his syllogism which rests on the phrase ""My nose will now grow"" meaning ""In this present time, my nose is in the process of growing"". Pinnochio said his nose ""will now grow"", not that his nose ""is growing"" My opponent is here equivocating present and future tense statements. There is no reason to believe Pinnochio is describing an already existing fact rather than an about-to-exist fact when he says his nose will now grow. The omnipotent factor My opponent proves my point in his response to my argument. He claims that in order to resolve the paradox I showed, Man X must be omniotent. However, he has not shown why this would happen. My point in showing this is that there is no evidence of a natural 'paradox solver' in the universe, since the paradox I showed is of essentially the same type i.e. a liar paradox. The truth factor My argument was in no sense an appeal to ridicule. My opponent made a claim, so I showed some evidence of the opposite occuring. I ask my opponent, if we are to believe the clam that his nose can grow when he is telling the truth, is there evidence of this? My opponent argues that there is a possibility his nose grows when he tells the truth, however that is a non-argument. There is also the possibility that his nose does not grow when he tells he truth. When there is a possibility of both options, why throw out the video evidence? Vote Con",1,socialpinko,"
  
  The now factor  My opponent has made an argument essentialy based on semantics and then is surprised when I show the error in his argument based on those semantics. Basically, the entire argument rests on point 2 of his syllogism which rests on the phrase ""My nose will now grow"" meaning ""In this present time, my nose is in the process of growing"". Pinnochio said his nose ""will now grow"", not that his nose ""is growing"" My opponent is here equivocating present and future tense statements. There is no reason to believe Pinnochio is describing an already existing fact rather than an about-to-exist fact when he says his nose will now grow.  The omnipotent factor  My opponent proves my point in his response to my argument. He claims that in order to resolve the paradox I showed, Man X must be omniotent. However, he has not shown why this would happen. My point in showing this is that there is no evidence of a natural 'paradox solver' in the universe, since the paradox I showed is of essentially the same type i.e. a liar paradox.   The truth factor  My argument was in no sense an appeal to ridicule. My opponent made a claim, so I showed some evidence of the opposite occuring. I ask my opponent, if we are to believe the clam that his nose can grow when he is telling the truth, is there evidence of this? My opponent argues that there is a possibility his nose grows when he tells the truth, however that is a non-argument. There is also the possibility that his nose does not grow when he tells he truth. When there is a possibility of both options, why throw out the video evidence?  Vote Con",Philosophy,3,What-would-happen-if-Pinocchio-said-My-nose-will-now-grow/1/,48159
