,text,label,author,original_text,category,round,debate_id,idx
0,"I accept, thanks for bringing up a new topic! I don't want my opening round to be very long, so I will bring up one point and let you present your opening arguments. Forcing people to vote (assuming if you don't, you are punished in some kind of way) is both immoral and can lead to donkey votes. The majority people who don't want to vote will vote to get it over with and not put any thought into it, giving the candidate an unfair advantage or disadvantage based really on luck, with no actual thought going into the vote. More candidates will be elected due to luck rather than what the general public really wants. Thanks, looking forward to a good argument!",1,Mister_Man,"
  
  I accept, thanks for bringing up a new topic!  I don't want my opening round to be very long, so I will bring up one point and let you present your opening arguments.  Forcing people to vote (assuming if you don't, you are punished in some kind of way) is both immoral and can lead to donkey votes. The majority people who don't want to vote will vote to get it over with and not put any thought into it, giving the candidate an unfair advantage or disadvantage based really on luck, with no actual thought going into the vote. More candidates will be elected due to luck rather than what the general public really wants.  Thanks, looking forward to a good argument! ",Politics,0,Voting-should-be-compulsory./1/,47127
1,"My opponent quotes: ""Okay, I am conceding defeat."" My opponent has given up the debate and has accepted defeat. I heavily urge a Con vote. Thank you.",1,studentathletechristian8,"
  
My opponent quotes:  
  
""Okay, I am conceding defeat.""  
My opponent has given up the debate and has accepted defeat. I heavily urge a Con vote. Thank you.",Politics,2,Should-there-be-a-border-fence/2/,35772
2,"My arguments would refute yours. If I have space I will refute: C1: ALLOWING THEM IN WOULD LEAD TO ECONOMIC DETRIMENT Puerto rico has high unemployment and allowing them it would increase the deficit through wellfare cost. [1] The puerto rican delegation would be twice the size of west vigrginia so they would have leverage to increase cost towards them, increasing costs further. [1] Their income per capita is 8,509$, thats much less then the american average, allowing them in would increase poverty rates. If allowed to be a state they would have the 25th biggest state via population, also that would lead to more social security costs, increasing deficits. Money spent on puerto rico is money that cannot be spent in other areas i.e medicare and medicade and other programs that help the other 50 states. We cannot afford a 51st state. [2] C2: Language Their language is english AND spanish. Many people in PR (puerto rico) do not know english and the only official language of america is english. This is a fundamental problem. [3] Only 20% of PR's population speak english fluently [3] the language used in PR houses is spanish 95% of the time [3] C3: Politics People might like this argument (if your democrat) but it's the principle of the thing: Pr would have at least 5 members to congress and PR is predomonatly liberal. [4] But a PR commonwealth rep dissagrees (so this is a benifit to republicans): 78% are pro life, 91% oppose SSM, and 30% are evangelicals. They also supoort spending and tax cuts [4] So it may go either way, but it would without a doubt help someone, hurting swaying the other 50 states views. in my opinion it would be a republican benifit. C4: they are already considered americans They are already US citizens that can travel in and out of all 50 states, except their wellfare programs are local not american federal. [5] So they are US citizens, but don't drain our already empty treasury. C5: the people of PR do not want it. 1950 PR vote-didn't pass [6] 1967-fail 1998-fail recent-you yourself said they denied it the fist time. Polls: In the last status plebiscite, in 1993, 48 percent of voters chose commonwealth status, 46 percent said they supported statehood and most of the rest favoured independence. [7] So most support independence, so be it. Refutations: ""The people of Puerto Rico have been U.S. citizens for since 1917 yet, they are not represent in congress and cannot vote for president. They are effectively second-class citizens. If we are to preach democracy and fairness across the world we must be fair to all of our citizens."" Sicne they aren't currenlty a state then they do not get either, they get noon voting reps that try to persuade congress. I don't know if that works but they have something. [8] they have 1. Your first argument isn't an argument it is just backround. It is just an I hope they vote state and other backround info. ==end== SOurces: <URL>... ;[1] <URL>... ;[2] <URL>... ;[3] <URL>... ;[4] <URL>... ;[5] <URL>... ;[6] <URL>... ;[7] <URL>... ;[8]",1,16kadams,"
  
  My arguments would refute yours. If I have space I will refute:  C1: ALLOWING THEM IN WOULD LEAD TO ECONOMIC DETRIMENT     Puerto rico has high unemployment and allowing them it would increase the deficit through wellfare cost.  [1]  The puerto rican delegation would be twice the size of west vigrginia so they would have leverage to increase cost towards them, increasing costs further. [1]  Their income per capita is 8,509$, thats much less then the american average, allowing them in would increase poverty rates. If allowed to be a state they would have the 25th biggest state via population, also that would lead to more social security costs, increasing deficits. Money spent on puerto rico is money that cannot be spent in other areas i.e medicare and medicade and other programs that help the other 50 states. We cannot afford a 51st state. [2]  C2: Language  Their language is english AND spanish.   
  
  
  
     
  
  
  
  Many people in PR (puerto rico) do not know english and the only official language of america is english. This is a fundamental problem. [3]  Only 20% of PR's population speak english fluently [3]  the language used in PR houses is spanish 95% of the time [3]  C3: Politics  People might like this argument (if your democrat) but it's the principle of the thing:  Pr would have at least 5 members to congress and PR is predomonatly liberal. [4]  But a PR commonwealth rep dissagrees (so this is a benifit to republicans):  78% are pro life, 91% oppose SSM, and 30% are evangelicals. They also supoort spending and tax cuts [4]  So it may go either way, but it would without a doubt help someone, hurting swaying the other 50 states views. in my opinion it would be a republican benifit.   C4: they are already considered americans  They are already US citizens that can travel in and out of all 50 states, except their wellfare programs are local not american federal. [5]  So they are US citizens, but don't drain our already empty treasury.   C5: the people of PR do not want it.   1950 PR vote-didn't pass [6]  1967-fail  1998-fail  recent-you yourself said they denied it the fist time.   Polls:  In the last status plebiscite, in 1993, 48 percent of voters chose                     commonwealth status, 46 percent said they supported statehood and most                     of the rest favoured independence. [7]  So most support independence, so be it.   Refutations:  ""The people of Puerto Rico have been U.S. citizens for since 1917 yet, they are not represent in congress and cannot vote for president. They are effectively second-class citizens. If we are to preach democracy and fairness across the world we must be fair to all of our citizens.""  Sicne they aren't currenlty a state then they do not get either, they get noon voting reps that try to persuade congress. I don't know if that works but they have something. [8] they have 1.   Your first argument isn't an argument it is just backround. It is just an I hope they vote state and other backround info.   ==end==  SOurces:  http://englishfirst.org...  ;[1]  http://www.nopuertoricostatehood.com...  ;[2]  http://www.nationalreview.com...  ;[3]  http://www.prfaa.com...  ;[4]  http://www.washingtontimes.com...  ;[5]  http://en.wikipedia.org...  ;[6]  http://www.latinamericanstudies.org...  ;[7]  http://www.house.gov...  ;[8]  
  
  
  
     
  
  
  
",Politics,1,Puerto-Rico-should-become-a-state/1/,29675
3,"I do not believe the Huffington post is ""recruiting"" people to be Gay. They are showing the diverse culture that exists in our society. The simple fact of the matter is: Gay people exist! Homosexual relationships aren't just some made up fantasy. The huffington post are simply showing anyone who wishes to view their site what our world is like; the job of the news! Here are some examples of other photos they show in their articles: They show heterosexual couples, and with the recent legalisation of Gay marriage in the UK, it is no wonder that they're showing pictures of homosexual couples! It isn't showing children that homosexual relationships are ""incredibly cool"", it is simply showing pictures that relate to the article. If we are to avoid discrimination of any kind, both heterosexual and homosexual couples must be seen in the media. Those who are Gay need to see people who they can relate to, otheriwse we risk damaging the whole community. Here are some statistics for Gay teens who commit suicide: Between 30 and 40% of the Gay youth ( a collection of different ages) have attempted to commit suicide The Homosexual youth are more likely to try to commit suicide than their Heterosexual counterparts Here is an interesting statistic found by GLAAD on the media : homosexual couples make up about 4.4% of the media we see today (at the start of 2013). This figure is shocking! The only way we can hope to destroy the hateful discrimination the LGBT community faces is by showing the youth of today the truth! By shying them away from the reality will only push those who need help further away. <URL>... <URL>...",1,RossM,"
  
  I do not believe the Huffington post is ""recruiting"" people to be Gay.  They are showing the diverse culture that exists in our society.  The simple fact of the matter is: Gay people exist! Homosexual relationships aren't just some made up fantasy. The huffington post are simply showing   anyone   who wishes to view their site what our world is like; the job of the news! Here are some examples of other photos they show in their articles:  They show heterosexual couples, and with the recent legalisation of Gay marriage in the UK, it is no wonder that they're showing pictures of homosexual couples! It isn't showing children that homosexual relationships are ""incredibly cool"", it is simply showing pictures that relate to the article. If we are to avoid discrimination of any kind, both heterosexual and homosexual couples must be seen in the media. Those who are Gay need to see people who they can relate to, otheriwse we risk damaging the whole community. Here are some statistics for Gay teens who commit suicide:  Between 30 and 40% of the Gay youth ( a collection of different ages) have attempted to commit suicide  The Homosexual youth are more likely to try to commit suicide than their Heterosexual counterparts  Here is an interesting statistic found by GLAAD on the media : homosexual couples make up about 4.4% of the media we see today (at the start of 2013). This figure is shocking! The only way we can hope to destroy the hateful discrimination the LGBT community faces is by showing the youth of today the truth! By shying them away from the reality will only push those who need help further away.  https://www.glaad.org...  http://en.wikipedia.org...",Politics,0,This-is-Gay-Recruitment/1/,45432
4,"*Summary* Since Red24pat12 forfeited this round, all of my arguments against the legalization of Marijuana stand. All of my attacks on his argumentation stand. He's essentially already lost the debate by dropping everything I've said. I won't waste much time reiterating my arguments, let me just remind you of the tag-lines. 1. Marijuana has damaging effects on society and individuals other than the user. 2. Marijuana is a gateway drug, and by banning it, we reduce hard drug use. 3. Marijuana use for teenagers will increase. 4. A ban on marijuana is justified paternalistically. In addition to proving each of these things, I made it clear that Red24pat12's arguments are invalid, and he needs to make up a great deal of ground at this point to win the debate. *Theory* In addition to all of the topical analysis I have given to show why Red24pat12 is wrong, I would also like to make some theory arguments about why Red24pat12 should lose this debate, even if he is right. 1. Clarification of the topic. I asked Red24pat12 to clarify the topic of the debate in Round 1. Not only did he drop all of the argumentation in this debate by forfeiting Round 2, he also failed to make clear what this debate is even about. He should lose at face for refusing to take a clear position. He should also lose at face for not making it clear to me what exactly I have to prove. On both of those accounts, this round is effectively over. 2. Forfeiture of a round. Obviously Red24pat12 doesn't care much about debating. Whenever someone forfeits a round, they should lose the debate. This is now an open and shut case. Once he forfeited the last round he demonstrated: A. He doesn't care about debate B. He doesn't believe his position important enough to defend C. In a comparative sense, that I deserve to win this round more than he does. *Please...* I accepted this debate because I wanted to have a good discussion about Marijuana legalization. I still want to have this debate. Red24pat12, please actually debate with me instead of just forfeiting the next round. Thanks. Zabcheckmate",1,Zabcheckmate,"
  
*Summary*  
  
Since Red24pat12 forfeited this round, all of my arguments against the legalization of Marijuana stand. All of my attacks on his argumentation stand. He's essentially already lost the debate by dropping everything I've said. I won't waste much time reiterating my arguments, let me just remind you of the tag-lines.  
  
1. Marijuana has damaging effects on society and individuals other than the user.  
2. Marijuana is a gateway drug, and by banning it, we reduce hard drug use.  
3. Marijuana use for teenagers will increase.  
4. A ban on marijuana is justified paternalistically.  
  
In addition to proving each of these things, I made it clear that Red24pat12's arguments are invalid, and he needs to make up a great deal of ground at this point to win the debate.  
  
*Theory*  
  
In addition to all of the topical analysis I have given to show why Red24pat12 is wrong, I would also like to make some theory arguments about why Red24pat12 should lose this debate, even if he is right.  
  
1. Clarification of the topic.  
  
I asked Red24pat12 to clarify the topic of the debate in Round 1. Not only did he drop all of the argumentation in this debate by forfeiting Round 2, he also failed to make clear what this debate is even about. He should lose at face for refusing to take a clear position. He should also lose at face for not making it clear to me what exactly I have to prove. On both of those accounts, this round is effectively over.  
  
2. Forfeiture of a round.  
  
Obviously Red24pat12 doesn't care much about debating. Whenever someone forfeits a round, they should lose the debate. This is now an open and shut case. Once he forfeited the last round he demonstrated:  
A. He doesn't care about debate  
B. He doesn't believe his position important enough to defend  
C. In a comparative sense, that I deserve to win this round more than he does.  
  
*Please...*  
  
I accepted this debate because I wanted to have a good discussion about Marijuana legalization. I still want to have this debate. Red24pat12, please actually debate with me instead of just forfeiting the next round. Thanks.  
  
Zabcheckmate",Politics,1,Marijuana-should-be-legalized./2/,24357
5,"You clearly know nothing about economics. Our country is already in deep economic trouble, we are in a recession, crashing. We are nothing short of SCREWED. The fed keeps cutting interest, loaning money, etc etc. We cannot afford to finance expensive medical care to Americans for many reasons. 1.It would put us further in debt. We're already 9 trillion in, we need stop spending. 2.Once I had a life saving operation, the motivation to keep paying diminishes exponentially. 3.The problem exists with the insurance companies and our economy, we need to make the Insurance companies accountable for their terrible ethics. Besides, the government should not be involved at ALL! What should be done is that these insurance companies should stop being public companies and be made into private corporations who have accountability to one group, their customers, and not to both their customers AND their stockholders.",1,Harboggles,"
  
You clearly know nothing about economics.  
  
Our country is already in deep economic trouble, we are in a recession, crashing. We are nothing short of SCREWED. The fed keeps cutting interest, loaning money, etc etc. We cannot afford to finance expensive medical care to Americans for many reasons.  
  
1.It would put us further in debt. We're already 9 trillion in, we need stop spending.  
2.Once I had a life saving operation, the motivation to keep paying diminishes exponentially.  
3.The problem exists with the insurance companies and our economy, we need to make the Insurance companies accountable for their terrible ethics.  
  
Besides, the government should not be involved at ALL!  
  
What should be done is that these insurance companies should stop being public companies and be made into private corporations who have accountability to one group, their customers, and not to both their customers AND their stockholders.",Politics,0,subsidies-loans-instead-of-insurance/1/,54290
6,"I'm glad you brought up the Voter ID laws actually. When it comes to the idea of changing the electoral college to the number of voters per state, having these laws can be a huge disadvantage. In history many Southern and more conservative states have always felt they needed to have larger representation, one of the reasons for this was because of the large populations in the Northern states. In the beginning of our nation, this has created the three-fifths act where every slave in the south counted for three-fifths of a person. The South knew they had to increase their political status somehow and although they looked at their slaves as barn animals they still tried to count them off as human ( <URL>... ). However in today's political and social atmosphere those opinions are long gone but not the idea of trying to suppress their votes. Were you aware that 31 DMV offices in Alabama will close down? The interesting part about it is that all of these counties are at least 75% black ( <URL>... ). In the article though it talks about how they only account for less then 5% of all Alabama DMV transactions, so in reality it doesn't give a large effect to the state's overall voting capacity. As of 2014 though, 26.7% of all of Alabama is Black ( <URL>... ). So if they try and suppress the voting rights of 26.7% of the voters in Alabama then they will lose 26.7% of their representation in their electoral college if they completely succeed. You see ,mathematically, changing the Electoral College to the number of voters can also punish the more conservative states for their subtle racist policies. For the sake of it though I would prefer to do some more detailed math. Based on a general poll in 2012, the study has shown that 25% of Black Americans do not have an ID. So if we take that into account of the 26.7% of Alabama, 20.025% of Alabama can still vote but also in the same study 8% of whites do not have an ID as well so 60.904% of Alabama can vote as well. Although the ratio of white to black voters go from 3 to 2 down 3 to 1, the percentage of the state's electoral college votes would actually go down by 12% thus hurting it's political representation. The way I figured the percentage was just adding total population percentage loss from both sides and have gotten a 6% cut from the total number of whites in Alabama but have also gotten the same total 6% cut from the total number of blacks in Alabama, thus giving a total of 12% ( <URL>... ). Now my point is this, we can be a lot more efficient and also referee the states that try and cheat through these laws just by counting the number of votes from each state. The math clearly shows just how we can do that and it has shown Alabama can easily lose an eighth of it's Electoral College votes. When it comes to representation though, a lot of these people are on the fringe of the mainstream American society. Do you believe that drug dealers,hookers,murderers and pedophiles deserve a vote? Why is it that when someone commits a felony the first thing we take away from them is the right to vote? It's because we believe their representation is null and void due to the fact they have caused such harm to society. We like to pretend that we would like to listen to everyone's opinion but would you listen to a pedophile's opinion about the sex offender laws being too harsh? And if we listen to their opinions wouldn't we be infringing on the rights of their victims to not live in fear? You see we already choose who gets to vote and who's opinion matters. I'd like to say I appreciate the debate and it truly was a fun one to discuss. I personally believe having these philosophical debates on politics and geography really is good for your mind. It really does test your strategic thinking to a whole new level and gets you ready for a lot more challenges in life.",1,danonspark21,"
  
I'm glad you brought up the Voter ID laws actually. When it comes to the idea of changing the electoral college to the number of voters per state, having these laws can be a huge disadvantage. In history many Southern and more conservative states have always felt they needed to have larger representation, one of the reasons for this was because of the large populations in the Northern states. In the beginning of our nation, this has created the three-fifths act where every slave in the south counted for three-fifths of a person. The South knew they had to increase their political status somehow and although they looked at their slaves as barn animals they still tried to count them off as human (  http://www.aaregistry.org...  ).  
  
However in today's political and social atmosphere those opinions are long gone but not the idea of trying to suppress their votes. Were you aware that 31 DMV offices in Alabama will close down? The interesting part about it is that all of these counties are at least 75% black (  http://whnt.com...  ). In the article though it talks about how they only account for less then 5% of all Alabama DMV transactions, so in reality it doesn't give a large effect to the state's overall voting capacity. As of 2014 though, 26.7% of all of Alabama is Black (  http://quickfacts.census.gov...  ). So if they try and suppress the voting rights of 26.7% of the voters in Alabama then they will lose 26.7% of their representation in their electoral college if they completely succeed. You see ,mathematically, changing the Electoral College to the number of voters can also punish the more conservative states for their subtle racist policies.  
  
For the sake of it though I would prefer to do some more detailed math. Based on a general poll in 2012, the study has shown that 25% of Black Americans do not have an ID. So if we take that into account of the 26.7% of Alabama, 20.025% of Alabama can still vote but also in the same study 8% of whites do not have an ID as well so 60.904% of Alabama can vote as well. Although the ratio of white to black voters go from 3 to 2 down 3 to 1, the percentage of the state's electoral college votes would actually go down by 12% thus hurting it's political representation. The way I figured the percentage was just adding total population percentage loss from both sides and have gotten a 6% cut from the total number of whites in Alabama but have also gotten the same total 6% cut from the total number of blacks in Alabama, thus giving a total of 12% (  http://www.politifact.com...  ).  
  
Now my point is this, we can be a lot more efficient and also referee the states that try and cheat through these laws just by counting the number of votes from each state. The math clearly shows just how we can do that and it has shown Alabama can easily lose an eighth of it's Electoral College votes. When it comes to representation though, a lot of these people are on the fringe of the mainstream American society. Do you believe that drug dealers,hookers,murderers and pedophiles deserve a vote? Why is it that when someone commits a felony the first thing we take away from them is the right to vote? It's because we believe their representation is null and void due to the fact they have caused such harm to society. We like to pretend that we would like to listen to everyone's opinion but would you listen to a pedophile's opinion about the sex offender laws being too harsh? And if we listen to their opinions wouldn't we be infringing on the rights of their victims to not live in fear? You see we already choose who gets to vote and who's opinion matters.  
  
I'd like to say I appreciate the debate and it truly was a fun one to discuss. I personally believe having these philosophical debates on politics and geography really is good for your mind. It really does test your strategic thinking to a whole new level and gets you ready for a lot more challenges in life.",Politics,2,Should-we-change-the-electoral-college-from-Population-to-number-of-actual-voters/1/,35912
7,"I accept the debate. FOX news is biased, but so are most other netwroks. I will prove thar FOX news is not the ""most biased"" network.",1,DanT,"
  
  I accept the debate. FOX news is biased, but so are most other netwroks. I will prove thar FOX news is not the ""most biased"" network.",Politics,0,Fox-News-is-the-most-bias-new-network/1/,12517
8,"Well, this is the last time I will speak in this debate. I thank Hunton for his...interesting perspective on this issue. I don't mean to be patronizing or mean, but I have noticed some things in this debate that are rather upsetting, however, this is a debate and I will continue to do exactly that, debate. Rebuttals: ""You should..."" I should want rights, or I should receive them? I think the answer is both. Why is my lifestyle ""just wrong""? Because people like me choose to be with people of their own gender? I believe that it is called love and it really doesn't matter the gender, it's hard for anyone to find. ""Child molesters..."" I'm not misjudging you. I'm reading exactly what you're writing and acting off of that. I violently disagree but that's not the point. You do watch porn, so you suffer from a perversion as well. So I assume you shouldn't get married either, right? But you're against porn? Wow. So not only do you believe I'm backwards and immoral but you're a plethora of contradiction...interesting. ""I know you..."" I'm sorry but I'm not interested in men. It is not a ""I can't find love"" thing it's a, ""I'm happy just the way I am"" thing. I'm in a deeply committed relationship and would not give that up, especially for a man. It's not something I'm interested in. That is also not the point of this debate... Summation of points: --> Traditionalism is no longer traditional. What my opponent fails to realize is that tradition has already been broken. Not all black couples ""jump the broom"", not all Jewish ones dance the Hora and smash bottles, and not all people throw rice. The times and practices have changed. What my opponent also fails to realize is that if we were still operating off of tradition, many interracial couples would not be permitted to marry either. --> My opponent is willing to discount an entire group of citizens a human right just because he disagrees with their sexual preference. This essentially is considering a group that makes up about ten percent of the world, subhuman. Due to the fact that you disagree with the way people live their lives they should have rights stripped? That is irrational and dehumanizing and is a reprehensible action. However, I am forced to not be blind to your beliefs. This denies a gay person their God - given rights, limits their liberty and impedes the quality of life which is all unfair. Again, all gay people had to come from somewhere, so if you're looking for someone to blame you should most likely try the straight folk, gays cannot reproduce on their own. --> Religion is still not an argument, no matter how much of the bible my opponent wants to use. The bible contradicts itself ever so frequently that though it may be a good basis for some things does not really prove itself useful in this argument. The bottom line is that presidents/vice presidents/senators and congressmen do not base their political policies off the bible. They base them off the Constitution and that is the document that should be adhered to. In addition, there is no universal religion. To solely operate off of Christianity would also circumvent other religions from playing a part in the legislative process and that too would be unfair. Conclusion: Most of my points have either gone unchallenged or partially challenged but reinforced. I hope the voters will recognize that some of my opponent's points didn't really have anything to do with the actual topic of this debate. There is no logical reason as to why homosexuals should be denied the same rights as their heterosexual counterparts. We are all humans and to be denied a human right is rather degrading. Marriage is not a heterosexual privilege but a human right and it is about time this gets recognized. ** I would like to honestly thank Hunton711 for this debate. Despite the fact that we obviously disagree I thank him for a nice exchange and forfeit - free debate. I believe in my mind that Hunton is a product of two or perhaps or perhaps an entire family of ultra - conservatives. I hope that you become more open - minded with age and experience and understand that there are certain things in life that cannot be helped. I did not choose this life, and I'm sure that there are many people who would actually WANT to live this way. I don't believe a lot of people realize that it is not that easy or great to be gay and often times is an internal identity struggle. However, I've learned a lot about people from debating this topic and thank Hunton for the challenge. I urge a vote for PRO and thank you for reading.",1,untitled_entity,"
  
Well, this is the last time I will speak in this debate. I thank Hunton for his...interesting perspective on this issue. I don't mean to be patronizing or mean, but I have noticed some things in this debate that are rather upsetting, however, this is a debate and I will continue to do exactly that, debate.  
  
Rebuttals:  
""You should...""  
I should want rights, or I should receive them? I think the answer is both. Why is my lifestyle ""just wrong""? Because people like me choose to be with people of their own gender? I believe that it is called love and it really doesn't matter the gender, it's hard for anyone to find.  
  
""Child molesters...""  
I'm not misjudging you. I'm reading exactly what you're writing and acting off of that. I violently disagree but that's not the point. You do watch porn, so you suffer from a perversion as well. So I assume you shouldn't get married either, right? But you're against porn? Wow. So not only do you believe I'm backwards and immoral but you're a plethora of contradiction...interesting.  
  
""I know you...""  
I'm sorry but I'm not interested in men. It is not a ""I can't find love"" thing it's a, ""I'm happy just the way I am"" thing. I'm in a deeply committed relationship and would not give that up, especially for a man. It's not something I'm interested in. That is also not the point of this debate...  
  
Summation of points:  
  
--> Traditionalism is no longer traditional. What my opponent fails to realize is that tradition has already been broken. Not all black couples ""jump the broom"", not all Jewish ones dance the Hora and smash bottles, and not all people throw rice. The times and practices have changed. What my opponent also fails to realize is that if we were still operating off of tradition, many interracial couples would not be permitted to marry either.  
  
--> My opponent is willing to discount an entire group of citizens a human right just because he disagrees with their sexual preference. This essentially is considering a group that makes up about ten percent of the world, subhuman. Due to the fact that you disagree with the way people live their lives they should have rights stripped? That is irrational and dehumanizing and is a reprehensible action. However, I am forced to not be blind to your beliefs. This denies a gay person their God - given rights, limits their liberty and impedes the quality of life which is all unfair. Again, all gay people had to come from somewhere, so if you're looking for someone to blame you should most likely try the straight folk, gays cannot reproduce on their own.  
  
--> Religion is still not an argument, no matter how much of the bible my opponent wants to use. The bible contradicts itself ever so frequently that though it may be a good basis for some things does not really prove itself useful in this argument. The bottom line is that presidents/vice presidents/senators and congressmen do not base their political policies off the bible. They base them off the Constitution and that is the document that should be adhered to. In addition, there is no universal religion. To solely operate off of Christianity would also circumvent other religions from playing a part in the legislative process and that too would be unfair.  
  
Conclusion:  
Most of my points have either gone unchallenged or partially challenged but reinforced. I hope the voters will recognize that some of my opponent's points didn't really have anything to do with the actual topic of this debate. There is no logical reason as to why homosexuals should be denied the same rights as their heterosexual counterparts. We are all humans and to be denied a human right is rather degrading. Marriage is not a heterosexual privilege but a human right and it is about time this gets recognized.  
  
** I would like to honestly thank Hunton711 for this debate. Despite the fact that we obviously disagree I thank him for a nice exchange and forfeit - free debate. I believe in my mind that Hunton is a product of two or perhaps or perhaps an entire family of ultra - conservatives. I hope that you become more open - minded with age and experience and understand that there are certain things in life that cannot be helped. I did not choose this life, and I'm sure that there are many people who would actually WANT to live this way. I don't believe a lot of people realize that it is not that easy or great to be gay and often times is an internal identity struggle. However, I've learned a lot about people from debating this topic and thank Hunton for the challenge.  
  
I urge a vote for PRO and thank you for reading.",Politics,3,Gay-Marriage-should-be-legalized./6/,13164
9,it goes both ways it unfair for only people who are organ donors to get the organ when the person die's than so body on the streets no home and no money to not get the organ that is inequality,1,FantumHeist,"
  
it goes both ways it unfair for only people who are organ donors to get the organ when the person die's than so body on the streets no home and no money to not get the organ that is inequality",Politics,2,only-organ-donors-should-be-allowed-organ-transplants-for-the-most-part/1/,53082
