,text,label,author,original_text,category,round,debate_id,idx
0,"I thank my opponent for his response and shall now offer my counterargument. My opponent's argument is as follows: 1. DNA is a code 2. All codes come from an intelligence 3. Therefore, DNA must have come from an intelligence. I will try to be as clear and concise as possible in offering my refutations. I must note however that I need not abide by my opponent's rule on HOW to debunk him. I just shall. In actuality, the most powerful disproof for this is a rather complicated one, one that I am sure he shall not understand. However, I will use these more elementary disproofs for this debate and may post my complicated one either in the forum after this debate, or in my last rounds. Refutation 1: DNA is a genetic code, not a regular code. Regular codes work by way of symbols, something arbitrary and without meaning is GIVEN meaning by an intelligence. DNA genetic code works without symbols. Each nucleic acid is a thing in and of itself and combines to create larger chains. These chains interact with proteins that bind to them and form smaller amino acids that chain into new proteins. There is no meaning and no intelligence involved in the interpretation of DNA. Refutation 2: DNA is not a code, because it does not have arbitrary rules. All codes and languages are governed by arbitrary rules. Grammar and spelling evolve alongside a language. The rules for pig-latin were developed artificially. DNA is governed by the laws of physics, which neither evolve alongside it, or were developed artificially. SEE VIDEO IN CONJUNCTION WITH REFUTATION 3 & 4 Refutation 3: DNA may possibly resemble a code now, but it did not resemble one when it first developed. All codes and languages symbolize something even at the first utterance. DNA originated as amino acids inside a primitive membrane that merely bound to each other and replicated via physical force. Refutation 4: DNA is not a code because all codes could only have been made via intelligence. No known code could have possibly developed naturally. It is possible that DNA arose by way of the video above. Thus, DNA is not a code. Refutation 5: The ""code"" in Pt. 1 is not the ""code"" in Pt. 2- Equivalence fallacy. There are different definitions for the word ""code"". We classify DNA as a code because it shares some similarities to what we view to be codes. The information in DNA is not really information. DNA is not really a code. The notion that codes need to come from an intelligence stems from inductive proof of the actual term ""code"", not things that are similar to it. Refutation 6: All codes can be used by humans in order to express their own meanings. We can use English words, French words, Spanish words, morse code, and even binary in order to express ourselves. However, we cannot use the mechanisms of interpretation of DNA to send messages. Thus, DNA is not a code. Refutation 7: This argument is invalid because it is not scientific. <URL>... The argument that my opponent plagiarized is not a proof, but a theory, since it is inductive in nature. Inductive proofs can only be useful as theories and theories need to be falsifiable if they are to be valid. The original author of this argument provided only 1 way to falsify the theory: Find a naturally occurring code. Codes, by definition, have meaning and there is no objective meaning in nature. Thus, the only way to falsify this ""theory"" is to find a meaningless code, and that is an oxymoron. Since there is no way to falsify this theory, it is not a valid theory. I shall offer these right now, I look forward to my opponents response. Thank You.",1,Kleptin,"
  
I thank my opponent for his response and shall now offer my counterargument.  
  
My opponent's argument is as follows:  
  
1. DNA is a code  
2. All codes come from an intelligence  
3. Therefore, DNA must have come from an intelligence.  
  
I will try to be as clear and concise as possible in offering my refutations. I must note however that I need not abide by my opponent's rule on HOW to debunk him. I just shall. In actuality, the most powerful disproof for this is a rather complicated one, one that I am sure he shall not understand. However, I will use these more elementary disproofs for this debate and may post my complicated one either in the forum after this debate, or in my last rounds.  
  
Refutation 1:  
  
DNA is a genetic code, not a regular code.  
  
Regular codes work by way of symbols, something arbitrary and without meaning is GIVEN meaning by an intelligence.  
  
DNA genetic code works without symbols. Each nucleic acid is a thing in and of itself and combines to create larger chains. These chains interact with proteins that bind to them and form smaller amino acids that chain into new proteins. There is no meaning and no intelligence involved in the interpretation of DNA.  
  
Refutation 2:  
  
DNA is not a code, because it does not have arbitrary rules.  
  
All codes and languages are governed by arbitrary rules. Grammar and spelling evolve alongside a language. The rules for pig-latin were developed artificially. DNA is governed by the laws of physics, which neither evolve alongside it, or were developed artificially.  
  
SEE VIDEO IN CONJUNCTION WITH REFUTATION 3 & 4  
  
Refutation 3:  
  
DNA may possibly resemble a code now, but it did not resemble one when it first developed.  
  
All codes and languages symbolize something even at the first utterance. DNA originated as amino acids inside a primitive membrane that merely bound to each other and replicated via physical force.  
  
Refutation 4:  
  
DNA is not a code because all codes could only have been made via intelligence.  
  
No known code could have possibly developed naturally. It is possible that DNA arose by way of the video above. Thus, DNA is not a code.  
  
Refutation 5:  
  
The ""code"" in Pt. 1 is not the ""code"" in Pt. 2- Equivalence fallacy.  
  
There are different definitions for the word ""code"". We classify DNA as a code because it shares some similarities to what we view to be codes. The information in DNA is not really information. DNA is not really a code. The notion that codes need to come from an intelligence stems from inductive proof of the actual term ""code"", not things that are similar to it.  
  
Refutation 6:  
  
All codes can be used by humans in order to express their own meanings.  
  
We can use English words, French words, Spanish words, morse code, and even binary in order to express ourselves. However, we cannot use the mechanisms of interpretation of DNA to send messages. Thus, DNA is not a code.  
  
Refutation 7:  
  
This argument is invalid because it is not scientific.  
  
  http://en.wikipedia.org...  
  
The argument that my opponent plagiarized is not a proof, but a theory, since it is inductive in nature. Inductive proofs can only be useful as theories and theories need to be falsifiable if they are to be valid. The original author of this argument provided only 1 way to falsify the theory: Find a naturally occurring code.  
  
Codes, by definition, have meaning and there is no objective meaning in nature. Thus, the only way to falsify this ""theory"" is to find a meaningless code, and that is an oxymoron. Since there is no way to falsify this theory, it is not a valid theory.  
  
I shall offer these right now, I look forward to my opponents response. Thank You.",Religion,1,GodSands-other-proof-of-the-existence-God-is-logically-invalid/1/,15103
1,"Quite an impressive job by CON. I shall first start by making a few things clear. "">>>I challenge Pro to demonstrate a logical contradiction that results from the universe coming into existence completely without cause"" - Ok then. ""the definition of ""cause"" does not allow a thing to cause itself."" -RoyLatham """"cause"" is ""The producer of an effect, result, or consequence."" "" An uncaused cause in fact is a beginning. Take the decaying atoms for example. Even though it seems to happen for no reason, it began to happen at some point in time. If that is the case, inevitability is the cause. In the case of the universe, God would be the inevitable event of its creation. :) "">>>I challenge Pro to say whether he claims that God (1) always existed or (2) was created by something else, X."" - (1) No (2) No Why does it matter? If the big bang theory or quantum fluctuation is true, the PRO is still correct, because we can define either of those as God (creator/cause of the universe). For the CON to be correct, he would have to declare both of those theories in their current state incorrect. Therefore, the cosmological argument still stands firm and so do my arguments.",1,vorxxox,"
  
Quite an impressive job by CON. I shall first start by making a few things clear.  
  
"">>>I challenge Pro to demonstrate a logical contradiction that results from the universe coming into existence completely without cause"" - Ok then.  
  
""the definition of ""cause"" does not allow a thing to cause itself.""  
-RoyLatham  
  
""""cause"" is ""The producer of an effect, result, or consequence."" ""  
  
An uncaused cause in fact is a beginning. Take the decaying atoms for example. Even though it seems to happen for no reason, it began to happen at some point in time. If that is the case, inevitability is the cause. In the case of the universe, God would be the inevitable event of its creation. :)  
  
"">>>I challenge Pro to say whether he claims that God (1) always existed or (2) was created by something else, X."" - (1) No (2) No  
Why does it matter?  
  
If the big bang theory or quantum fluctuation is true, the PRO is still correct, because we can define either of those as God (creator/cause of the universe).  
  
For the CON to be correct, he would have to declare both of those theories in their current state incorrect.  
  
Therefore, the cosmological argument still stands firm and so do my arguments.",Religion,2,The-cosmological-argument-is-evidence-for-a-God/1/,42792
2,"My opponent did not address any of my points nor did he, without an empirical or a priori doubt, prove that a god(s) are non-existent. He concedes to my former argument. He can even be caught conceding to me here: ""I completely understand your agnostic stance which says we do not have the proper evidence to prove or disprove the existence of god(s)."" His quote of the great Greek philosopher can not be applied to all gods (for example, Spinoza's deist god who does nothing for a reason, or any god who is not personal, or any god who is not benevolent). My opponent only addresses the traits claimed to be possessed by the Christian god. His questions are irrelevant for a god who is not personal or benevolent. I'll answer his questions very quickly though, in a logical fashion. 1. Regression fallacy 2. A god or group of gods that exist do not need to be benevolent. 3. A god or group of gods do not have to be personal. Thank you and I hope for an address to my empirical and a priori concerns next round from my opponent. Regards, Vi Veri",1,Vi_Veri,"
  
My opponent did not address any of my points nor did he, without an empirical or a priori doubt, prove that a god(s) are non-existent. He concedes to my former argument. He can even be caught conceding to me here:  
  
""I completely understand your agnostic stance which says we do not have the proper evidence to prove or disprove the existence of god(s).""  
  
His quote of the great Greek philosopher can not be applied to all gods (for example, Spinoza's deist god who does nothing for a reason, or any god who is not personal, or any god who is not benevolent). My opponent only addresses the traits claimed to be possessed by the Christian god.  
  
His questions are irrelevant for a god who is not personal or benevolent.  
  
I'll answer his questions very quickly though, in a logical fashion.  
  
1. Regression fallacy  
2. A god or group of gods that exist do not need to be benevolent.  
3. A god or group of gods do not have to be personal.  
  
Thank you and I hope for an address to my empirical and a priori concerns next round from my opponent.  
  
Regards,  
  
Vi Veri",Religion,1,There-is-no-God./2/,44761
3,"My opponent's arguments are all logically invalid, as I will show. 1. My opponent claims that something with qualities that are not qualities of life is living. This is obviously false. One of the properties of life is having boundaries. <URL>... (Property Number 3) However, God is defined as omnipresent. Therefore, God is not considered to be a living thing. Therefore, it cannot die, as living things do. 2. My opponent's second claim, that God does not have a physical body (therefore it cannot function) is false, as an omnipotent God would not need a physical body to function. Further, ""listening"" to prayers is not a defined property of God, and judgement was not specified as something God does. 3. My opponent states (again) that God must have a physical body to function. An omniscient and omnipresent God would not exist in a particular location and would not need to be present in a particular location to percieve (as it is omniscient). 4. My opponent's third argument attacks specific religions. However, this is irrelevant to the debate. 5. My opponent's final argument is that God would need a cause. This seems the most justified argument yet, and so I will take some time to answer it. This question creates a trilemma: Either: 1. God existed eternally and the universe did not. 2. There is no God and the universe existed eternally. 3. There is no God and the universe did not exist eternally. When compared to the first possibility, the second is eliminated, as it would be foolish to assume that the physical could exist eternally yet the metaphysical could not. When compared to the first possibility, the third is eliminated as well, for it assumes that the universe exists definitely (so there would need to be a cause for its existence). However, nothing exists outside of the universe to cause the universe to exist. Therefore, the universe should not exist. However, it does, so the third option is eliminated. There exists a fourth case, though it was eliminated by logic: 4. God and the universe existed indefinitely. This seems even more unlikely than 2 or 3, as God has already been defined as the creator of the universe; therefore, if God exists, then the universe did not exist indefinitely. I await my opponent to reinstate his points.",1,wjmelements,"
  
My opponent's arguments are all logically invalid, as I will show.  
  
1. My opponent claims that something with qualities that are not qualities of life is living. This is obviously false.  
  
One of the properties of life is having boundaries.   http://findarticles.com...   (Property Number 3)  
However, God is defined as omnipresent. Therefore, God is not considered to be a living thing. Therefore, it cannot die, as living things do.  
  
2. My opponent's second claim, that God does not have a physical body (therefore it cannot function) is false, as an omnipotent God would not need a physical body to function. Further, ""listening"" to prayers is not a defined property of God, and judgement was not specified as something God does.  
  
3. My opponent states (again) that God must have a physical body to function. An omniscient and omnipresent God would not exist in a particular location and would not need to be present in a particular location to percieve (as it is omniscient).  
  
4. My opponent's third argument attacks specific religions. However, this is irrelevant to the debate.  
  
5. My opponent's final argument is that God would need a cause. This seems the most justified argument yet, and so I will take some time to answer it.  
This question creates a trilemma:  
Either:  
1. God existed eternally and the universe did not.  
2. There is no God and the universe existed eternally.  
3. There is no God and the universe did not exist eternally.  
  
When compared to the first possibility, the second is eliminated, as it would be foolish to assume that the physical could exist eternally yet the metaphysical could not.  
  
When compared to the first possibility, the third is eliminated as well, for it assumes that the universe exists definitely (so there would need to be a cause for its existence). However, nothing exists outside of the universe to cause the universe to exist. Therefore, the universe should not exist. However, it does, so the third option is eliminated.  
  
There exists a fourth case, though it was eliminated by logic:  
4. God and the universe existed indefinitely.  
This seems even more unlikely than 2 or 3, as God has already been defined as the creator of the universe; therefore, if God exists, then the universe did not exist indefinitely.  
  
I await my opponent to reinstate his points.",Religion,1,The-Following-Arguments-Against-The-Existence-of-God-are-Valid/1/,39788
4,"I accept this debate. As con, I shall debate that faith cannot cure diseases. If my opponent agrees, I would like to state that he must show that faith cures better then the placebo affect. Otherwise, shared Burden of Proof.",1,Lordgrae,"
  
I accept this debate. As con, I shall debate that faith cannot cure diseases.  
  
If my opponent agrees, I would like to state that he must show that faith cures better then the placebo affect. Otherwise, shared Burden of Proof.",Religion,0,Faith-Can-Help-To-Heal-Sickness/1/,11928
5,"Alright, ill give. If you are God, the creator of the universe and everything in it than surely you will be able to answer a few simple questions about your creations. All numbers must refer and be answered in the human (American) numerical system. All names of any objects, animals, etc must be answered in the American given names. 1. How many hairs are currently on my head? 2. What are my 4 pets, and what are the breeds/species of said pets? 3. What kind of flowers are currently planted in my back yard, and how many petals are there on all the plants combined? 4. How many blades of grass are currently in my yard? 5. How many blades of grass did i just pull up from my yard? 6. How many freckles are on my face? 7. How many teeth do i have in my mouth? If you are truly the creator of the universe and everything in it, the all knowing God, than these are easy questions for you, if you cannot answer them correctly than you are not the All powerful all knowing God, creator of the Universe, and the resolution fails.",1,Alex,"
  
Alright, ill give. If you are God, the creator of the universe and everything in it than surely you will be able to answer a few simple questions about your creations.  
  
All numbers must refer and be answered in the human (American) numerical system.  
All names of any objects, animals, etc must be answered in the American given names.  
  
1. How many hairs are currently on my head?  
  
2. What are my 4 pets, and what are the breeds/species of said pets?  
  
3. What kind of flowers are currently planted in my back yard, and how many petals are there on all the plants combined?  
  
4. How many blades of grass are currently in my yard?  
  
5. How many blades of grass did i just pull up from my yard?  
  
6. How many freckles are on my face?  
  
7. How many teeth do i have in my mouth?  
  
If you are truly the creator of the universe and everything in it, the all knowing God, than these are easy questions for you, if you cannot answer them correctly than you are not the All powerful all knowing God, creator of the Universe, and the resolution fails.",Religion,1,I-am-God/1/,17407
6,"Two worlds exist: the otherworld and the mundane world. Common mythologies tell us that, in addition to many gods who assume powers over nature, there are the demons and especially the little inhabits of the otherworld, fairies. I personally feel much more for the fairy. The fairy, who appears in tales and fables, has a much more subtle and powerful magic to them, ascribed through the use of symbolism, the images of rafts and waters--and so on: I digress. Contention one: Fairies have numerous origins, many of which are a status above that of demons A common belief of fairies is that they are a class of demoted angels who were too impure to remain in heaven, after our Father closed his gates to the fallen beings, but too pure for hell. In this case, fairies are subject to the Devil (who is excluded from this argument). It is common to say, ever since the stories of his fall, that with the devil fell one-third of the host of heaven. From this, I will make the following mini-arguments: 1. The hierarchy of angels is: seraphs, the messegers and pronouncers of god's glory, cherubs, thrones, dominions, archangels, and so on. Judging solely from the characterization of the devil in medieval and Renaissance works as a tricksters, a proud being, and a worker of macchintions and lies, I argue that the fairies, who, according to this belief, retained their purity, are more higher in the angel hierarchy...The virtues and the heavenly governors, and especially the seraphs and so forth, who are close to the glory of God, are supposed less vulnerable to temptations and lies than their servants. Another belief is that fairies were pagan deities (in Celtic tradition) who subsided to the authority of the Lord after their reign. For an instance, let us define what a god, the synonym of deity, is: (dictionary.com) ""one of several deities...presiding over some portion of worldly affairs."" A demon is merely ""an evil spirit"" who works harm but whose powers are limited. (arguments may rest on whether or not the pagan deities, of classical mythology--for example, are more or less powerful than the demon or servant of the devil). The word ""deity"" itself is associated with a sense of ethereal, heavenly power that is far superior to that of the demon or devil... Contention 2: The fairy's weaknesses are few compared to that of the demon. Fairies are vulnerable mainly to iron, which, according to common mythology, is like poison to them. However, they are not fearful of the church's bells, or the cross, holy items, or the presence of the priest as demons are. Contention 3: Good triumphs over evil. The basic stories have been that the forces of light, wise, careful, and powerful, have triumphed from now and then against the forces of darkness. Several examples include: 1. the triumph of Zeus, arguable the force of light--due to his connections with heaven, justice, order, and thunder, against Typhos, the child of Gaea and the storm giant after the Titans 2. the overthrow of Lucifer, the epitome of rebellion and chaos, by the hand of God 3. the classic story of Faust (Goethe) 4. numerous fairy tales in which the trapped prince, by a witch or evil spirit, or princess is freed and the villain defeated and so on. I do not think that fairies, who are connected with innocence and beauty, along with mischevious behavior, and childhood, are not exempt from this. Nor are the demons who, among others, encourage sorcery and witchcraft, sin (sloth, greed, and so on), violence, and are known for their animalistic bodies exempt from this either. Therefore, the fairies, the force of good, would triumph over the penultimate forces of darkness. (In addition, here are the requirements and details of the debate: --remember, this is a purely strict debate. Classical mythology, and other religious mythologies, may be used to back up one's claims. In the end, the ultimate goal is to provide enough evidence whether or not older mythologies (not that of shows or comics--please) demonstrate which of the two, the fairy or demon, is more powerful and superior. --This is not a debate of epic proportions. We won't be discussing stem cells, have arguments over the Messiah, the trinity, or any other religious controversy. It is just, in my opinion, a frivolous debate.) I hope that we will have more time, in the next four rounds, to argue about our cases and provide more information than in the opening round. (Source: ""Fairy"" www. wikipidea.com.) For any comments on my sources, RoyLatham, please write them in your argument.",1,Man-is-good,"
  
  Two worlds exist: the otherworld and the mundane world. Common mythologies tell us that, in addition to many gods who assume powers over nature, there are the demons and especially the little inhabits of the otherworld, fairies.  I personally feel much more for the fairy. The fairy, who appears in tales and fables, has a much more subtle and powerful magic to them, ascribed through the use of symbolism, the images of rafts and waters--and so on: I digress.   Contention one: Fairies have numerous origins, many of which are a status above that of demons  A common belief of fairies is that they are a class of demoted angels who were too impure to remain in heaven, after our Father closed his gates to the fallen beings, but too pure for hell. In this case, fairies are subject to the Devil (who is excluded from this argument). It is common to say, ever since the stories of his fall, that with the devil fell one-third of the host of heaven. From this, I will make the following mini-arguments:   1. The hierarchy of angels is: seraphs, the messegers and pronouncers of god's  glory, cherubs, thrones, dominions, archangels, and so on. Judging solely from  the characterization of the devil in medieval and Renaissance works as a  tricksters, a proud being, and a worker of macchintions and lies, I argue that  the fairies, who, according to this belief, retained their purity, are more higher   in the angel hierarchy...The virtues and the heavenly governors, and especially  the seraphs and so forth, who are close to the glory of God, are supposed less   vulnerable to temptations and lies than their servants.   Another belief is that fairies were pagan deities (in Celtic tradition) who subsided to the authority of the Lord after their reign. For an instance, let us define what a god, the synonym of deity, is: (dictionary.com) ""one of several deities...presiding over some portion of worldly affairs."" A demon is merely ""an evil spirit"" who works harm but whose powers are limited. (arguments may rest on whether or not the pagan deities, of classical mythology--for example, are more or less powerful than the demon or servant of the devil). The word ""deity"" itself is associated with a sense of ethereal, heavenly power that is far superior to that of the demon or devil...  Contention 2: The fairy's weaknesses are few compared to that of the demon.  Fairies are vulnerable mainly to iron, which, according to common mythology, is like poison to them. However, they are not fearful of the church's bells, or the cross, holy items, or the presence of the priest as demons are.   Contention 3: Good triumphs over evil.  The basic stories have been that the forces of light, wise, careful, and powerful, have triumphed from now and then against the forces of darkness. Several examples include:   1. the triumph of Zeus, arguable the force of light--due to his connections with   heaven, justice, order, and thunder, against Typhos, the child of Gaea and the   storm giant after the Titans   2. the overthrow of Lucifer, the epitome of rebellion and chaos, by the hand of   God    3. the classic story of Faust (Goethe)   4. numerous fairy tales in which the trapped prince, by a witch or evil spirit, or    princess is freed and the villain defeated  and so on. I do not think that fairies, who are connected with innocence and beauty, along with mischevious behavior, and childhood, are not exempt from this. Nor are the demons who, among others, encourage sorcery and witchcraft, sin (sloth, greed, and so on), violence, and are known for their animalistic bodies exempt from this either. Therefore, the fairies, the force of good, would triumph over the penultimate forces of darkness.   (In addition, here are the requirements and details of the debate:  --remember, this is a purely strict debate. Classical mythology, and other religious mythologies, may be used to back up one's claims. In the end, the ultimate goal is to provide enough evidence whether or not older mythologies (not that of shows or comics--please) demonstrate which of the two, the fairy or demon, is more powerful and superior.  --This is not a debate of epic proportions. We won't be discussing stem cells, have arguments over the Messiah, the trinity, or any other religious controversy. It is just, in my opinion, a frivolous debate.)  I hope that we will have more time, in the next four rounds, to argue about our cases and provide more information than in the opening round.  (Source: ""Fairy"" www. wikipidea.com.)  For any comments on my sources, RoyLatham, please write them in your argument.",Religion,0,fairy-vs-demon/1/,51144
7,"Ok, I didn't copy and paste from that article, but skimmed thorough it and many other sites because i don't know much about atheism, Islam, and Jewish customs. I needed to be educated before making a good response. There are many moral atheists and i agree. But if religion never existed most of these morals wouldn't be i place. It was the ten commandments that laid out the frame works for the rest of these morals. So yes atheists and religious people have the capability of being good and bad, but we needed religion to make the first morals, this cannot b denied. And it's stay out of saying life at conception is a myth, we can debate about this later if you please. How is teaching both sides absurd? Just because one has scientific evidence and the other one doesn't do what. Should we outlaw people who say the earth isn't warming? Science proves that t is, but why outlaw their teaching? And b0th are taught in schools. I think one needs both sides to understand their history. So people should teach both. Morality would still exist today, well yes. Once again I will state, morality will always exist, bu with out religion people may have a totally different mindset. Which could be good or bad. All I am saying is that religion makes morality more efficiently, and sometimes this is good or bad. So in conclusion, religion should stay because people should be free to believe what they want to believe.",1,16kadams,"
  
Ok, I didn't copy and paste from that article, but skimmed thorough it and many other sites because i don't know much about atheism, Islam, and Jewish customs. I needed to be educated before making a good response.  
  
There are many moral atheists and i agree. But if religion never existed most of these morals wouldn't be i place. It was the ten commandments that laid out the frame works for the rest of these morals. So yes atheists and religious people have the capability of being good and bad, but we needed religion to make the first morals, this cannot b denied.  
  
And it's stay out of saying life at conception is a myth, we can debate about this later if you please.  
  
How is teaching both sides absurd? Just because one has scientific evidence and the other one doesn't do what. Should we outlaw people who say the earth isn't warming? Science proves that t is, but why outlaw their teaching? And b0th are taught in schools. I think one needs both sides to understand their history. So people should teach both.  
  
Morality would still exist today, well yes. Once again I will state, morality will always exist, bu with out religion people may have a totally different mindset. Which could be good or bad. All I am saying is that religion makes morality more efficiently, and sometimes this is good or bad.  
  
So in conclusion, religion should stay because people should be free to believe what they want to believe.",Religion,2,Society-would-be-better-off-without-religion/1/,36586
8,"Let us go through our opponent""s case before making our own, shall we? ""School is not meant for praying."" Now, my opponent says that school is not meant for praying. Thee is no rule against it. Just like school isn't meant for buying large amounts of food, it is still allowed and still happens. ""It is just plain wrong to teach a student how to pray"" So this suggests that they don't want their kid indoctrinated on how to pray. Many creationists do not want evolution to be the only thing taught but it still happens. Common courtesy would suggest to let us be able to pray too. ""This is a violation to the amendment #1."" TO quote the 1st amendment: ""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances. Now notice this: or prohibiting the free exercise thereof Prohibiting kids from praying would be against the 1st amendment, contrary to my opponents beliefs. ""It is cruel for someone to harrass a poor kid who doesn't want to pray."" And why would that happen? My opponent doesn't want payer in school just because it is ""plain wrong."" However, it is right. Westside Community Board of Education v. Mergens, (1990) -- Ruled that schools must allow student groups to meet to pray and worship if other non-religious groups are also allowed to meet on school property. Kids have the RIGHT to pray, just like other kids have the right to text. Taking that away is in violation of the first amendment. Vote Pro please.",1,TheAntidoter,"
  
Let us go through our opponent""s case before making our own, shall we?  
  
""School is not meant for praying.""  
  
Now, my opponent says that school is not meant for praying. Thee is no rule against it. Just like school isn't meant for buying large amounts of food, it is still allowed and still happens.  
  
""It is just plain wrong to teach a student how to pray""  
  
So this suggests that they don't want their kid indoctrinated on how to pray. Many creationists do not want evolution to be the only thing taught but it still happens. Common courtesy would suggest to let us be able to pray too.  
  
""This is a violation to the amendment #1.""  
  
TO quote the 1st amendment:  
  
""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.  
  
Now notice this: or prohibiting the free exercise thereof  
  
Prohibiting kids from praying would be against the 1st amendment, contrary to my opponents beliefs.  
  
""It is cruel for someone to harrass a poor kid who doesn't want to pray.""  
  
And why would that happen?  
  
My opponent doesn't want payer in school just because it is ""plain wrong.""  
  
However, it is right.  
  
Westside Community Board of Education v. Mergens, (1990) -- Ruled that schools must allow student groups to meet to pray and worship if other non-religious groups are also allowed to meet on school property.  
  
Kids have the RIGHT to pray, just like other kids have the right to text. Taking that away is in violation of the first amendment.  
  
Vote Pro please.",Religion,0,So-not-true/1/,36415
9,"Thanks for the debate! First off I would like to say one thing: THERE IS ONLY ONE RACE!!! I have no ""racial"" prejudice. I do believe, however, that Islam is FAR from a peaceful religion. I will start with posting some pictures. Take a good long look... ( <URL>... ) Allow me to quote some of the signs they are holding up... ""Slay those who insult Islam!"" ""Butcher those who mock Islam!"" ""Europe, you will pay! Your 9/11 is on it's way!"" ""Be prepared for the REAL holocaust!"" ""Europe will pay! Demolition is on it's way!"" I would like to know where you read peace into that. You might, however, consider this a small group that should not be considered. One of those groups that should be looked over. I think this would be a mistake. If this is how muslims are acting, this is how I will precieve Islam. On top of that, peace is not taught throughout the Qu'ran. Surah 4:95--- ""Not equal are those believers who sit and those who strive hard and fight in the cause of Allah with their wealth and lives."" Surah 2:190--- ""Fight in the cause of Allah those who fight you. And slay them wherever you catch them."" Surah 2:216--- ""Fighting is prescribed for you, and you dislike it. But it is possible that you dislike a thing which is good for you, and that you love a thing which is bad for you. But Allah knows and you know not."" Hadith 4:73--- ""Muhammed said, ""Know that paradise is under the shades of the sword."" Please explain where you are reading peace into this. Even if you go back to the Qu'ran, past the gruops that you think we should look over, such as the Jihad, you will not find peace. I find it rather interesting that the Qu'ran peacefully permits the beating of one's wife. Surah 4:34--- ""Men are the maintainers of women because Allah has made some of them to excel others and because they spend out of their property; the good women are therefore obedient, guarding the unseen as Allah has guarded; and (as to) those on whose part you fear desertion, admonish them, and leave them alone in the sleeping-places and beat them; then if they obey you, do not seek a way against them; surely Allah is High, Great."" This is only to be a last resort, after VERBAL abuse. ( <URL>... ) Not so peaceful. Take a look at this one... ""A woman came to Muhammad and begged her to stop her husband from beating her. Her skin was bruised so badly that she it is described as being ""greener"" than the green veil she was wearing. Muhammad did not admonish her husband, but instead ordered her to return to him and submit to his sexual desires."" ( <URL>... ) ""To classify an entire religion based on a crazy group of radicals is absurd."" Not really. Not when the ""radicals"" are acting in accordance with their holy book. Besides, If this is how the religion portrays itself, why should we believe otherwise? ""The Koran quotes the Torah, the Jewish scriptures, which permits people to retaliate eye for eye, tooth for tooth..."" ...But it says that forgiving is BETTER. What? You CAN take revenge, but it BETTER to forgive? If it permits the taking of revenge, it is not peaceful. I don't care if it encourages forgiveness. I will start with that. Thanks! Renzzy",1,Renzzy,"
  
Thanks for the debate!  
  
First off I would like to say one thing:  
  
THERE IS ONLY ONE RACE!!!  
  
I have no ""racial"" prejudice. I do believe, however, that Islam is FAR from a peaceful religion.  
  
I will start with posting some pictures. Take a good long look...  
  
(  http://images.google.com...  )  
  
Allow me to quote some of the signs they are holding up...  
  
""Slay those who insult Islam!""  
""Butcher those who mock Islam!""  
""Europe, you will pay! Your 9/11 is on it's way!""  
""Be prepared for the REAL holocaust!""  
""Europe will pay! Demolition is on it's way!""  
  
I would like to know where you read peace into that. You might, however, consider this a small group that should not be considered. One of those groups that should be looked over. I think this would be a mistake. If this is how muslims are acting, this is how I will precieve Islam.  
  
On top of that, peace is not taught throughout the Qu'ran.  
  
Surah 4:95---  
""Not equal are those believers who sit and those who strive hard and fight in the cause of Allah with their wealth and lives.""  
  
Surah 2:190---  
""Fight in the cause of Allah those who fight you. And slay them wherever you catch them.""  
  
Surah 2:216---  
""Fighting is prescribed for you, and you dislike it. But it is possible that you dislike a thing which is good for you, and that you love a thing which is bad for you. But Allah knows and you know not.""  
  
Hadith 4:73---  
""Muhammed said, ""Know that paradise is under the shades of the sword.""  
  
Please explain where you are reading peace into this. Even if you go back to the Qu'ran, past the gruops that you think we should look over, such as the Jihad, you will not find peace.  
  
I find it rather interesting that the Qu'ran peacefully permits the beating of one's wife.  
  
Surah 4:34---  
""Men are the maintainers of women because Allah has made some of them to excel others and because they spend out of their property; the good women are therefore obedient, guarding the unseen as Allah has guarded; and (as to) those on whose part you fear desertion, admonish them, and leave them alone in the sleeping-places and beat them; then if they obey you, do not seek a way against them; surely Allah is High, Great.""  
  
This is only to be a last resort, after VERBAL abuse. (  http://www.thereligionofpeace.com...  ) Not so peaceful.  
  
Take a look at this one...  
  
""A woman came to Muhammad and begged her to stop her husband from beating her. Her skin was bruised so badly that she it is described as being ""greener"" than the green veil she was wearing. Muhammad did not admonish her husband, but instead ordered her to return to him and submit to his sexual desires.""  
(  http://www.thereligionofpeace.com...  )  
  
""To classify an entire religion based on a crazy group of radicals is absurd.""  
  
Not really. Not when the ""radicals"" are acting in accordance with their holy book. Besides, If this is how the religion portrays itself, why should we believe otherwise?  
  
""The Koran quotes the Torah, the Jewish scriptures, which permits people to retaliate eye for eye, tooth for tooth...""  
  
...But it says that forgiving is BETTER. What? You CAN take revenge, but it BETTER to forgive?  
  
If it permits the taking of revenge, it is not peaceful. I don't care if it encourages forgiveness.  
  
I will start with that.  
  
Thanks!  
  
Renzzy",Religion,0,Islam-is-a-peaceful-religion/1/,21195
