,text,label,author,original_text,category,round,debate_id,idx
0,"Thank you for accepting the challenge I look forward to the debate. What my opponent says regarding the reason for the high price of marijuana is only partially true. Price of Marijuana world wide is relatively high even where there is an acceptance of the drug such as Amsterdam. You claim that I have an ignorance of the dynamics of economics because I do not understand basic supply and demand concepts however you contradict yourself by saying that large conglomerates would eventually take over production. You also state that the reason cigarettes are of such a low cost yet able to turn a profit is due in part to the addictive quality of nicotine and marijuana does not, which I would completely agree. This in itself is an ignorance of a basic market principle, you have to create a profit. You also make the assumption that mass production of marijuana would generate the same good quality bud that smaller operations generate and this is completely false. As seen with any commodity it takes added time and care to generate high quality product. The brewers are known for this as well as those who produce cigars and cigarettes yet there is still a market for smaller companies who produce smaller quantity but higher quality and therefore more expensive goods. (examples: Flying Dog Beer, Crown Royal, Cohiba) While it is true that the production of paper products and textiles do not support my premise of small business I use only as a means to illustrate my point that hemp is a highly profitable untapped tax source. You do make a compelling point in that because of the low barrier to entry this would create a higher supply and lower demand thus lowering the price. While this may seem very accurate the low cost of actual growth still makes profit margin high enough to be profitable and since maintaining a small amount of plants requires less effort than growing on a larger scale (more than 25 plants) the entrepreneur can maintain another job and tend to his crop when he returns and thus putting more money in his pocket and more money into the tax system when he spends it. Others in the community who do not possess the knowledge or desire to begin growing and would rather purchase would remain high. I failed to mention in my opening state the requirement to be licensed (as is with alcohol). This was alluded when I spoke of the regulation but I failed to clarify what that meant. Obtaining a licence for distribution and sale would increase those barriers to entry and there by increase the demand offsetting the other factors that would increase supply. Just as with beer and liquor production (that can be done in any home with relatively little effort) creation for personal use would be totally acceptable but distribution and transporting over state lines would remain illegal without proper licensing just as with the aforementioned commodities. I also failed to mention that while selling for smoking is one way to consume marijuana the endless supply of baked goods would be a niche that those with the culinary skills could take advantage of. I know my opponent will again assume that corporations such as Toll House and Nabisco would diminish the return by competitive pricing but the evidence puts this argument at a disadvantage. They would no doubt exploit the opportunity but delicious specialty foods are still being made by the local baker. Though it may be more convenient to buy the prepackaged cookies and snacks from the grocer aisle people still purchase better quality food from the baker and he survives and even turns a profit. We even have specialty ""gourmet"" dog restaurants which would have seemed silly only 20 years ago. The point is that people have tastes and those tastes translate to profit. Why would someone spend 4 times more for Hydro when they could easily obtain regs for cheaper and in more abundant supply? Because it tastes better, doesn't make you as sleepy and heightens your senses more. It is a matter of personal taste. Budweiser would not be trying out new flavors of beer (at a higher cost to consumer than regular Bud) if not for the community of microbrewers who have significant enough market share to drive this upward competion. Certainly Budweiser could sell only Budweiser and Bud Light as well as lower quality and lower priced Busch and Natural Light but they do not want to lose any ground because demand is high for something new. And if people are willing to spend more for a quality product than they will explore that option. This does not mean that the competition from the microbrews dissipate as they are still around and doing well. Those that do not profit, drop out of the business and that is the natural selection process of the economy. Complete deregulation of anything, as we see it now in our economy with the banking collapse, leads to chaos in the marketplace, yet that is not what I am proposing. Everything needs to be carefully considered before making a decision as big as this and approached in a businesslike manner. By regulating it with amount limits grown for personal use and by locations where you could consume (hash bars, your home) you maintain a level of balance that is important in the market. I hope this overturns the claim that I am somehow 'ignorant' of basic economics 101 and would ask my opponent to not be as divisive in language until he understands my points clearer or uses more specific examples to illustrate my 'ignorance.' Again thanks for taking up the debate and I look forward to your rebuttal!",1,constitutionfirst,"
  
Thank you for accepting the challenge I look forward to the debate.  
  
What my opponent says regarding the reason for the high price of marijuana is only partially true. Price of Marijuana world wide is relatively high even where there is an acceptance of the drug such as Amsterdam. You claim that I have an ignorance of the dynamics of economics because I do not understand basic supply and demand concepts however you contradict yourself by saying that large conglomerates would eventually take over production. You also state that the reason cigarettes are of such a low cost yet able to turn a profit is due in part to the addictive quality of nicotine and marijuana does not, which I would completely agree. This in itself is an ignorance of a basic market principle, you have to create a profit.  
  
You also make the assumption that mass production of marijuana would generate the same good quality bud that smaller operations generate and this is completely false. As seen with any commodity it takes added time and care to generate high quality product. The brewers are known for this as well as those who produce cigars and cigarettes yet there is still a market for smaller companies who produce smaller quantity but higher quality and therefore more expensive goods. (examples: Flying Dog Beer, Crown Royal, Cohiba)  
  
While it is true that the production of paper products and textiles do not support my premise of small business I use only as a means to illustrate my point that hemp is a highly profitable untapped tax source.  
  
You do make a compelling point in that because of the low barrier to entry this would create a higher supply and lower demand thus lowering the price. While this may seem very accurate the low cost of actual growth still makes profit margin high enough to be profitable and since maintaining a small amount of plants requires less effort than growing on a larger scale (more than 25 plants) the entrepreneur can maintain another job and tend to his crop when he returns and thus putting more money in his pocket and more money into the tax system when he spends it.  
  
Others in the community who do not possess the knowledge or desire to begin growing and would rather purchase would remain high. I failed to mention in my opening state the requirement to be licensed (as is with alcohol). This was alluded when I spoke of the regulation but I failed to clarify what that meant. Obtaining a licence for distribution and sale would increase those barriers to entry and there by increase the demand offsetting the other factors that would increase supply. Just as with beer and liquor production (that can be done in any home with relatively little effort) creation for personal use would be totally acceptable but distribution and transporting over state lines would remain illegal without proper licensing just as with the aforementioned commodities.  
  
I also failed to mention that while selling for smoking is one way to consume marijuana the endless supply of baked goods would be a niche that those with the culinary skills could take advantage of. I know my opponent will again assume that corporations such as Toll House and Nabisco would diminish the return by competitive pricing but the evidence puts this argument at a disadvantage. They would no doubt exploit the opportunity but delicious specialty foods are still being made by the local baker. Though it may be more convenient to buy the prepackaged cookies and snacks from the grocer aisle people still purchase better quality food from the baker and he survives and even turns a profit. We even have specialty ""gourmet"" dog restaurants which would have seemed silly only 20 years ago. The point is that people have tastes and those tastes translate to profit. Why would someone spend 4 times more for Hydro when they could easily obtain regs for cheaper and in more abundant supply? Because it tastes better, doesn't make you as sleepy and heightens your senses more. It is a matter of personal taste. Budweiser would not be trying out new flavors of beer (at a higher cost to consumer than regular Bud) if not for the community of microbrewers who have significant enough market share to drive this upward competion. Certainly Budweiser could sell only Budweiser and Bud Light as well as lower quality and lower priced Busch and Natural Light but they do not want to lose any ground because demand is high for something new. And if people are willing to spend more for a quality product than they will explore that option. This does not mean that the competition from the microbrews dissipate as they are still around and doing well. Those that do not profit, drop out of the business and that is the natural selection process of the economy.  
  
Complete deregulation of anything, as we see it now in our economy with the banking collapse, leads to chaos in the marketplace, yet that is not what I am proposing. Everything needs to be carefully considered before making a decision as big as this and approached in a businesslike manner. By regulating it with amount limits grown for personal use and by locations where you could consume (hash bars, your home) you maintain a level of balance that is important in the market.  
  
I hope this overturns the claim that I am somehow 'ignorant' of basic economics 101 and would ask my opponent to not be as divisive in language until he understands my points clearer or uses more specific examples to illustrate my 'ignorance.'  
  
Again thanks for taking up the debate and I look forward to your rebuttal!",Society,1,Marijuana-should-be-legalized-as-a-spark-for-small-business-ownership/1/,24354
1,"ALL RIGHT THEN. SINCE I OBVIOUSLY CANNOT SHOW VISUAL PROOF THEN I WILL HAVE TO USE ANOTHER EXAMPLE. ANY PERSON COULD HOLD A WHOLE CHICKEN WITH THEIR BUTT IF IF WAS JAMMED UP THERE FAR ENOUGH. YOU COULD USE A LEG BUT IF THAT DIDNT WORK YOU MAY HAVE TO MANIPULATE THE CHICKEN INTO A MORE FAVORABLE SHAPE. GRANTED THAT THIS MAY CAUSE EXTREME PHYSICAL HARM, ANY PERSON COULD STILL DO IT - THUS PROVING THAT I CAN HOLD A WHOLE CHICKEN WITH MY BUTT.",1,sweatycreases,"
  
ALL RIGHT THEN. SINCE I OBVIOUSLY CANNOT SHOW VISUAL PROOF THEN I WILL HAVE TO USE ANOTHER EXAMPLE. ANY PERSON COULD HOLD A WHOLE CHICKEN WITH THEIR BUTT IF IF WAS JAMMED UP THERE FAR ENOUGH. YOU COULD USE A LEG BUT IF THAT DIDNT WORK YOU MAY HAVE TO MANIPULATE THE CHICKEN INTO A MORE FAVORABLE SHAPE. GRANTED THAT THIS MAY CAUSE EXTREME PHYSICAL HARM, ANY PERSON COULD STILL DO IT - THUS PROVING THAT I CAN HOLD A WHOLE CHICKEN WITH MY BUTT.",Society,2,I-CAN-HOLD-A-WHOLE-CHICKEN-WITH-MY-BUTT/1/,17361
2,"With many thanks to Alk09 for his contribution, I remember when I had my first drink but despite all the years of practice I have had since than, I am yet to master Drunkenese, as a consequence of which I have no idea what my opponent was banging on about! In view of this I shall reiterate my point that to address your fellow citizens as ""Sir"" or ""Madam"" harks back to the days of feudalism when the 'lower classes' were expected to know there place in society and address their 'superiors' accordingly. In the modern world, this verbal division of the classes should now be considered and anachronism and such social deference should, therefore, actively be discouraged. Thank you.",1,brian_eggleston,"
  
With many thanks to Alk09 for his contribution, I remember when I had my first drink but despite all the years of practice I have had since than, I am yet to master Drunkenese, as a consequence of which I have no idea what my opponent was banging on about!  
  
In view of this I shall reiterate my point that to address your fellow citizens as ""Sir"" or ""Madam"" harks back to the days of feudalism when the ‘lower classes' were expected to know there place in society and address their ‘superiors' accordingly.  
  
In the modern world, this verbal division of the classes should now be considered and anachronism and such social deference should, therefore, actively be discouraged.  
  
Thank you.",Society,1,Social-deference-is-an-anachronism-that-should-be-actively-discouraged/1/,36477
3,"Perhaps I was too quick to call your statement remarkable. However, an unremarkable statement still does require some level of evidence to back it up. If I made a debate entitled ""I am a 50 year old black woman,"" I would have to prove that I in fact was. Anyone reading the debate would know that it's quite possible that I am in fact a 50 year old black woman, but that doesn't mean I am. I would have to verify in some way that I was, else I would not have met my burden of proof. Also, hilding it with your butt AND another object is not holding it with your butt. You would have to grasp the chicken with only your cheeks to be holding a whole chicken with your butt. By using the wall, your butt would not be holding the WHOLE chicken. Just as ""I can fly"" would not be proven with me riding in a plane, since it's the plane flying, not me. Regardless, the fact remains: not everyone has the cheek strength required to hold a whole chicken. You must give us some reason to believe that you have this capability. Simply stating it does not make it true, nor does coming up with hypothetical statements when we don't know if you can apply them in reality. You have simply stated something. Something that for all we know, could be possible. This does not meet your burden of proof.",1,beem0r,"
  
Perhaps I was too quick to call your statement remarkable. However, an unremarkable statement still does require some level of evidence to back it up.  
If I made a debate entitled ""I am a 50 year old black woman,"" I would have to prove that I in fact was. Anyone reading the debate would know that it's quite possible that I am in fact a 50 year old black woman, but that doesn't mean I am. I would have to verify in some way that I was, else I would not have met my burden of proof.  
  
Also, hilding it with your butt AND another object is not holding it with your butt. You would have to grasp the chicken with only your cheeks to be holding a whole chicken with your butt. By using the wall, your butt would not be holding the WHOLE chicken. Just as ""I can fly"" would not be proven with me riding in a plane, since it's the plane flying, not me.  
  
Regardless, the fact remains: not everyone has the cheek strength required to hold a whole chicken. You must give us some reason to believe that you have this capability. Simply stating it does not make it true, nor does coming up with hypothetical statements when we don't know if you can apply them in reality.  
  
You have simply stated something. Something that for all we know, could be possible. This does not meet your burden of proof.",Society,1,I-CAN-HOLD-A-WHOLE-CHICKEN-WITH-MY-BUTT/1/,17357
4,I CAN HOLD A WHOLE CHICKEN WITH MY BUTT. ITS BEST IF YOU HOLD ON TO ONE OF THE LEGS BUT PEOPLE WHO ARE REALLY GOOD AT IT CAN HOLD IT BY JUST 1 WING. TURKEYS DUCKS AND GOOSES ARE HARDER TO HOLD BECAUSE THEY WEIGH MORE.,1,sweatycreases,"
  
I CAN HOLD A WHOLE CHICKEN WITH MY BUTT. ITS BEST IF YOU HOLD ON TO ONE OF THE LEGS BUT PEOPLE WHO ARE REALLY GOOD AT IT CAN HOLD IT BY JUST 1 WING. TURKEYS DUCKS AND GOOSES ARE HARDER TO HOLD BECAUSE THEY WEIGH MORE.",Society,0,I-CAN-HOLD-A-WHOLE-CHICKEN-WITH-MY-BUTT/1/,17359
5,"1. It is not illegal because the business is simply broadening those that qualify for the handicapped spots. Example: There are 10 spots. 3 are handicapped spots. 7 aren't. Businesses allow pregnant women to have handicap permits. Now there are 10 spots. 3 are handicapped. 7 aren't. Same number of spots. 2. The non-pregnant people already are walking. Again, this argument only works toward abolishing all handicapped spots. If my opponent believes that making non-pregnant people walk more is wrong, he will also consider making non-handicapped people walk more is wrong. 3. My opponent misunderstands my attack on his point. He makes the claim that ""the vast majority of people are not pregnant so statistically, businesses are not likely to benefit from offering this type of parking"". My attack was that the majority of the public are not handicapped either, so their is no impact to his argument. Like the second point, it is used as an argument against ANY reserved spots. 4. ""Pregnancy complications can make a woman feel weak or interfere with her mobility."" <URL>2/search?q=cache:-WWpw61mOkAJ:<URL> Now elderly get handicapped stickers. Blind and deaf people get handicapped stickers. Children can't drive, so why would they have parking spots. And a person is not carrying bags when he or she parks. So yes, pregnant women still deserve reserved spots. 5. ""As women approach the later months of pregnancy, their body feels off-balance. The position of the baby, the excess weight of the mother, and the awkwardness of pregnancy"" <URL>... The difference between a pregnant woman and an overweight person is how adapt the person is with the weight. When a person is pregnant, they gain weight faster than an average person. Therefore, they are not as used to the weight and have a higher risk of falling. My opponent also ignores the damage a fall can cause a baby. I understand that babies are well protected in a mother's womb and that a minor fall will not cause any injury. However, slipping on ice and falling face first into the concrete will do damage to a baby. 6. People receive handicap stickers the same way a pregnant women could receive one. If the doctor gives her one, it's because she is pregnant, thus the stores do not need to check for pregnancy. Furthermore, police do not need to do anything more than they do now. If the car has a sticker, they are clear. If they do not, then it's a ticket. I do not see the logistical problem at all. Same routine, just more people with the sticker.",1,cto09,"
  
1. It is not illegal because the business is simply broadening those that qualify for the handicapped spots. Example:  
There are 10 spots. 3 are handicapped spots. 7 aren't. Businesses allow pregnant women to have handicap permits. Now there are 10 spots. 3 are handicapped. 7 aren't. Same number of spots.  
  
2. The non-pregnant people already are walking. Again, this argument only works toward abolishing all handicapped spots. If my opponent believes that making non-pregnant people walk more is wrong, he will also consider making non-handicapped people walk more is wrong.  
  
3. My opponent misunderstands my attack on his point. He makes the claim that ""the vast majority of people are not pregnant so statistically, businesses are not likely to benefit from offering this type of parking"". My attack was that the majority of the public are not handicapped either, so their is no impact to his argument. Like the second point, it is used as an argument against ANY reserved spots.  
  
4. ""Pregnancy complications can make a woman feel weak or interfere with her mobility.""  
http://209.85.173.132/search?q=cache:-WWpw61mOkAJ:www.medicinenet.com/script/main/art.asp%3Farticlekey%3D20244+pregnancy+makes+women+weaker&hl;=en&ct;=clnk&cd;=7&gl;=us&client;=firefox-a. Now elderly get handicapped stickers. Blind and deaf people get handicapped stickers. Children can't drive, so why would they have parking spots. And a person is not carrying bags when he or she parks. So yes, pregnant women still deserve reserved spots.  
  
5. ""As women approach the later months of pregnancy, their body feels off-balance. The position of the baby, the excess weight of the mother, and the awkwardness of pregnancy""  
  http://findarticles.com...  
The difference between a pregnant woman and an overweight person is how adapt the person is with the weight. When a person is pregnant, they gain weight faster than an average person. Therefore, they are not as used to the weight and have a higher risk of falling. My opponent also ignores the damage a fall can cause a baby. I understand that babies are well protected in a mother's womb and that a minor fall will not cause any injury. However, slipping on ice and falling face first into the concrete will do damage to a baby.  
  
6. People receive handicap stickers the same way a pregnant women could receive one. If the doctor gives her one, it's because she is pregnant, thus the stores do not need to check for pregnancy. Furthermore, police do not need to do anything more than they do now. If the car has a sticker, they are clear. If they do not, then it's a ticket. I do not see the logistical problem at all. Same routine, just more people with the sticker.",Society,1,Businesses-should-offer-parking-reserved-for-pregnant-women./1/,6084
6,"Intermediate, so as to say middle schoolers? 5-7th graders? If this is the case, I'll be happy to debate with you. Intermediate-aged students aren't mentally mature enough to truly, emotionally date. At least, not fifth-seventh graders. They're still going through puberty and are only just developing feelings remotely close to attraction to the opposite/same gender in a romantic light. Their minds are overwhelmed with this new information and whatever they learn from older kids. I look forward to your response.",1,Nonsensicality,"
  
Intermediate, so as to say middle schoolers? 5-7th graders?  
  
If this is the case, I'll be happy to debate with you.  
  
Intermediate-aged students aren't mentally mature enough to truly, emotionally date. At least, not fifth-seventh graders. They're still going through puberty and are only just developing feelings remotely close to attraction to the opposite/same gender in a romantic light. Their minds are overwhelmed with this new information and whatever they learn from older kids.  
  
I look forward to your response.",Society,0,intermediate-students-should-be-able-to-date-and-show-their-affection-at-school/1/,52156
7,extend all arguments. I hope my opponent chooses to emerge from hibernation within the next 3 days,1,zach12,"
  
extend all arguments.  
  
I hope my opponent chooses to emerge from hibernation within the next 3 days",Society,3,D.A.R.E.-successfully-prevents-drug-use-and-violence-in-its-graduates/1/,8562
8,"""It may harm someone elses privacy to add a false name, but the fact that you can't anymore defies the whole point of privacy altogether."" Well first, Facebook doesn't REQUIRE you to give out all your information, the point is, WHY give out fake information and IMPERSONATE someone when you can leave it blank? Second, the point of Facebook is to be a social network tool, so it is not SUPPOSED to be anonymous. ""Your choices and hence your freedom is limited by not being able to choose a nickname instead. Facebook should work based on a nickname"" Where does it say you cannot use a nickname? A nickname is not false information. ""Then people could choose if they want to add their real name or use a nickname instead."" They already can because a nickname is not false information. ""This would cancel out the conflict of privacy and identity misuse."" There is no conflict. ""Once again, a nickname or username should become the central focus and not the person's real name. I see a big niche market here for any Facebook competitor."" First, how does that have anything to do with creating an account under someone else's name and impersonating them? Did you even read which part I was responding to? I was responding to the part where it says not to create an account under someone else's name without permission. If I went on Facebook and created an account under your name, how would you feel? ""Adhering to the main topic of this debate which is, ""Facebook, your identity and privacy promotion"". I still vote con that Facebook, while helping people to reconnect to their old friends have similarly demolished peoples privacy by making everything publicly online and available. Hence the term, 'privacy promotion'."" Again, it is not required to fill out all your information! If you don't want people to know what your phone number is, LEAVE IT BLANK! It is not a hard concept. ""When FB later realized how massive they were becoming, they realized they needed to pretend what they are doing is not wrong on some levels and in the process, begin promoting privacy with nifty buttons and tools. The point here is although your FB page may be hidden by those you hide it to. Your entire life has become centralized at the mercy of the Facebook corporation who are making billions of your information."" Again, you DO NOT HAVE TO PUT ALL YOUR INFORMATION!!! What part of that do you not get? They do not force you to put all your informtation! Only post what you want people to see. It is not a hard concept! Voting Spelling and Grammar- My opponent has overused the word hence, and he used it in several unnecessary places too. Arguments- I have proved that you do not have to put all your information, that you choose what information to make public. Conduct- My opponent: ""Facebook, what a lame word"" I think that explains the conduct point enough. Sources, I have sources Sources <URL>...",1,1dustpelt,"
  
""It may harm someone elses privacy to add a false name, but the fact that you can't anymore defies the whole point of privacy altogether.""  
Well first, Facebook doesn't REQUIRE you to give out all your information, the point is, WHY give out fake information and IMPERSONATE someone when you can leave it blank? Second, the point of Facebook is to be a social network tool, so it is not SUPPOSED to be anonymous.  
  
""Your choices and hence your freedom is limited by not being able to choose a nickname instead. Facebook should work based on a nickname""  
Where does it say you cannot use a nickname? A nickname is not false information.  
  
""Then people could choose if they want to add their real name or use a nickname instead.""  
They already can because a nickname is not false information.  
  
""This would cancel out the conflict of privacy and identity misuse.""  
There is no conflict.  
  
""Once again, a nickname or username should become the central focus and not the person's real name. I see a big niche market here for any Facebook competitor.""  
First, how does that have anything to do with creating an account under someone else's name and impersonating them? Did you even read which part I was responding to? I was responding to the part where it says not to create an account under someone else's name without permission. If I went on Facebook and created an account under your name, how would you feel?  
  
""Adhering to the main topic of this debate which is, ""Facebook, your identity and privacy promotion"". I still vote con that Facebook, while helping people to reconnect to their old friends have similarly demolished peoples privacy by making everything publicly online and available. Hence the term, 'privacy promotion'.""  
Again, it is not required to fill out all your information! If you don't want people to know what your phone number is, LEAVE IT BLANK! It is not a hard concept.  
  
""When FB later realized how massive they were becoming, they realized they needed to pretend what they are doing is not wrong on some levels and in the process, begin promoting privacy with nifty buttons and tools. The point here is although your FB page may be hidden by those you hide it to. Your entire life has become centralized at the mercy of the Facebook corporation who are making billions of your information.""  
Again, you DO NOT HAVE TO PUT ALL YOUR INFORMATION!!! What part of that do you not get? They do not force you to put all your informtation! Only post what you want people to see. It is not a hard concept!  
  
Voting  
Spelling and Grammar- My opponent has overused the word hence, and he used it in several unnecessary places too.  
Arguments- I have proved that you do not have to put all your information, that you choose what information to make public.  
Conduct- My opponent: ""Facebook, what a lame word"" I think that explains the conduct point enough.  
Sources, I have sources  
  
Sources  
  https://www.facebook.com...",Society,2,Facebook-your-identity-and-privacy-promotion/1/,11883
9,"At school, I think it is completely inapropriate. A, because what about the kids that aren't ready to experience that type of thing? It's PDA and uncomfortable. And school is a place for learning, not a place for romance. Save that for when your education is solid. Don't think I am being unfair, I can see this from your perspective because I am in eighth grade.",1,Nonsensicality,"
  
At school, I think it is completely inapropriate. A, because what about the kids that aren't ready to experience that type of thing? It's PDA and uncomfortable. And school is a place for learning, not a place for romance. Save that for when your education is solid.  
  
Don't think I am being unfair, I can see this from your perspective because I am in eighth grade.",Society,1,intermediate-students-should-be-able-to-date-and-show-their-affection-at-school/1/,52157
