,text,label,author,original_text,category,round,debate_id,idx
0,"I accept, thanks for bringing up a new topic! I don't want my opening round to be very long, so I will bring up one point and let you present your opening arguments. Forcing people to vote (assuming if you don't, you are punished in some kind of way) is both immoral and can lead to donkey votes. The majority people who don't want to vote will vote to get it over with and not put any thought into it, giving the candidate an unfair advantage or disadvantage based really on luck, with no actual thought going into the vote. More candidates will be elected due to luck rather than what the general public really wants. Thanks, looking forward to a good argument!",1,Mister_Man,"
  
  I accept, thanks for bringing up a new topic!  I don't want my opening round to be very long, so I will bring up one point and let you present your opening arguments.  Forcing people to vote (assuming if you don't, you are punished in some kind of way) is both immoral and can lead to donkey votes. The majority people who don't want to vote will vote to get it over with and not put any thought into it, giving the candidate an unfair advantage or disadvantage based really on luck, with no actual thought going into the vote. More candidates will be elected due to luck rather than what the general public really wants.  Thanks, looking forward to a good argument! ",Politics,0,Voting-should-be-compulsory./1/,47127
1,"My opponent quotes: ""Okay, I am conceding defeat."" My opponent has given up the debate and has accepted defeat. I heavily urge a Con vote. Thank you.",1,studentathletechristian8,"
  
My opponent quotes:  
  
""Okay, I am conceding defeat.""  
My opponent has given up the debate and has accepted defeat. I heavily urge a Con vote. Thank you.",Politics,2,Should-there-be-a-border-fence/2/,35772
2,"1 - In the example of ALFA corporation, Pro assumes that it would be beneficial for the corporation to utilize the other 75 acres of land. To use those acres, ALFA would have to incur expenses such as planting, watering, pesticides, consulting, harvesting, processing, and distribution of final product. These expenses are only offset, resulting in profit, if there is sufficient demand for the product. If there isn't enough demand, ALFA will incur a loss by using those extra acres. Why then is ALFA corporation only using 25 acres? I can only think of two reasons: There isn't enough demand to justify planting more crops, or ALFA corporation doesn't have the capital to carry the expenses through harvest. In the first case, taxing ALFA corporation won't do any good, in fact the tax would hurt a corporation that is already running below capacity due to poor economic conditions. In the second case, taxing ALFA corporation would only contribute to their capital problems, making future expansion more difficult. 2 - In the example of the two apartment complexes, there is obviously a reason for the second complex to have been built. Demand drives an economy, and the current demand trends in housing call for larger, open floor plans, modern appliances, modern fixtures, higher ceilings, and other such modern attributes to homes. Many people will choose to pay more to live in a newer, larger, modern apartment than a cheaper, older apartment. This demand is what causes new complexes to be built when others are still vacant. The only way to change the natural supply/demand process of the free market would be to take away the freedom and force people to move into existing complexes. Taxing the empty apartments would only hurt those who are trying to turn a profit in an area of housing where there is less demand. It would do nothing to incentivize people to consider housing that they don't desire. 3 - Pro states that increasing taxes on unused land and apartments would somehow stimulate the economy, without giving any reasons as to how such taxes would increase demand. Without demand, there can be no profit. I assert that unused apartments, homes, and land should not be taxed, because doing so only adds additional financial burden in an economy with low demand and struggling balance sheets.",1,TheTruthAnalyst,"
  
  1 -   In the example of ALFA corporation, Pro assumes that it would be beneficial for the corporation to utilize the other 75 acres of land. To use those acres, ALFA would have to incur expenses such as planting, watering, pesticides, consulting, harvesting, processing, and distribution of final product. These expenses are only offset, resulting in profit, if there is sufficient demand for the product. If there isn't enough demand, ALFA will incur a loss by using those extra acres. Why then is ALFA corporation only using 25 acres? I can only think of two reasons: There isn't enough demand to justify planting more crops, or ALFA corporation doesn't have the capital to carry the expenses through harvest. In the first case, taxing ALFA corporation won't do any good, in fact the tax would hurt a corporation that is already running below capacity due to poor economic conditions. In the second case, taxing ALFA corporation would only contribute to their capital problems, making future expansion more difficult.  2 -    In the example of the two apartment complexes, there is obviously a reason for the second complex to have been built. Demand drives an economy, and the current demand trends in housing call for larger, open floor plans, modern appliances, modern fixtures, higher ceilings, and other such modern attributes to homes. Many people will choose to pay more to live in a newer, larger, modern apartment than a cheaper, older apartment. This demand is what causes new complexes to be built when others are still vacant. The only way to change the natural supply/demand process of the free market would be to take away the freedom and force people to move into existing complexes. Taxing the empty apartments would only hurt those who are trying to turn a profit in an area of housing where there is less demand. It would do nothing to incentivize people to consider housing that they don't desire.  3 -    Pro states that increasing taxes on unused land and apartments would somehow stimulate the economy, without giving any reasons as to how such taxes would increase demand. Without demand, there can be no profit.  I assert that unused apartments, homes, and land should not be taxed, because doing so only adds additional financial burden in an economy with low demand and struggling balance sheets.",Economics,1,Empty-apartments-homes-and-unused-land-should-be-subjected-to-a-tax./1/,10920
3,"C1. Thank you for the citation. Unfortunately, it led me to a page I have taken a screenshot of and saved to my pictures[1]. Substituting 'gov' for 'org' I reached a page which I then, after one click (the 'evidence sidebare') arrived at a page where NASA agrees that global warming is both happening and is 'very likely human caused'.[2] C2: My apologies to my opponent; I intended to say that the United States is not the only developed country. Thus, for example, my references to Australia. Australia is a developed country. C3: I would like to state that humans are sometimes idiots and have been known, on occasion, to not ban things that were harmful. Examples include literally everything that has ever been banned; logically these thing would have had not to be banned at one point. Secondly, the wording of the resolution assumes that greenhouse gases are hurting the environment; if they weren't no one would have any particular desire to mitigate the effects. My thanks to my opponent for the debate. 1. <URL>... 2. <URL>...",1,Citrakayah,"
  
C1. Thank you for the citation. Unfortunately, it led me to a page I have taken a screenshot of and saved to my pictures[1]. Substituting 'gov' for 'org' I reached a page which I then, after one click (the 'evidence sidebare') arrived at a page where NASA agrees that global warming is both happening and is 'very likely human caused'.[2]  
  
C2: My apologies to my opponent; I intended to say that the United States is not the only developed country. Thus, for example, my references to Australia. Australia is a developed country.  
  
C3: I would like to state that humans are sometimes idiots and have been known, on occasion, to not ban things that were harmful. Examples include literally everything that has ever been banned; logically these thing would have had not to be banned at one point.  
  
Secondly, the wording of the resolution assumes that greenhouse gases are hurting the environment; if they weren't no one would have any particular desire to mitigate the effects.  
  
My thanks to my opponent for the debate.  
  
1.   http://www.debate.org...  
2.   http://climate.nasa.gov...",Philosophy,2,developed-countries-have-a-moral-obligation-to-mitigate-the-effects-of-climate-change/1/,50780
4,"My arguments would refute yours. If I have space I will refute: C1: ALLOWING THEM IN WOULD LEAD TO ECONOMIC DETRIMENT Puerto rico has high unemployment and allowing them it would increase the deficit through wellfare cost. [1] The puerto rican delegation would be twice the size of west vigrginia so they would have leverage to increase cost towards them, increasing costs further. [1] Their income per capita is 8,509$, thats much less then the american average, allowing them in would increase poverty rates. If allowed to be a state they would have the 25th biggest state via population, also that would lead to more social security costs, increasing deficits. Money spent on puerto rico is money that cannot be spent in other areas i.e medicare and medicade and other programs that help the other 50 states. We cannot afford a 51st state. [2] C2: Language Their language is english AND spanish. Many people in PR (puerto rico) do not know english and the only official language of america is english. This is a fundamental problem. [3] Only 20% of PR's population speak english fluently [3] the language used in PR houses is spanish 95% of the time [3] C3: Politics People might like this argument (if your democrat) but it's the principle of the thing: Pr would have at least 5 members to congress and PR is predomonatly liberal. [4] But a PR commonwealth rep dissagrees (so this is a benifit to republicans): 78% are pro life, 91% oppose SSM, and 30% are evangelicals. They also supoort spending and tax cuts [4] So it may go either way, but it would without a doubt help someone, hurting swaying the other 50 states views. in my opinion it would be a republican benifit. C4: they are already considered americans They are already US citizens that can travel in and out of all 50 states, except their wellfare programs are local not american federal. [5] So they are US citizens, but don't drain our already empty treasury. C5: the people of PR do not want it. 1950 PR vote-didn't pass [6] 1967-fail 1998-fail recent-you yourself said they denied it the fist time. Polls: In the last status plebiscite, in 1993, 48 percent of voters chose commonwealth status, 46 percent said they supported statehood and most of the rest favoured independence. [7] So most support independence, so be it. Refutations: ""The people of Puerto Rico have been U.S. citizens for since 1917 yet, they are not represent in congress and cannot vote for president. They are effectively second-class citizens. If we are to preach democracy and fairness across the world we must be fair to all of our citizens."" Sicne they aren't currenlty a state then they do not get either, they get noon voting reps that try to persuade congress. I don't know if that works but they have something. [8] they have 1. Your first argument isn't an argument it is just backround. It is just an I hope they vote state and other backround info. ==end== SOurces: <URL>... ;[1] <URL>... ;[2] <URL>... ;[3] <URL>... ;[4] <URL>... ;[5] <URL>... ;[6] <URL>... ;[7] <URL>... ;[8]",1,16kadams,"
  
  My arguments would refute yours. If I have space I will refute:  C1: ALLOWING THEM IN WOULD LEAD TO ECONOMIC DETRIMENT     Puerto rico has high unemployment and allowing them it would increase the deficit through wellfare cost.  [1]  The puerto rican delegation would be twice the size of west vigrginia so they would have leverage to increase cost towards them, increasing costs further. [1]  Their income per capita is 8,509$, thats much less then the american average, allowing them in would increase poverty rates. If allowed to be a state they would have the 25th biggest state via population, also that would lead to more social security costs, increasing deficits. Money spent on puerto rico is money that cannot be spent in other areas i.e medicare and medicade and other programs that help the other 50 states. We cannot afford a 51st state. [2]  C2: Language  Their language is english AND spanish.   
  
  
  
     
  
  
  
  Many people in PR (puerto rico) do not know english and the only official language of america is english. This is a fundamental problem. [3]  Only 20% of PR's population speak english fluently [3]  the language used in PR houses is spanish 95% of the time [3]  C3: Politics  People might like this argument (if your democrat) but it's the principle of the thing:  Pr would have at least 5 members to congress and PR is predomonatly liberal. [4]  But a PR commonwealth rep dissagrees (so this is a benifit to republicans):  78% are pro life, 91% oppose SSM, and 30% are evangelicals. They also supoort spending and tax cuts [4]  So it may go either way, but it would without a doubt help someone, hurting swaying the other 50 states views. in my opinion it would be a republican benifit.   C4: they are already considered americans  They are already US citizens that can travel in and out of all 50 states, except their wellfare programs are local not american federal. [5]  So they are US citizens, but don't drain our already empty treasury.   C5: the people of PR do not want it.   1950 PR vote-didn't pass [6]  1967-fail  1998-fail  recent-you yourself said they denied it the fist time.   Polls:  In the last status plebiscite, in 1993, 48 percent of voters chose                     commonwealth status, 46 percent said they supported statehood and most                     of the rest favoured independence. [7]  So most support independence, so be it.   Refutations:  ""The people of Puerto Rico have been U.S. citizens for since 1917 yet, they are not represent in congress and cannot vote for president. They are effectively second-class citizens. If we are to preach democracy and fairness across the world we must be fair to all of our citizens.""  Sicne they aren't currenlty a state then they do not get either, they get noon voting reps that try to persuade congress. I don't know if that works but they have something. [8] they have 1.   Your first argument isn't an argument it is just backround. It is just an I hope they vote state and other backround info.   ==end==  SOurces:  http://englishfirst.org...  ;[1]  http://www.nopuertoricostatehood.com...  ;[2]  http://www.nationalreview.com...  ;[3]  http://www.prfaa.com...  ;[4]  http://www.washingtontimes.com...  ;[5]  http://en.wikipedia.org...  ;[6]  http://www.latinamericanstudies.org...  ;[7]  http://www.house.gov...  ;[8]  
  
  
  
     
  
  
  
",Politics,1,Puerto-Rico-should-become-a-state/1/,29675
5,"There are indeed many ways at which herr Kleptin would be victorious in this battle. ============================================================================= NOOB COMBOS ============================================================================= Now although there are more advanced tactics which Kleptin could rely on, I shall first start by listing a sure way victory that involves receiving no damage. Utilizing the 30 minutes of prep time within the fighting area, Kleptin could scout the the battlefield and look for some trees which could secure him a comfortable position to sit in, while not being too high above ground. Upon finding such a tree, Kleptin could begin the battle by waiting for the blood lusted adult grizzly bear to come and attack him. The bear would attempt to climb the tree Kleptin was sitting in, but Kleptin could continually spam the bear with knife strikes each time the bear was close to climbing high enough to get a good blow. Upon striking the bear enough (preferably in it's eyes and maybe a through stabs that hit its brain, the bear's HP would eventually drop to zero and it would be dead, leaving Kleptin victorious. An alternative to this tactic would be to climb high up a a very tall tree and wait for the bear to close in on the area in question. Upon the time the bear was in range, Kleptin position his knife downwards, aim for the most feasible vital area on the bear, jump from the highest point of the tree, use gravity to his advantage and lethally wound the bear with his high quality hunting knife. Of course, if Kleptin managed to secure a few miniature boulders after having climbed up the tree in question, he could drop these upon the bear to weaken it before engaging it in close range combat. =========================================================================== Utilizing biological weaknesses =========================================================================== As can be seen on Kleptin's profile, he is majoring in pharmacy, thus there is reason to believe he has a pretty good grasp of pharmaceutical information, specifically concerning biology and what are the best remedies as well as the worst toxins and perhaps the precise areas of a body at which these substances can be rendered the most effective. Kleptin could his knowledge and understanding of biology to his advantage and find natural ingredients on the battlefield or simply tip his high quality hunting knife in snake/spider/salamander venom (in other words, similar to way this weapon has been used historically: <URL>... ) and strengthen the effect of his weapon. At this point, upon coming in contact with the bear, a few simple swipe to the bear's vital areas would be sufficient enough to make the result of the battle in Kleptin's favor. Granted, this direct approach would probably result in Kleptin getting injured. Fortunately, it is established that Kleptin has extraordinary reasoning abilities (he even admits this in the comment section), thus would be more than capable of logically concluding a method which enabled him to get in a few effective swipes on the opposing bear without any serious injury. The most likely approach would be for Kleptin to design a trap of some sort which would allow him to bypass the bear's detection (so far, I shall insist that making use of his tree climbing skills and waiting for the bear to come by would be the best approach) or convince the bear into believing that he is already dead (which is a more common and effective method of eluding a bear, provided the bear is not merely searching for fear and responding defensively: <URL>... ). Either way, upon the bear being off guard, Kleptin can take the opportunity to latch himself onto the bears back (wrapping his arms under and over the bear's arms: Essentially, a position we see at 5:12 in the video to the right) and wraphis legs around it's waist area. While in this position, Kleptin could maneuver his high quality venom tipped knife to slice the bear's neck and procedurally infect the bear as well as deal damage to this vital area. Eventually, the bear would fall to it's knees and Kleptin would be left the victor. Due to time constraints, I am unable to list more traps designed to catch the bear off guard, but shall list additional methods in the next round should it be necessary for me to do so. However, before I leave, I will provide a few examples of individuals overcoming bears in combat while merely using hunting knifes (just to demonstrate that it is possible): <URL>... <URL>... <URL>... Granted, none of these are grizzly bear encounters (black bear encounters) . . . the fact that a humans have been empirically shown to best bears in fair (technically anyway) combat as well as the fact that Kleptin would have the advantage premeditation in this match should lend credibility to the notion that he could feasibly vanquish a grizzly bear with a hunting knife and ingenuity alone given the circumstances which have been listed. And that'll do it for now.",1,Logical-Master,"
  
There are indeed many ways at which herr Kleptin would be victorious in this battle.  
  
=============================================================================  
NOOB COMBOS  
=============================================================================  
  
Now although there are more advanced tactics which Kleptin could rely on, I shall first start by listing a sure way victory that involves receiving no damage. Utilizing the 30 minutes of prep time within the fighting area, Kleptin could scout the the battlefield and look for some trees which could secure him a comfortable position to sit in, while not being too high above ground. Upon finding such a tree, Kleptin could begin the battle by waiting for the blood lusted adult grizzly bear to come and attack him. The bear would attempt to climb the tree Kleptin was sitting in, but Kleptin could continually spam the bear with knife strikes each time the bear was close to climbing high enough to get a good blow. Upon striking the bear enough (preferably in it's eyes and maybe a through stabs that hit its brain, the bear's HP would eventually drop to zero and it would be dead, leaving Kleptin victorious.  
  
An alternative to this tactic would be to climb high up a a very tall tree and wait for the bear to close in on the area in question. Upon the time the bear was in range, Kleptin position his knife downwards, aim for the most feasible vital area on the bear, jump from the highest point of the tree, use gravity to his advantage and lethally wound the bear with his high quality hunting knife.  
  
Of course, if Kleptin managed to secure a few miniature boulders after having climbed up the tree in question, he could drop these upon the bear to weaken it before engaging it in close range combat.  
  
===========================================================================  
Utilizing biological weaknesses  
===========================================================================  
  
As can be seen on Kleptin's profile, he is majoring in pharmacy, thus there is reason to believe he has a pretty good grasp of pharmaceutical information, specifically concerning biology and what are the best remedies as well as the worst toxins and perhaps the precise areas of a body at which these substances can be rendered the most effective. Kleptin could his knowledge and understanding of biology to his advantage and find natural ingredients on the battlefield or simply tip his high quality hunting knife in snake/spider/salamander venom (in other words, similar to way this weapon has been used historically:   http://en.wikipedia.org...   ) and strengthen the effect of his weapon. At this point, upon coming in contact with the bear, a few simple swipe to the bear's vital areas would be sufficient enough to make the result of the battle in Kleptin's favor.  
  
Granted, this direct approach would probably result in Kleptin getting injured. Fortunately, it is established that Kleptin has extraordinary reasoning abilities (he even admits this in the comment section), thus would be more than capable of logically concluding a method which enabled him to get in a few effective swipes on the opposing bear without any serious injury. The most likely approach would be for Kleptin to design a trap of some sort which would allow him to bypass the bear's detection (so far, I shall insist that making use of his tree climbing skills and waiting for the bear to come by would be the best approach) or convince the bear into believing that he is already dead (which is a more common and effective method of eluding a bear, provided the bear is not merely searching for fear and responding defensively:   http://www.nytimes.com...   ).  
  
Either way, upon the bear being off guard, Kleptin can take the opportunity to latch himself onto the bears back (wrapping his arms under and over the bear's arms: Essentially, a position we see at 5:12 in the video to the right) and wraphis legs around it's waist area. While in this position, Kleptin could maneuver his high quality venom tipped knife to slice the bear's neck and procedurally infect the bear as well as deal damage to this vital area. Eventually, the bear would fall to it's knees and Kleptin would be left the victor.  
  
Due to time constraints, I am unable to list more traps designed to catch the bear off guard, but shall list additional methods in the next round should it be necessary for me to do so.  
  
However, before I leave, I will provide a few examples of individuals overcoming bears in combat while merely using hunting knifes (just to demonstrate that it is possible):  
  
  http://neveryetmelted.com...  
  http://www.freerepublic.com...  
  http://query.nytimes.com...  
  
Granted, none of these are grizzly bear encounters (black bear encounters) . . . the fact that a humans have been empirically shown to best bears in fair (technically anyway) combat as well as the fact that Kleptin would have the advantage premeditation in this match should lend credibility to the notion that he could feasibly vanquish a grizzly bear with a hunting knife and ingenuity alone given the circumstances which have been listed.  
  
And that'll do it for now.",Miscellaneous,1,With-30-minutes-of-preparation-the-user-known-as-Kleptin-could-feasibly-vanquish-a-grizzly-bear/1/,48835
6,"Replies 1. "" In a real debate, people don't go off topic like that."" I disagree. "" in his next argument entertained my comments about tarantulas, by disagreeing with me that they were scary and monstrous. Therefore we were having a conversation and not a debate, because I couldn't even stick to the topic"" Pro contends that the definition of debate it ""And, finally I would like to remind my opponent that the definition of a debate is having opposing viewpoints."" Thus, since I disagreed with what pro said we had opposing views. So this is a debate. Whether or not it is a debate over a specific topic is irrelevant. 2. ""There has been a pathetic lack of clash in this non-debate"" You can vote Con. Pro agrees that there has been some clash, so this is a debate. "" As I said earlier, once you take all the arguing out of a debate, it ceases to be a debate but instead becomes a discussion."" Problem: We've been bickering over definitions this entire debate, thus we have been arguing. "" In a debate, 2 people have opposing sides and try to prove why their side is right. I failed to do that in this non-debate"" Pro doesnt prove this claim. 3. ""However, he was not disputing the subject at hand( whether or not this is a debate) he was simply disputing my off-topic rambling about tarantulas and other irrelevant stuff "" Talk about irrelevant! You've defined a debate as ""having opposing viewpoints"", and I disputed your statements. Your definition proves that this is a debate. Who cares if it's about the subect at hand? ""Notice how my opponent is making an attempt to argue with me, but I have not made any effort at all in this non-debate"" Problem: You've made statements, I've disagreed. Opposing viewponts=debate. Also of note: My definition was dropped by my opponent, extend that. My evidence of this being a debate was dropped, extend that. My opponent has ured a con ballot, vote con.",1,thett3,"
  
  Replies   1.  ""  In a real debate, people don't go off topic like that."" I disagree.   "" in his next argument entertained my comments about tarantulas, by disagreeing with me that they were scary and monstrous. Therefore we were having a conversation and not a debate, because I couldn't even stick to the topic"" Pro contends that the definition of debate it ""And, finally I would like to remind my opponent that the definition of a debate is having opposing viewpoints."" Thus, since I disagreed with what pro said we had opposing views. So this is a debate. Whether or not it is a debate over a specific topic is irrelevant.   2.  ""There has been a pathetic lack of clash in this non-debate"" You can vote Con. Pro agrees that there has been some clash, so this is a debate.   "" As I said earlier, once you take all the arguing out of a debate, it ceases to be a debate but instead becomes a discussion."" Problem: We've been bickering over definitions this entire debate, thus we have been arguing.   "" In a debate, 2 people have opposing sides and try to prove why their side is right. I failed to do that in this non-debate"" Pro doesnt prove this claim.  3.  ""However, he was not disputing the subject at hand( whether or not this is a debate) he was simply disputing my off-topic rambling about tarantulas and other irrelevant stuff "" Talk about irrelevant! You've defined a debate as ""having opposing viewpoints"", and I disputed your statements. Your definition proves that this is a debate. Who cares if it's about the subect at hand?  ""Notice how my opponent is making an attempt to argue with me, but I have not made any effort at all in this non-debate"" Problem: You've made statements, I've disagreed. Opposing viewponts=debate.   Also of note:  My definition was dropped by my opponent, extend that.   My evidence of this being a debate was dropped, extend that.   My opponent has ured a con ballot, vote con.    ",Miscellaneous,3,This-is-not-a-debate./6/,45462
7,"Well, I was hoping that my opponent would not attack himself, as that takes the fun away from me. I will now destroy his ""crappy syllogism."" --HIS FIRST POINT-- This is irrelevant to the debate. We are not debating the truthfulness of the Bible, simply if there is or is not BIBLICAL evidence for YEC. --HIS SECOND POINT-- Again, this is irrelevant. Please stay on-topic. --HIS THIRD POINT-- IRRELEVANT! All evidence must be taken FROM THE BIBLE. --HIS FOURTH POINT-- In this debate, we are only looking to what the Bible says. NOTHING ELSE. --HIS CONCLUSION-- He only says here that the resolution is true. {[==MY CASE==]} -Observation 1- I would first like to point my opponent back to the resolution. We are not debating the truth value of the Bible, but BIBLICAL EVIDENCE. ALL evidence MUST BE TAKEN FROM THE BIBLE. -Evidence- Man was created four days after the first day. The first day was roughly 4,000 years ago. ""In the beginning, God created the Heavens and the Earth...God called the light day, and the darkness he called night. So the evening and the morning were the first day."" -Genesis 1:1, and 1:5. How do we know the Earth has been around for about 4,000 years you ask? Simple. The Bible tells us. There are many genealogies throughout the Bible. Here are a few: Genesis 5 Adam - Noah Gensis 11 Noah - Abraham Abraham to Moses is then counted Moses to Judges then Judges to Kings then Historical timelines. Here is a website that details it out for you if you want to read it: <URL>... So, if you count, this totals to be around 4,000 years, allowing for different calendar translations. With this evidence, we can clearly see that the Bible supports YEC. Please vote NEG. Thank you.",1,rougeagent21,"
  
Well, I was hoping that my opponent would not attack himself, as that takes the fun away from me. I will now destroy his ""crappy syllogism.""  
  
--HIS FIRST POINT--  
This is irrelevant to the debate. We are not debating the truthfulness of the Bible, simply if there is or is not BIBLICAL evidence for YEC.  
  
--HIS SECOND POINT--  
Again, this is irrelevant. Please stay on-topic.  
  
--HIS THIRD POINT--  
IRRELEVANT! All evidence must be taken FROM THE BIBLE.  
  
--HIS FOURTH POINT--  
In this debate, we are only looking to what the Bible says. NOTHING ELSE.  
  
--HIS CONCLUSION--  
He only says here that the resolution is true.  
  
{[==MY CASE==]}  
  
-Observation 1-  
I would first like to point my opponent back to the resolution. We are not debating the truth value of the Bible, but BIBLICAL EVIDENCE. ALL evidence MUST BE TAKEN FROM THE BIBLE.  
  
-Evidence-  
Man was created four days after the first day. The first day was roughly 4,000 years ago. ""In the beginning, God created the Heavens and the Earth...God called the light day, and the darkness he called night. So the evening and the morning were the first day."" -Genesis 1:1, and 1:5.  
  
How do we know the Earth has been around for about 4,000 years you ask? Simple. The Bible tells us. There are many genealogies throughout the Bible. Here are a few:  
Genesis 5 Adam – Noah  
Gensis 11 Noah – Abraham  
Abraham to Moses is then counted  
Moses to Judges then  
Judges to Kings then  
Historical timelines.  
  
Here is a website that details it out for you if you want to read it:  
  http://www.abiblestudy.com...  
  
So, if you count, this totals to be around 4,000 years, allowing for different calendar translations. With this evidence, we can clearly see that the Bible supports YEC. Please vote NEG. Thank you.",Miscellaneous,1,Pick-your-own-debate-1A/1/,28419
8,"The CDC reports that between 1999 and 2007, there were 26 deaths with marijuana as an underlying cause, in the United States.( <URL>... .)Falling coconuts kill 150 people worldwide each year.( <URL>... ) Telling me to give up is not about this debate through some facts about Marijuana at or something. And the people in smokers alley are dumb but not all of them smoke weed i used to go back there come on Alisha give me a good argument .",1,Mikieman,"
  
The CDC reports that between 1999 and 2007, there were 26 deaths with marijuana as an underlying cause, in the United States.(  http://wiki.answers.com...  .)Falling coconuts kill 150 people worldwide each year.(  http://www.unisci.com...  ) Telling me to give up is not about this debate through some facts about Marijuana at or something. And the people in smokers alley are dumb but not all of them smoke weed i used to go back there come on Alisha give me a good argument .",Health,2,marijuana/1/,52638
9,"I do not believe the Huffington post is ""recruiting"" people to be Gay. They are showing the diverse culture that exists in our society. The simple fact of the matter is: Gay people exist! Homosexual relationships aren't just some made up fantasy. The huffington post are simply showing anyone who wishes to view their site what our world is like; the job of the news! Here are some examples of other photos they show in their articles: They show heterosexual couples, and with the recent legalisation of Gay marriage in the UK, it is no wonder that they're showing pictures of homosexual couples! It isn't showing children that homosexual relationships are ""incredibly cool"", it is simply showing pictures that relate to the article. If we are to avoid discrimination of any kind, both heterosexual and homosexual couples must be seen in the media. Those who are Gay need to see people who they can relate to, otheriwse we risk damaging the whole community. Here are some statistics for Gay teens who commit suicide: Between 30 and 40% of the Gay youth ( a collection of different ages) have attempted to commit suicide The Homosexual youth are more likely to try to commit suicide than their Heterosexual counterparts Here is an interesting statistic found by GLAAD on the media : homosexual couples make up about 4.4% of the media we see today (at the start of 2013). This figure is shocking! The only way we can hope to destroy the hateful discrimination the LGBT community faces is by showing the youth of today the truth! By shying them away from the reality will only push those who need help further away. <URL>... <URL>...",1,RossM,"
  
  I do not believe the Huffington post is ""recruiting"" people to be Gay.  They are showing the diverse culture that exists in our society.  The simple fact of the matter is: Gay people exist! Homosexual relationships aren't just some made up fantasy. The huffington post are simply showing   anyone   who wishes to view their site what our world is like; the job of the news! Here are some examples of other photos they show in their articles:  They show heterosexual couples, and with the recent legalisation of Gay marriage in the UK, it is no wonder that they're showing pictures of homosexual couples! It isn't showing children that homosexual relationships are ""incredibly cool"", it is simply showing pictures that relate to the article. If we are to avoid discrimination of any kind, both heterosexual and homosexual couples must be seen in the media. Those who are Gay need to see people who they can relate to, otheriwse we risk damaging the whole community. Here are some statistics for Gay teens who commit suicide:  Between 30 and 40% of the Gay youth ( a collection of different ages) have attempted to commit suicide  The Homosexual youth are more likely to try to commit suicide than their Heterosexual counterparts  Here is an interesting statistic found by GLAAD on the media : homosexual couples make up about 4.4% of the media we see today (at the start of 2013). This figure is shocking! The only way we can hope to destroy the hateful discrimination the LGBT community faces is by showing the youth of today the truth! By shying them away from the reality will only push those who need help further away.  https://www.glaad.org...  http://en.wikipedia.org...",Politics,0,This-is-Gay-Recruitment/1/,45432
